# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:42:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\6zm609tt.json
# init = 2 (Default)
# random
#   seed = 6775
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234237_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.836538
# Diagonal elements of inverse mass matrix:
# 0.398724
-7.76488,1,0.836538,2,3,0,7.84586,0.453693
-8.03678,0.843858,0.836538,1,3,0,9.02988,0.683706
-8.39538,0.943913,0.836538,1,1,0,8.40497,0.726101
-7.58123,0.976155,0.836538,1,3,0,8.63845,0.555232
-7.61143,0.987884,0.836538,2,3,0,7.67741,0.507156
-8.02365,0.751124,0.836538,2,3,0,9.7516,0.404304
-7.63665,0.960406,0.836538,1,3,0,8.51133,0.595937
-7.58212,0.999051,0.836538,1,3,0,7.63829,0.557095
-7.57911,0.999906,0.836538,1,3,0,7.5829,0.545879
-7.6121,0.992672,0.836538,1,3,0,7.62843,0.583783
-7.61094,0.987746,0.836538,1,3,0,7.72311,0.507452
-9.06991,0.836866,0.836538,2,3,0,9.21671,0.295193
-8.37232,1,0.836538,1,1,0,8.96699,0.358765
-8.439,0.98835,0.836538,1,1,0,8.56564,0.351472
-12.8483,0.647191,0.836538,3,7,0,13.3675,0.914804
-9.22441,0.996076,0.836538,2,3,0,13.1056,0.790421
-9.12355,1,0.836538,1,1,0,9.41618,0.78407
-7.57934,1,0.836538,2,3,0,8.8622,0.542197
-7.57946,0.999871,0.836538,1,3,0,7.58043,0.549498
-7.58011,0.999875,0.836538,2,3,0,7.58071,0.552203
-7.71992,0.971462,0.836538,1,3,0,7.77545,0.623852
-7.8195,0.919426,0.836538,2,7,0,8.42711,0.441171
-8.58419,0.697165,0.836538,1,3,0,10.3676,0.74374
-8.58382,1,0.836538,3,7,0,8.58672,0.743707
-7.57963,1,0.836538,2,3,0,8.4152,0.540584
-7.78163,0.976374,0.836538,2,3,0,7.79611,0.449671
-8.09039,0.827162,0.836538,1,3,0,9.19098,0.691084
-7.57918,1,0.836538,2,3,0,8.01222,0.547368
-7.68243,0.9484,0.836538,2,3,0,7.9765,0.61282
-7.65432,0.964825,0.836538,2,7,0,7.97263,0.487009
-7.57941,0.996343,0.836538,1,3,0,7.68569,0.549151
-8.09242,0.88994,0.836538,1,3,0,8.35846,0.691354
-7.68152,0.993391,0.836538,2,3,0,8.17497,0.612528
-8.10327,0.944153,0.836538,2,3,0,8.262,0.692788
-9.34317,0.604796,0.836538,1,3,0,12.6822,0.275716
-8.4307,1,0.836538,1,1,0,9.1959,0.352362
-7.73727,0.986302,0.836538,2,3,0,8.58821,0.460753
-8.11634,0.831648,0.836538,1,3,0,9.12377,0.694492
-8.00217,1,0.836538,1,1,0,8.14063,0.678672
-7.76117,1,0.836538,1,1,0,7.9602,0.634314
-8.41693,0.917357,0.836538,2,3,0,8.66256,0.72824
-9.97163,0.843338,0.836538,2,3,0,10.6359,0.829723
-10.7373,0.925231,0.836538,1,1,0,10.8499,0.860062
-11.1529,0.963775,0.836538,1,1,0,11.42,0.873617
-10.033,1,0.836538,1,1,0,11.0971,0.832467
-10.2953,0.988368,0.836538,3,7,0,10.3268,0.22153
-9.32712,1,0.836538,1,1,0,10.2271,0.276799
-10.3002,0.868374,0.836538,1,1,0,10.3717,0.221294
-7.58867,0.936683,0.836538,1,3,0,11.5807,0.566159
-7.65058,0.945456,0.836538,2,3,0,8.01988,0.601643
-9.77927,0.769358,0.836538,2,3,0,9.89044,0.82071
-7.63736,0.955369,0.836538,1,3,0,10.2578,0.596248
-8.6478,0.879265,0.836538,3,7,0,8.76593,0.749184
-7.6128,0.999755,0.836538,3,7,0,8.46954,0.506351
-7.62267,0.99811,0.836538,1,1,0,7.62659,0.500987
-8.49861,0.758586,0.836538,1,3,0,9.45108,0.73604
-7.78147,0.996132,0.836538,2,7,0,8.43017,0.449708
-7.8015,0.999559,0.836538,2,7,0,7.80403,0.643371
-7.83663,0.998,0.836538,2,7,0,7.83751,0.437555
-7.77129,1,0.836538,1,1,0,7.84459,0.452131
-7.67941,0.946015,0.836538,2,7,0,8.21216,0.611845
-7.62404,0.995524,0.836538,2,3,0,7.73395,0.590124
-8.21886,0.836896,0.836538,1,3,0,8.88167,0.37703
-8.72021,0.971888,0.836538,2,3,0,8.74053,0.32397
-8.42756,1,0.836538,1,1,0,8.75002,0.352699
-9.55228,0.828896,0.836538,1,1,0,9.55237,0.262201
-7.59575,0.964554,0.836538,2,3,0,9.96026,0.517992
-8.32752,0.91661,0.836538,2,3,0,8.3281,0.719122
-8.95272,0.911808,0.836538,1,1,0,8.96048,0.772567
-8.79049,1,0.836538,1,1,0,9.07279,0.760639
-8.36243,1,0.836538,1,1,0,8.75842,0.722761
-8.11314,1,0.836538,1,1,0,8.35454,0.694077
-7.80583,0.891842,0.836538,1,3,0,9.21921,0.444153
-7.58165,0.994792,0.836538,1,3,0,7.84027,0.534717
-7.58513,0.999257,0.836538,2,3,0,7.58919,0.528942
-8.29796,0.827666,0.836538,1,3,0,8.83401,0.715957
-7.63039,0.932202,0.836538,1,3,0,8.9608,0.497199
-7.5794,0.981143,0.836538,2,3,0,7.78977,0.549119
-7.94972,0.956677,0.836538,2,3,0,7.96526,0.67057
-8.39741,0.929233,0.836538,1,1,0,8.39768,0.726304
-7.58836,0.953611,0.836538,1,3,0,8.86646,0.524977
-7.94638,0.934703,0.836538,1,3,0,8.04805,0.416909
-7.58326,0.991883,0.836538,1,3,0,8.00247,0.531749
-7.67676,0.966092,0.836538,2,3,0,7.84612,0.610979
-7.81621,0.974468,0.836538,2,3,0,7.95214,0.64645
-7.79795,0.999997,0.836538,2,7,0,7.817,0.445915
-7.58765,1,0.836538,2,3,0,7.7931,0.525783
-7.59482,0.998629,0.836538,1,1,0,7.59511,0.518771
-7.78988,0.978005,0.836538,2,7,0,7.79051,0.640861
-7.82466,0.919173,0.836538,1,3,0,8.60113,0.440066
-7.94683,0.977289,0.836538,1,1,0,7.96566,0.416832
-7.74801,1,0.836538,1,1,0,7.91085,0.457935
-7.65218,1,0.836538,1,1,0,7.73004,0.487846
-8.23893,0.934136,0.836538,2,7,0,8.24996,0.709386
-7.58678,1,0.836538,2,3,0,8.12132,0.52681
-7.90499,0.961607,0.836538,2,3,0,7.94716,0.424253
-7.73626,1,0.836538,1,1,0,7.87543,0.461021
-7.63851,0.969805,0.836538,1,3,0,8.03339,0.596739
-7.63322,1,0.836538,1,1,0,7.64609,0.594429
-7.5938,0.998429,0.836538,2,3,0,7.6508,0.571101
-8.26016,0.781682,0.836538,2,3,0,9.4606,0.371888
-7.58073,0.973352,0.836538,1,3,0,8.53009,0.554005
-7.68314,0.987661,0.836538,2,3,0,7.69336,0.613047
-7.83258,0.983298,0.836538,2,7,0,7.86899,0.438397
-7.96524,0.975395,0.836538,1,1,0,7.98359,0.413711
-7.88683,0.876772,0.836538,1,3,0,9.1392,0.659945
-7.60364,0.999988,0.836538,2,7,0,7.8352,0.5121
-9.40135,0.803003,0.836538,2,3,0,9.54053,0.271845
-8.28303,0.959581,0.836538,2,3,0,10.049,0.369116
-7.86834,0.857657,0.836538,1,3,0,9.70937,0.656593
-7.91595,0.973336,0.836538,2,3,0,8.24452,0.665002
-7.93919,0.999148,0.836538,2,7,0,7.94667,0.418153
-7.75047,0.982062,0.836538,2,3,0,8.15872,0.457304
-7.90188,0.971727,0.836538,1,1,0,7.90698,0.424823
-7.79409,1,0.836538,1,1,0,7.89797,0.44679
-7.87974,0.983947,0.836538,1,1,0,7.90001,0.428978
-7.98958,0.993225,0.836538,2,3,0,8.01947,0.409704
-8.02073,0.960562,0.836538,2,3,0,8.53409,0.404758
-7.78646,1,0.836538,1,1,0,7.97906,0.448544
-7.60149,0.974223,0.836538,2,3,0,8.06218,0.577069
-7.74816,0.983794,0.836538,2,7,0,7.75053,0.457898
-7.58675,0.985091,0.836538,1,3,0,7.87018,0.563977
-8.55006,0.813337,0.836538,1,3,0,8.98514,0.740722
-8.29604,1,0.836538,1,1,0,8.56525,0.715749
-8.83502,0.974199,0.836538,2,3,0,8.84768,0.764021
-8.04267,0.979694,0.836538,2,3,0,9.18174,0.684541
-7.58368,1,0.836538,2,3,0,7.96063,0.531061
-7.82272,0.971184,0.836538,2,3,0,7.85196,0.440481
-7.82118,1,0.836538,1,1,0,7.86816,0.44081
-8.03507,0.986894,0.836538,2,3,0,8.04203,0.402546
-8.09622,0.988818,0.836538,1,1,0,8.16469,0.393511
-7.60646,0.955101,0.836538,1,3,0,8.49285,0.580379
-7.58187,1,0.836538,2,7,0,7.60198,0.534261
-7.71432,0.965043,0.836538,1,3,0,7.82115,0.622313
-7.70784,0.951458,0.836538,1,3,0,8.16696,0.469012
-8.01081,0.965928,0.836538,2,7,0,8.05266,0.67995
-7.81468,1,0.836538,1,1,0,7.98243,0.646134
-7.80703,0.91755,0.836538,1,3,0,8.61535,0.443886
-7.93604,0.871619,0.836538,1,3,0,8.91079,0.66835
-8.1929,0.958211,0.836538,1,1,0,8.20369,0.704007
-7.57955,0.921775,0.836538,2,3,0,9.04699,0.549951
-8.09276,0.888098,0.836538,1,3,0,8.37741,0.394005
-9.31351,0.866679,0.836538,3,7,0,9.65044,0.795788
-8.59783,0.965773,0.836538,2,3,0,10.0651,0.744926
-9.85315,0.887011,0.836538,2,7,0,10.3148,0.244498
-7.7467,1,0.836538,2,7,0,9.49784,0.630805
-7.58208,0.988723,0.836538,1,3,0,7.84393,0.533849
-7.84414,0.847027,0.836538,2,3,0,8.83435,0.436009
-7.65816,0.957407,0.836538,1,3,0,8.28412,0.604507
-7.59895,0.985481,0.836538,2,7,0,7.77832,0.515462
-7.58842,0.994937,0.836538,1,3,0,7.64134,0.565885
-7.61659,0.963891,0.836538,2,3,0,7.87482,0.58629
-7.63034,0.98224,0.836538,1,3,0,7.77664,0.497225
-7.648,0.996618,0.836538,1,1,0,7.65342,0.489519
-7.61619,0.981091,0.836538,1,3,0,7.80822,0.586073
-8.32101,0.795362,0.836538,2,3,0,9.39765,0.364625
-8.83456,0.914984,0.836538,1,1,0,8.86441,0.314
-8.15794,1,0.836538,1,1,0,8.71844,0.384973
-8.13543,1,0.836538,1,1,0,8.25147,0.388026
-8.08402,1,0.836538,2,7,0,8.13266,0.690232
-7.58236,0.943218,0.836538,2,3,0,8.7119,0.533319
-7.61798,0.987903,0.836538,2,3,0,7.67748,0.587031
-7.61798,0.872504,0.836538,1,3,0,8.4508,0.587031
-7.65302,0.993533,0.836538,1,1,0,7.65398,0.60258
-7.91995,0.910759,0.836538,1,3,0,8.44735,0.421544
-8.53943,0.946385,0.836538,3,7,0,8.54312,0.341096
-7.80861,0.731603,0.836538,2,3,0,11.5553,0.443539
-7.93633,0.976231,0.836538,1,1,0,7.95186,0.418651
-7.58205,1,0.836538,2,3,0,7.87551,0.556961
-7.58065,1,0.836538,1,1,0,7.58183,0.553811
-7.58235,0.998852,0.836538,1,3,0,7.58968,0.533337
-7.64587,0.981592,0.836538,1,3,0,7.70896,0.599784
-10.5557,0.708489,0.836538,2,3,0,10.5566,0.209406
-10.6767,0.984886,0.836538,1,1,0,11.1095,0.20408
-7.66458,0.966476,0.836538,3,7,0,11.1153,0.606822
-7.73034,0.988122,0.836538,1,1,0,7.73331,0.626634
-7.61147,0.975403,0.836538,1,3,0,7.94351,0.507134
-7.57968,0.999279,0.836538,1,3,0,7.6153,0.540325
-7.68873,0.952871,0.836538,2,3,0,7.94204,0.614806
