# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:42:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\6zm609tt.json
# init = 2 (Default)
# random
#   seed = 6775
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234237_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.07373
# Diagonal elements of inverse mass matrix:
# 0.308318
-7.58543,0.99944,1.07373,1,1,0,7.58593,0.562304
-7.5892,0.999698,1.07373,2,3,0,7.58999,0.566729
-8.84108,0.707623,1.07373,1,3,0,9.34574,0.31345
-8.96384,0.974724,1.07373,1,1,0,9.21926,0.303408
-7.82256,0.948005,1.07373,2,3,0,9.48429,0.440514
-7.58692,0.990101,1.07373,1,3,0,7.88536,0.56418
-7.58085,0.97416,1.07373,2,3,0,7.75191,0.536579
-8.89073,0.690213,1.07373,1,3,0,9.42428,0.768134
-7.58588,1,1.07373,2,3,0,8.78058,0.562892
-7.58888,0.99723,1.07373,1,3,0,7.60717,0.524419
-7.89981,0.933718,1.07373,1,3,0,7.93769,0.425205
-7.80048,0.925861,1.07373,2,3,0,8.62328,0.643154
-8.32349,0.676836,1.07373,2,3,0,10.507,0.364337
-7.79144,0.930982,1.07373,2,3,0,9.06087,0.641201
-7.79015,0.951403,1.07373,1,3,0,8.29561,0.447692
-7.57966,0.999146,1.07373,2,3,0,7.79548,0.540455
-7.65707,0.982079,1.07373,1,3,0,7.67172,0.485952
-8.75966,0.862616,1.07373,2,3,0,8.77902,0.758246
-7.61271,0.987885,1.07373,1,3,0,8.69938,0.584133
-7.92575,0.941227,1.07373,1,3,0,7.9448,0.66665
-7.58377,0.998134,1.07373,2,3,0,7.93488,0.559926
-7.57937,0.999758,1.07373,1,3,0,7.58545,0.541986
-7.58988,0.99857,1.07373,2,3,0,7.59087,0.567429
-7.59717,0.954855,1.07373,2,3,0,7.89003,0.516835
-7.94793,0.928051,1.07373,1,3,0,7.98047,0.416643
-7.97079,0.932363,1.07373,2,3,0,8.69015,0.412786
-7.8984,0.885261,1.07373,2,7,0,8.79143,0.661985
-7.75671,1,1.07373,1,1,0,7.8813,0.63325
-8.5752,0.876474,1.07373,1,3,0,8.59863,0.742952
-10.3163,0.773441,1.07373,2,3,0,11.5413,0.844369
