# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:43:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\bnmfa9qj.json
# init = 2 (Default)
# random
#   seed = 76866
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234317_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01364
# Diagonal elements of inverse mass matrix:
# 0.379161
-7.84263,0.971341,1.01364,2,3,0,7.85747,0.436318
-7.77939,1,1.01364,1,1,0,7.86638,0.450199
-7.57932,1,1.01364,1,3,0,7.76102,0.542311
-7.83332,0.937466,1.01364,1,3,0,7.87879,0.438244
-7.72466,1,1.01364,1,1,0,7.82451,0.464186
-7.57922,0.997171,1.01364,2,3,0,7.74139,0.543118
-7.57997,0.999754,1.01364,1,3,0,7.58055,0.551702
-7.59224,0.996863,1.01364,2,3,0,7.60137,0.569702
-7.69578,0.973072,1.01364,2,3,0,7.78487,0.616957
-7.69647,0.938329,1.01364,2,3,0,8.16069,0.472459
-9.06864,0.823184,1.01364,2,3,0,9.1173,0.78048
-8.4186,1,1.01364,1,1,0,9.0015,0.728404
-8.75055,0.869957,1.01364,2,3,0,10.0945,0.757531
-8.99703,0.953797,1.01364,1,1,0,9.19418,0.775648
-7.69527,0.993319,1.01364,1,3,0,8.77534,0.616806
-7.58099,0.996477,1.01364,2,3,0,7.71728,0.55468
-8.45279,0.794514,1.01364,1,3,0,8.6427,0.731722
-8.45279,0.892746,1.01364,1,1,0,8.98751,0.731722
-8.36961,1,1.01364,1,1,0,8.59924,0.723496
-9.86887,0.747187,1.01364,1,1,0,9.869,0.82499
-8.84504,1,1.01364,1,1,0,9.75374,0.76477
-8.56995,0.912315,1.01364,2,3,0,10.2623,0.742489
-7.88369,0.924891,1.01364,1,3,0,9.42783,0.428225
-8.42148,0.871136,1.01364,1,1,0,8.43341,0.353355
-7.97691,1,1.01364,2,3,0,8.34306,0.411773
-8.58084,0.858571,1.01364,1,1,0,8.60141,0.337009
-7.5878,0.991561,1.01364,1,3,0,8.61965,0.565202
-7.60494,0.992937,1.01364,1,3,0,7.63158,0.511223
-7.59713,0.962521,1.01364,2,3,0,7.83278,0.57384
-7.57966,0.999146,1.01364,2,3,0,7.60261,0.550487
-8.05432,0.881103,1.01364,1,3,0,8.16768,0.399633
-7.60324,0.985259,1.01364,1,3,0,8.14945,0.578272
-7.66789,0.975691,1.01364,1,3,0,7.74928,0.481958
-7.61168,1,1.01364,2,3,0,7.65448,0.50701
-7.58879,0.9964,1.01364,1,3,0,7.63712,0.56629
-7.69974,0.985038,1.01364,2,3,0,7.71011,0.47145
-7.76069,0.994631,1.01364,2,3,0,7.78144,0.454726
-8.24267,0.817218,1.01364,1,3,0,8.91524,0.709812
-8.04041,0.932295,1.01364,2,3,0,9.07922,0.684221
-8.34345,0.934158,1.01364,1,1,0,8.39506,0.720795
-7.88581,1,1.01364,1,1,0,8.24783,0.659763
-7.84873,1,1.01364,1,1,0,7.93591,0.652905
-7.65061,1,1.01364,1,1,0,7.79888,0.601655
-7.61321,0.896279,1.01364,2,3,0,8.32666,0.506115
-7.60578,0.950068,1.01364,2,3,0,7.91908,0.579947
-8.22978,0.866308,1.01364,1,3,0,8.28953,0.708335
-7.83771,1,1.01364,1,1,0,8.14655,0.650768
-7.6218,0.980545,1.01364,1,3,0,7.97202,0.50143
-7.90132,0.944199,1.01364,1,3,0,7.90453,0.424927
-8.55006,0.847534,1.01364,1,1,0,8.55819,0.340037
-9.06524,0.962309,1.01364,2,3,0,9.205,0.295547
-8.2827,1,1.01364,2,3,0,8.93061,0.369155
-8.15863,1,1.01364,1,1,0,8.37545,0.38488
-8.0009,1,1.01364,2,3,0,8.19705,0.407884
-8.5437,0.872083,1.01364,1,1,0,8.57304,0.340671
-8.28803,1,1.01364,1,1,0,8.60997,0.368518
-7.96039,1,1.01364,1,1,0,8.24854,0.414525
-7.96039,0.837401,1.01364,1,1,0,8.4983,0.414525
-7.58012,0.991829,1.01364,2,3,0,8.00857,0.538663
-7.62192,0.99337,1.01364,2,3,0,7.62904,0.589069
