# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:43:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\bnmfa9qj.json
# init = 2 (Default)
# random
#   seed = 76866
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234317_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.94755
# Diagonal elements of inverse mass matrix:
# 0.443018
-9.21733,0.714702,0.94755,2,3,0,10.0218,0.284405
-9.40983,0.95862,0.94755,1,1,0,9.76883,0.271288
-8.13597,1,0.94755,1,1,0,9.1022,0.387952
-9.49883,0.715732,0.94755,1,1,0,9.5021,0.265553
-7.74072,0.944938,0.94755,1,3,0,10.0763,0.629306
-7.85902,0.990216,0.94755,2,3,0,7.87965,0.654858
-7.58709,1,0.94755,1,3,0,7.81191,0.564377
-7.58325,1,0.94755,1,1,0,7.58655,0.5591
-8.47894,0.853181,0.94755,2,3,0,8.71371,0.347263
-8.03604,1,0.94755,1,1,0,8.41432,0.402398
-7.75478,1,0.94755,1,1,0,7.97139,0.456207
-7.65294,1,0.94755,1,1,0,7.73307,0.487548
-7.65294,0.511018,0.94755,1,3,0,9.8843,0.487548
-7.92367,0.929046,0.94755,1,1,0,7.92368,0.420881
-7.62234,1,0.94755,2,3,0,7.8634,0.58928
-7.64262,0.998221,0.94755,2,3,0,7.65024,0.598461
-10.8772,0.409074,0.94755,1,3,0,11.5998,0.864821
-8.09811,0.971072,0.94755,1,3,0,10.4463,0.692108
-8.09811,0.796162,0.94755,1,3,0,9.37203,0.692108
-7.60994,1,0.94755,1,3,0,8.00127,0.582518
-7.59609,1,0.94755,1,1,0,7.60847,0.573011
-7.64517,0.982037,0.94755,1,3,0,7.70145,0.49068
-8.47021,0.758513,0.94755,1,3,0,8.98187,0.73338
-8.17066,1,0.94755,2,3,0,8.48396,0.701321
-7.87211,1,0.94755,1,1,0,8.12331,0.657287
-7.71329,0.962579,0.94755,1,3,0,8.1826,0.467415
-7.90151,0.950343,0.94755,1,1,0,7.91205,0.424892
-7.78761,1,0.94755,1,1,0,7.90661,0.448276
-7.6169,1,0.94755,2,3,0,7.74782,0.586453
-7.6169,0.851371,0.94755,1,3,0,8.19166,0.586453
-7.59649,0.984195,0.94755,2,3,0,7.72527,0.517386
-7.58882,0.99263,0.94755,2,3,0,7.64579,0.566324
-7.90595,0.91287,0.94755,1,3,0,8.02472,0.424077
-8.64883,0.718581,0.94755,1,3,0,9.79501,0.74927
-7.58171,1,0.94755,1,3,0,8.58264,0.556273
-8.53079,0.77679,0.94755,1,3,0,8.72324,0.738989
-7.6162,1,0.94755,1,3,0,8.38455,0.586074
-7.59915,0.994056,0.94755,1,3,0,7.66029,0.515313
-7.81804,0.952798,0.94755,1,3,0,7.82402,0.441484
-7.58983,1,0.94755,1,3,0,7.76857,0.523414
-9.63952,0.687423,0.94755,2,3,0,10.2938,0.256871
-8.14174,1,0.94755,1,1,0,9.27463,0.387162
-7.96558,1,0.94755,1,1,0,8.16542,0.413653
-7.93059,1,0.94755,1,1,0,8.04365,0.419656
-7.61537,1,0.94755,1,3,0,7.85049,0.504886
-8.58762,0.79153,0.94755,1,3,0,8.66104,0.33635
-7.86751,1,0.94755,2,3,0,8.40329,0.431342
-8.36869,0.876604,0.94755,1,1,0,8.38254,0.359172
-7.87729,1,0.94755,1,1,0,8.25566,0.429446
-7.98781,0.891843,0.94755,2,3,0,8.76859,0.676514
-7.65441,0.969371,0.94755,1,3,0,8.20525,0.486975
-7.81573,0.935328,0.94755,1,3,0,8.05296,0.646352
-8.06562,0.94084,0.94755,1,1,0,8.08518,0.687734
-7.66374,0.965605,0.94755,1,3,0,8.31557,0.483458
-7.58315,0.996898,0.94755,1,3,0,7.67722,0.558942
-7.60774,0.996962,0.94755,2,3,0,7.60912,0.509412
-7.62939,0.987273,0.94755,1,3,0,7.69828,0.592683
-8.32927,0.905725,0.94755,2,3,0,8.41043,0.363667
-9.28172,0.79492,0.94755,1,1,0,9.32976,0.279903
-8.94862,1,0.94755,1,1,0,9.47388,0.304621
-7.89776,0.91217,0.94755,2,3,0,9.83787,0.425586
-8.20882,0.921307,0.94755,1,1,0,8.24464,0.37831
-7.95033,1,0.94755,1,1,0,8.19499,0.416232
-8.96215,0.77207,0.94755,1,1,0,8.96387,0.303542
-7.60182,1,0.94755,1,3,0,8.74624,0.513363
-7.60182,0.885039,0.94755,1,3,0,8.01183,0.513363
-7.59912,0.991587,0.94755,2,3,0,7.65992,0.515334
-10.7017,0.591545,0.94755,2,3,0,10.926,0.858816
-10.2485,1,0.94755,1,1,0,11.0193,0.841627
-8.56384,1,0.94755,1,1,0,9.93427,0.741949
-7.67286,0.968801,0.94755,2,3,0,8.826,0.609676
-7.67642,0.999073,0.94755,1,1,0,7.70039,0.610865
-7.79542,0.989973,0.94755,2,3,0,7.80306,0.642066
-7.58245,0.993386,0.94755,2,3,0,7.83611,0.55772
-7.57948,1,0.94755,1,3,0,7.58169,0.549567
-7.57948,0.754357,0.94755,1,3,0,8.56625,0.549567
-8.10629,0.868316,0.94755,1,3,0,8.2209,0.392081
-7.79503,1,0.94755,1,1,0,8.03881,0.446575
-7.59112,1,0.94755,1,3,0,7.74875,0.522129
-7.61542,0.993382,0.94755,1,1,0,7.61591,0.504857
-8.1624,0.839786,0.94755,1,3,0,8.46491,0.700307
-7.81306,1,0.94755,1,1,0,8.08798,0.6458
-8.00159,0.916659,0.94755,2,3,0,8.58459,0.678586
-7.7155,1,0.94755,1,1,0,7.93237,0.622639
-7.60239,0.989183,0.94755,1,3,0,7.78184,0.512957
-7.60239,0.712965,0.94755,1,3,0,8.83357,0.512957
-7.58306,0.998158,0.94755,1,3,0,7.61336,0.55879
-7.65974,0.982746,0.94755,1,3,0,7.66426,0.605084
-7.58177,1,0.94755,2,3,0,7.65147,0.534482
-7.98289,0.893972,0.94755,1,3,0,8.10458,0.675764
-8.38354,0.911573,0.94755,1,1,0,8.41493,0.724911
-7.81168,0.936124,0.94755,1,3,0,9.00433,0.442866
-8.74766,0.83758,0.94755,1,3,0,8.7486,0.321522
