# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:43:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\yk3o_a_m.json
# init = 2 (Default)
# random
#   seed = 7899
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234337_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.844956
# Diagonal elements of inverse mass matrix:
# 0.430805
-8.30999,0.972995,0.844956,1,1,0,8.53494,0.365915
-8.35878,0.990502,0.844956,1,1,0,8.49447,0.36029
-7.59658,0.989852,0.844956,1,3,0,8.37274,0.517308
-7.79626,0.937187,0.844956,1,3,0,7.99783,0.642247
-7.59125,0.997152,0.844956,1,3,0,7.78781,0.568774
-7.59221,0.999934,0.844956,2,3,0,7.59447,0.569675
-8.17721,0.88517,0.844956,1,3,0,8.33531,0.702118
-7.81991,1,0.844956,1,1,0,8.11043,0.647209
-7.5816,0.895228,0.844956,2,3,0,8.71126,0.556045
-7.58159,0.989146,0.844956,2,3,0,7.66044,0.556027
-8.77031,0.750187,0.844956,1,3,0,9.2823,0.759078
-7.76501,0.988753,0.844956,2,3,0,8.90597,0.63522
-7.81097,0.92719,0.844956,1,3,0,8.41647,0.44302
-7.77243,1,0.844956,2,3,0,7.83366,0.451857
-7.60768,0.982081,0.844956,2,3,0,7.95205,0.581141
-7.73211,0.934074,0.844956,2,3,0,8.12669,0.462141
-7.93623,0.881796,0.844956,1,3,0,8.61181,0.668382
-7.97166,0.997802,0.844956,2,3,0,8.03153,0.674035
-7.88008,0.971864,0.844956,2,3,0,8.35944,0.658734
-7.67788,0.987708,0.844956,2,3,0,8.01912,0.611344
-7.68595,0.95918,0.844956,2,7,0,7.98935,0.475801
-7.63775,0.977561,0.844956,1,3,0,7.89943,0.596415
-7.6222,0.983854,0.844956,1,3,0,7.77926,0.501224
-7.6222,0.798727,0.844956,2,3,0,8.97224,0.501224
-7.69879,0.964084,0.844956,1,3,0,7.90145,0.617856
-8.14465,0.845535,0.844956,2,3,0,9.04756,0.386766
-8.00629,1,0.844956,2,3,0,8.17153,0.407027
-8.37745,0.928261,0.844956,1,1,0,8.39706,0.358192
-9.17603,0.861404,0.844956,1,1,0,9.19627,0.287359
-8.10299,0.999554,0.844956,2,7,0,9.08946,0.692751
-7.58221,0.988667,0.844956,1,3,0,8.17309,0.557279
-7.58221,0.780167,0.844956,1,3,0,8.84751,0.557279
-7.59845,0.99716,0.844956,2,3,0,7.60724,0.574859
-7.94568,0.936664,0.844956,1,3,0,8.00786,0.66992
-7.5824,1,0.844956,2,3,0,7.91542,0.557634
-7.58177,0.999003,0.844956,1,3,0,7.59089,0.534466
-7.72495,0.980387,0.844956,2,3,0,7.75321,0.464105
-7.64181,0.97507,0.844956,1,3,0,7.97452,0.598129
-7.66626,0.99506,0.844956,1,1,0,7.67335,0.60741
-7.66626,0.62021,0.844956,1,3,0,10.2085,0.60741
-7.58337,0.993297,0.844956,1,3,0,7.71683,0.531559
-7.79186,0.943945,0.844956,1,3,0,7.93089,0.641292
-7.99648,0.875376,0.844956,1,3,0,8.83744,0.408591
-8.0336,0.992459,0.844956,1,1,0,8.11031,0.402771
-7.99356,0.853023,0.844956,1,3,0,9.34724,0.677384
-8.16828,0.989591,0.844956,2,3,0,8.20621,0.701029
-7.99892,1,0.844956,1,1,0,8.17734,0.678188
-8.1167,0.978761,0.844956,1,1,0,8.16719,0.694538
-7.59831,0.96405,0.844956,1,3,0,8.41249,0.515946
-7.9464,0.936466,0.844956,1,3,0,8.00015,0.416906
-7.70947,0.948352,0.844956,1,3,0,8.50914,0.620953
-7.8274,0.977073,0.844956,1,1,0,7.83229,0.648724
-7.63269,0.974935,0.844956,1,3,0,8.1164,0.496128
-7.60098,0.991043,0.844956,1,3,0,7.72114,0.576705
-7.90372,0.82841,0.844956,2,3,0,8.9566,0.424485
-7.62252,0.962535,0.844956,1,3,0,8.19119,0.589368
-7.57934,0.971761,0.844956,2,3,0,7.83911,0.542153
-7.66818,0.887422,0.844956,2,3,0,8.42138,0.481852
-7.66818,0.754584,0.844956,1,3,0,9.17874,0.481852
-7.62769,0.992207,0.844956,2,3,0,7.75002,0.498488
-8.63616,0.823423,0.844956,1,3,0,8.81625,0.331707
-8.52169,1,0.844956,1,1,0,8.77235,0.34288
-8.66278,0.973715,0.844956,1,1,0,8.81357,0.329216
-9.75631,0.824333,0.844956,1,1,0,9.77703,0.249993
-10.1258,0.944522,0.844956,1,1,0,10.4178,0.229951
-9.46651,1,0.844956,1,1,0,10.2002,0.267613
-10.2412,0.884968,0.844956,1,1,0,10.3962,0.224169
-8.58761,0.992652,0.844956,2,7,0,10.2596,0.744038
-8.02137,1,0.844956,1,1,0,8.48937,0.681492
-8.32272,0.797454,0.844956,1,3,0,9.98301,0.364426
-7.62818,0.941471,0.844956,1,3,0,8.80265,0.592115
-7.65755,0.994041,0.844956,1,1,0,7.66144,0.604282
-7.59973,0.987587,0.844956,1,3,0,7.75807,0.514875
-7.59973,0.599286,0.844956,1,3,0,10.1311,0.514875
-7.84766,0.956596,0.844956,1,3,0,7.87662,0.435292
-8.91936,0.630069,0.844956,1,3,0,10.8492,0.7702
-7.58814,0.970333,0.844956,1,3,0,9.14829,0.565577
-9.00676,0.571894,0.844956,2,3,0,11.1451,0.776315
-7.64118,1,0.844956,2,3,0,8.92579,0.597867
-7.58669,0.993094,0.844956,1,3,0,7.69441,0.52693
-8.08644,0.939462,0.844956,2,3,0,8.09764,0.690556
-7.95124,0.876785,0.844956,1,3,0,9.33542,0.416078
-8.13099,0.964062,0.844956,1,1,0,8.16812,0.388636
-8.1599,0.999629,0.844956,2,7,0,8.16268,0.699998
-7.64919,0.940691,0.844956,1,3,0,8.67846,0.489038
-8.38067,0.774187,0.844956,1,3,0,9.19616,0.724621
-7.68021,0.944369,0.844956,1,3,0,9.12318,0.477698
-7.89083,0.906554,0.844956,1,3,0,8.40172,0.660654
-7.60286,1,0.844956,2,3,0,7.83153,0.512634
-7.7451,0.983131,0.844956,2,7,0,7.74576,0.630407
-9.50975,0.738202,0.844956,1,3,0,9.84434,0.806883
-9.06591,1,0.844956,1,1,0,9.57525,0.780299
-7.69542,0.980707,0.844956,1,3,0,9.04749,0.61685
-8.70693,0.846597,0.844956,1,3,0,8.84484,0.754051
-8.28286,1,0.844956,2,3,0,8.6725,0.714309
-7.98015,1,0.844956,1,1,0,8.24505,0.675346
-8.5218,0.908015,0.844956,1,1,0,8.52258,0.738171
-8.03324,1,0.844956,1,1,0,8.44124,0.683201
-7.73481,0.925246,0.844956,1,3,0,8.72641,0.461411
-7.63822,1,0.844956,1,1,0,7.71469,0.493646
-7.74718,0.949478,0.844956,1,3,0,8.02988,0.630923
-7.95169,0.987074,0.844956,2,3,0,7.95382,0.670886
-7.95254,0.890673,0.844956,1,3,0,9.07991,0.415856
-7.80045,1,0.844956,1,1,0,7.93686,0.445353
-7.90066,0.956681,0.844956,2,3,0,8.26829,0.425048
-7.92538,0.877758,0.844956,1,3,0,8.93985,0.666589
-7.95061,0.995283,0.844956,1,1,0,8.01134,0.670713
-7.61026,0.995922,0.844956,1,3,0,7.92574,0.582711
-8.20112,0.89365,0.844956,1,3,0,8.31733,0.704985
-7.60844,1,0.844956,2,3,0,8.19634,0.581613
-7.6411,0.99333,0.844956,1,1,0,7.64186,0.597833
-7.75048,0.978224,0.844956,1,1,0,7.75049,0.631737
-7.70164,0.956088,0.844956,1,3,0,8.15855,0.470871
-7.80795,0.992639,0.844956,2,3,0,7.81432,0.443684
-7.8147,0.915479,0.844956,1,3,0,8.51857,0.64614
-7.66702,0.957419,0.844956,1,3,0,8.18815,0.482266
-7.68919,0.995333,0.844956,1,1,0,7.70221,0.474757
-7.57995,1,0.844956,2,3,0,7.68342,0.53925
-8.01758,0.894465,0.844956,1,3,0,8.24203,0.680942
-8.0192,0.999668,0.844956,2,7,0,8.02852,0.404997
-7.75405,1,0.844956,1,1,0,7.96529,0.456393
-8.79338,0.694394,0.844956,2,7,0,10.3163,0.760861
-8.08657,0.820458,0.844956,1,3,0,10.96,0.394896
-8.8005,0.925313,0.844956,2,7,0,8.94675,0.761407
-7.60882,0.930958,0.844956,1,3,0,9.44687,0.508742
-8.90057,0.764874,0.844956,1,3,0,9.21708,0.308507
-7.65078,0.994991,0.844956,2,3,0,8.93599,0.488402
-7.587,0.992202,0.844956,1,3,0,7.70825,0.564278
-7.78013,0.861258,0.844956,2,3,0,8.65344,0.450025
-7.68026,0.961349,0.844956,1,3,0,8.1614,0.612122
-7.64893,0.973603,0.844956,1,3,0,7.91481,0.489142
-7.8323,0.705636,0.844956,2,3,0,10.1519,0.438456
-7.79405,1,0.844956,1,1,0,7.85953,0.446799
-7.94836,0.989484,0.844956,2,3,0,7.96296,0.416569
-7.61136,0.973471,0.844956,2,3,0,8.21492,0.583356
-8.57808,0.821814,0.844956,1,3,0,8.82737,0.743205
-9.7438,0.893245,0.844956,2,7,0,10.052,0.250716
-9.86093,0.981721,0.844956,1,1,0,10.2264,0.244065
-7.62124,0.974909,0.844956,1,3,0,10.0068,0.501723
-7.65108,0.99371,0.844956,1,1,0,7.65408,0.488282
-7.61189,1,0.844956,1,1,0,7.6436,0.506887
-9.11726,0.817653,0.844956,2,3,0,9.35937,0.291652
-8.89538,1,0.844956,1,1,0,9.27364,0.308933
-8.50044,1,0.844956,2,3,0,8.91213,0.345043
-9.73706,0.86969,0.844956,2,7,0,10.0528,0.818642
-7.76093,1,0.844956,2,3,0,9.67539,0.634258
-7.86759,0.979526,0.844956,1,1,0,7.88098,0.656454
-7.9875,0.977671,0.844956,1,1,0,8.01565,0.676467
-7.73452,1,0.844956,1,1,0,7.93858,0.627723
-7.73452,0.617409,0.844956,2,3,0,10.9217,0.627723
-7.63914,0.970804,0.844956,1,3,0,7.98486,0.493244
-9.26816,0.72169,0.844956,1,3,0,9.62062,0.280841
-7.84106,1,0.844956,2,7,0,9.01084,0.651423
-7.73336,0.942851,0.844956,1,3,0,8.39275,0.461801
-7.66259,1,0.844956,1,1,0,7.72299,0.483879
-7.65022,0.974977,0.844956,1,3,0,7.88672,0.601502
-7.64846,1,0.844956,1,1,0,7.66361,0.600816
-7.61382,0.986256,0.844956,1,3,0,7.77891,0.505763
-7.95334,0.94284,0.844956,1,3,0,7.98703,0.415719
-8.63982,0.926531,0.844956,2,7,0,8.73204,0.748513
-7.90471,0.996909,0.844956,2,7,0,8.56708,0.424303
-8.18284,0.981611,0.844956,2,3,0,8.19902,0.381672
-7.68148,0.98313,0.844956,2,3,0,8.34874,0.477272
-7.67456,0.965122,0.844956,1,3,0,7.97474,0.610247
-7.76974,0.939391,0.844956,2,7,0,8.14688,0.452507
-7.95379,0.947782,0.844956,2,3,0,8.29895,0.415643
-7.59538,0.99601,0.844956,1,3,0,7.93914,0.518298
-9.41464,0.617184,0.844956,2,3,0,10.702,0.801624
-7.59556,1,0.844956,2,3,0,9.07286,0.518142
-7.61277,0.988623,0.844956,1,3,0,7.67898,0.584167
-7.75648,0.97542,0.844956,2,3,0,7.83712,0.633193
-7.96047,0.961422,0.844956,1,1,0,7.96333,0.672281
-8.47916,0.948658,0.844956,2,7,0,8.57148,0.347241
-8.60035,0.683907,0.844956,1,3,0,11.6349,0.745144
-7.5805,0.964046,0.844956,1,3,0,8.92399,0.537522
-7.63158,0.985928,0.844956,1,3,0,7.66683,0.593688
-7.64117,0.992013,0.844956,2,3,0,7.72141,0.597861
-9.76948,0.755843,0.844956,2,3,0,9.95227,0.820234
-8.95346,1,0.844956,2,3,0,9.70306,0.77262
-7.77805,0.869709,0.844956,2,7,0,10.3636,0.450515
-7.61271,0.78323,0.844956,2,3,0,9.60453,0.506407
-7.66599,0.969625,0.844956,2,7,0,7.81798,0.607318
-7.66618,0.999968,0.844956,2,7,0,7.66771,0.48257
-7.79251,0.991248,0.844956,2,3,0,7.79343,0.44715
-7.58182,0.996415,0.844956,1,3,0,7.80274,0.534373
-7.67,0.868613,0.844956,2,3,0,8.5735,0.481206
-7.74925,0.939236,0.844956,2,7,0,8.10551,0.631434
-8.02843,0.947663,0.844956,1,1,0,8.02847,0.682512
-8.43895,0.976631,0.844956,2,3,0,8.44977,0.730389
-7.79415,0.982028,0.844956,2,3,0,8.66684,0.641791
