# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:43:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\yk3o_a_m.json
# init = 2 (Default)
# random
#   seed = 7899
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234337_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.0205
# Diagonal elements of inverse mass matrix:
# 0.408608
-8.00947,1,1.0205,2,3,0,9.87899,0.406524
-8.36433,0.906348,1.0205,1,1,0,8.42997,0.359663
-7.59743,0.988655,1.0205,1,3,0,8.36519,0.574074
-7.85279,0.942489,1.0205,1,3,0,7.86098,0.653681
-8.42677,0.954926,1.0205,2,3,0,8.43333,0.729206
-7.94466,1,1.0205,2,3,0,8.33238,0.669754
-8.76985,0.731804,1.0205,1,3,0,9.79523,0.319568
-7.7319,1,1.0205,1,3,0,8.48224,0.462196
-7.62179,0.985552,1.0205,1,3,0,7.81876,0.589003
-7.57941,0.944585,1.0205,2,3,0,7.92975,0.54173
-10.1173,0.478659,1.0205,1,3,0,10.5926,0.230389
-8.02515,1,1.0205,1,3,0,9.575,0.404072
-7.5845,0.994773,1.0205,1,3,0,8.00384,0.561019
-7.58234,0.972145,1.0205,2,3,0,7.73299,0.557513
-7.61694,0.987666,1.0205,2,3,0,7.65514,0.586474
-7.65195,0.996721,1.0205,2,3,0,7.65732,0.602171
-7.74252,0.975191,1.0205,1,1,0,7.75016,0.629761
-8.28379,0.867646,1.0205,1,1,0,8.2839,0.714411
-10.0289,0.786226,1.0205,1,3,0,10.0291,0.832283
-10.1844,0.97531,1.0205,1,1,0,10.663,0.838973
-7.802,0.981462,1.0205,1,3,0,9.75592,0.643478
-7.69589,1,1.0205,2,3,0,7.78875,0.616992
-7.8207,0.966534,1.0205,1,1,0,7.83437,0.64737
-8.9414,0.679354,1.0205,1,3,0,9.8264,0.305199
-8.14159,0.890275,1.0205,1,3,0,10.1358,0.697715
-7.76621,1,1.0205,1,1,0,8.04982,0.635502
-7.76621,0.869384,1.0205,1,3,0,8.3129,0.635502
-7.99603,0.940922,1.0205,1,1,0,8.01354,0.677755
-7.86348,1,1.0205,1,1,0,8.0135,0.655692
-7.58024,0.996204,1.0205,1,3,0,7.84415,0.538293
-7.58307,0.817427,1.0205,2,3,0,8.6015,0.532058
-7.58174,0.998247,1.0205,2,3,0,7.59324,0.534526
-9.23925,0.692595,1.0205,2,3,0,9.92325,0.282859
-7.73589,0.963441,1.0205,1,3,0,9.60407,0.628075
-7.63837,1,1.0205,1,1,0,7.71311,0.596681
-7.5828,0.997283,1.0205,1,3,0,7.64557,0.532519
-9.8407,0.632248,1.0205,2,3,0,10.6549,0.245194
-8.45677,1,1.0205,1,1,0,9.54409,0.349585
-8.01929,1,1.0205,1,1,0,8.39422,0.404983
-8.76824,0.718554,1.0205,1,3,0,10.0194,0.758916
-8.65183,1,1.0205,2,3,0,8.97976,0.749522
-8.14616,1,1.0205,1,1,0,8.58999,0.698288
-7.70907,0.956806,1.0205,1,3,0,8.43309,0.468649
-7.93708,0.978726,1.0205,2,3,0,7.94742,0.418519
-7.58736,1,1.0205,1,3,0,7.8566,0.526122
-8.13349,0.869225,1.0205,1,3,0,8.17647,0.388292
-7.69549,1,1.0205,2,3,0,8.00782,0.472763
-7.86691,0.951485,1.0205,1,1,0,7.87865,0.431458
-7.63496,1,1.0205,1,1,0,7.79944,0.495093
-7.76755,0.987059,1.0205,2,3,0,7.7702,0.45304
-7.70232,1,1.0205,2,3,0,7.7734,0.470664
-7.6811,1,1.0205,2,3,0,7.72188,0.477398
-8.6522,0.865598,1.0205,2,3,0,8.73316,0.749552
-7.63485,1,1.0205,1,3,0,8.43892,0.595153
-7.6299,1,1.0205,2,3,0,7.64692,0.592919
-7.68892,0.97483,1.0205,1,3,0,7.80294,0.47484
-7.57911,1,1.0205,1,3,0,7.67253,0.544815
-7.62524,0.988035,1.0205,1,3,0,7.63165,0.499691
-8.89315,0.66289,1.0205,1,3,0,9.434,0.76831
-7.89531,0.996924,1.0205,1,3,0,8.64829,0.661445
-8.1139,0.945536,1.0205,1,1,0,8.16001,0.694175
-7.91169,1,1.0205,1,1,0,8.11443,0.664278
-7.86223,1,1.0205,1,1,0,7.9657,0.655459
-7.64997,1,1.0205,1,1,0,7.80458,0.601405
-7.63983,1,1.0205,1,1,0,7.66235,0.597297
-7.60701,0.715074,1.0205,2,3,0,9.48164,0.509878
-7.61147,0.998695,1.0205,1,1,0,7.61875,0.507133
-9.38175,0.656801,1.0205,2,3,0,10.2825,0.273139
-8.95582,1,1.0205,2,3,0,9.5576,0.304046
-7.81105,1,1.0205,2,3,0,8.72483,0.645382
-7.88068,0.981676,1.0205,1,1,0,7.93056,0.658843
-7.60205,0.985336,1.0205,1,3,0,7.93192,0.513197
-8.1781,0.838824,1.0205,1,3,0,8.40374,0.702226
-7.80591,1,1.0205,1,1,0,8.09401,0.644305
-9.21322,0.747585,1.0205,1,3,0,9.24237,0.789731
-7.87993,0.996087,1.0205,1,3,0,8.898,0.658707
-7.89543,0.943684,1.0205,2,3,0,8.43257,0.426018
-8.2263,0.911016,1.0205,1,1,0,8.26797,0.376091
-7.58562,1,1.0205,1,3,0,8.09686,0.528287
-7.58231,0.909896,1.0205,2,3,0,8.06075,0.533405
-9.57061,0.657089,1.0205,2,3,0,10.3316,0.261067
-7.84506,0.954084,1.0205,1,3,0,10.2121,0.652199
-8.3665,0.875776,1.0205,1,1,0,8.37487,0.723178
-7.60006,0.97491,1.0205,2,3,0,8.52585,0.576044
-7.75052,0.967543,1.0205,1,3,0,7.75166,0.631745
-7.99485,0.937102,1.0205,1,1,0,8.00812,0.677577
-8.35769,0.914282,1.0205,1,1,0,8.40503,0.722272
-8.0093,1,1.0205,1,1,0,8.32397,0.679728
-8.16606,0.961497,1.0205,1,1,0,8.24863,0.700757
-7.85219,1,1.0205,1,1,0,8.11084,0.653566
-7.82437,1,1.0205,1,1,0,7.90642,0.648113
-7.59132,1,1.0205,1,3,0,7.76854,0.568844
-8.32085,0.809777,1.0205,1,3,0,8.51763,0.364644
-7.77423,1,1.0205,1,1,0,8.17007,0.451426
-7.60163,1,1.0205,1,3,0,7.72475,0.513497
-7.6989,0.952357,1.0205,2,3,0,7.87145,0.471708
-8.042,0.905686,1.0205,1,1,0,8.04506,0.401489
-7.59131,1,1.0205,1,3,0,7.93664,0.521944
-7.99791,0.903605,1.0205,1,3,0,8.02019,0.408362
-8.50582,0.869322,1.0205,1,1,0,8.55176,0.344493
-7.58414,0.988862,1.0205,2,3,0,8.55327,0.560488
-8.72655,0.731545,1.0205,1,3,0,8.90879,0.755627
-7.92954,1,1.0205,2,3,0,8.51935,0.419841
-8.59157,0.83251,1.0205,1,1,0,8.61217,0.335967
-7.62262,0.980758,1.0205,1,3,0,8.66084,0.589421
-7.59333,1,1.0205,1,1,0,7.61505,0.570683
-7.59333,0.663346,1.0205,1,3,0,8.89319,0.570683
-7.64255,0.986073,1.0205,1,1,0,7.64266,0.598434
-7.64255,0.650038,1.0205,1,3,0,9.14698,0.598434
-7.61122,1,1.0205,1,1,0,7.63809,0.583271
-7.6652,0.979051,1.0205,1,3,0,7.74354,0.482925
-7.79835,0.961968,1.0205,1,1,0,7.80663,0.445825
-8.04055,0.884776,1.0205,2,3,0,8.61578,0.684241
-7.74511,0.953857,1.0205,1,3,0,8.38142,0.458687
-7.74511,0.913817,1.0205,1,1,0,7.98012,0.458687
-7.76428,0.99815,1.0205,2,3,0,7.80891,0.453839
-7.66071,1,1.0205,1,1,0,7.74381,0.484579
-7.81181,0.911957,1.0205,2,3,0,8.19205,0.64554
-7.6083,0.985191,1.0205,1,3,0,7.87684,0.509062
-7.64473,0.968282,1.0205,2,3,0,7.78544,0.490862
-7.81176,0.983164,1.0205,2,3,0,7.81436,0.442848
-7.74408,1,1.0205,2,3,0,7.82816,0.458957
-7.62809,1,1.0205,2,3,0,7.71323,0.592077
-7.84071,0.973995,1.0205,2,3,0,7.85597,0.436713
-7.59916,1,1.0205,1,3,0,7.77451,0.515301
-7.57919,0.937088,1.0205,2,3,0,7.9281,0.547443
-7.63435,0.987086,1.0205,2,3,0,7.66009,0.495371
-7.76069,0.988194,1.0205,2,3,0,7.76217,0.634199
-8.42023,0.932211,1.0205,2,3,0,8.45132,0.353491
-7.65605,0.971434,1.0205,1,3,0,8.58334,0.603722
-7.65605,0.67203,1.0205,1,3,0,8.9555,0.603722
-7.65605,0.762666,1.0205,1,3,0,8.55396,0.603722
-7.58382,0.933616,1.0205,2,3,0,8.04034,0.530853
-7.59655,0.995381,1.0205,1,3,0,7.60994,0.573383
-7.87589,0.953011,1.0205,2,3,0,7.93665,0.429716
-8.03565,0.98519,1.0205,2,3,0,8.09379,0.402457
-7.67161,1,1.0205,1,1,0,7.93057,0.480638
-7.94712,0.903649,1.0205,1,3,0,8.23446,0.670152
-8.53586,0.864982,1.0205,1,1,0,8.55272,0.739446
-10.1196,0.72637,1.0205,1,1,0,10.1298,0.836232
-7.98863,0.98539,1.0205,1,3,0,9.67815,0.676638
-8.0543,0.98345,1.0205,1,1,0,8.15002,0.68617
-8.63409,0.825463,1.0205,2,3,0,9.79669,0.74803
-7.65839,0.960754,1.0205,2,3,0,8.94125,0.604589
-8.37972,0.795939,1.0205,1,3,0,8.76159,0.357939
-7.58961,0.992556,1.0205,1,3,0,8.34872,0.567147
-7.74325,0.955453,1.0205,1,3,0,7.80647,0.459173
-8.16539,0.806706,1.0205,2,3,0,8.99487,0.383977
-8.5802,0.893907,1.0205,1,1,0,8.67499,0.337072
-7.85246,1,1.0205,2,3,0,8.38343,0.434324
-8.31344,0.878128,1.0205,1,1,0,8.33449,0.365509
-8.17416,1,1.0205,1,1,0,8.41694,0.382814
-9.15441,0.466224,1.0205,2,3,0,11.9156,0.786046
-8.58846,1,1.0205,1,1,0,9.16214,0.744112
-7.64433,0.962656,1.0205,1,3,0,8.76351,0.491032
-7.59511,1,1.0205,2,3,0,7.63208,0.572208
-7.67364,0.989668,1.0205,2,3,0,7.68038,0.479932
-8.17192,0.813447,1.0205,2,3,0,8.85363,0.38311
-8.51702,0.910693,1.0205,1,1,0,8.62346,0.343354
-9.28083,0.824735,1.0205,1,1,0,9.40502,0.279964
-8.04005,1,1.0205,1,1,0,8.95588,0.401785
-7.78632,1,1.0205,2,3,0,7.99196,0.448576
-7.68839,0.963119,1.0205,2,3,0,8.0762,0.6147
-8.95189,0.746679,1.0205,1,3,0,9.01086,0.772509
-9.14609,0.987204,1.0205,2,3,0,9.42393,0.785516
-8.08197,1,1.0205,2,3,0,8.87829,0.395561
-8.08197,0.835344,1.0205,1,1,0,8.61455,0.395561
-7.67628,1,1.0205,1,1,0,7.96479,0.479026
-7.57916,0.999801,1.0205,1,3,0,7.66427,0.547143
-7.63104,0.986268,1.0205,1,3,0,7.64012,0.496895
-7.67071,0.954178,1.0205,2,3,0,7.89064,0.480957
-7.58338,1,1.0205,1,3,0,7.64833,0.531544
-7.60311,0.997523,1.0205,2,3,0,7.60311,0.51246
-7.57944,1,1.0205,1,3,0,7.59806,0.54156
-7.58472,0.977794,1.0205,2,3,0,7.69352,0.529518
-8.02589,0.880958,1.0205,1,3,0,8.15041,0.682147
-7.94831,1,1.0205,1,1,0,8.08915,0.670343
-7.74938,1,1.0205,1,1,0,7.91244,0.631465
-9.42356,0.683667,1.0205,1,3,0,9.50324,0.802126
-8.79013,1,1.0205,2,3,0,9.44607,0.760612
-8.06025,1,1.0205,2,3,0,8.63796,0.686995
-7.80191,0.805379,1.0205,2,3,0,9.63043,0.445025
-7.80191,0.417883,1.0205,1,3,0,10.8288,0.445025
-7.70513,1,1.0205,1,1,0,7.79525,0.469819
-8.2701,0.850256,1.0205,1,1,0,8.2701,0.370677
-9.28649,0.768367,1.0205,1,1,0,9.33587,0.279574
-9.28649,0.676521,1.0205,1,1,0,10.85,0.279574
-8.68396,1,1.0205,1,1,0,9.32156,0.327262
-7.74625,1,1.0205,1,3,0,8.42054,0.458392
-7.67839,0.975495,1.0205,2,3,0,7.93343,0.611513
-8.05145,0.881195,1.0205,1,3,0,8.36747,0.400063
-7.82325,1,1.0205,1,1,0,8.0222,0.440367
