# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\p3_5hv18.json
# init = 2 (Default)
# random
#   seed = 67652
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234403_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.960886
# Diagonal elements of inverse mass matrix:
# 0.421433
-7.82334,0.996368,0.960886,1,3,0,8.43877,0.647906
-9.02956,0.807334,0.960886,1,3,0,9.05697,0.777865
-9.96572,0.852229,0.960886,1,1,0,10.0659,0.829456
-7.64792,0.974374,0.960886,1,3,0,9.79231,0.600601
-7.59125,0.994288,0.960886,1,3,0,7.68474,0.521995
-7.60705,0.995789,0.960886,1,1,0,7.60803,0.509852
-7.60705,0.410968,0.960886,1,3,0,10.6608,0.509852
-8.82303,0.828759,0.960886,2,3,0,8.93802,0.763118
-7.92168,0.919123,0.960886,2,3,0,9.83964,0.421235
-8.12866,0.864571,0.960886,1,3,0,9.00121,0.696075
-7.68608,0.998915,0.960886,1,3,0,8.02196,0.613977
-7.69233,0.950138,0.960886,2,3,0,8.07252,0.473755
-7.58001,0.998519,0.960886,1,3,0,7.6953,0.551847
-7.5791,0.991832,0.960886,2,3,0,7.62672,0.545247
-7.57971,0.957457,0.960886,2,3,0,7.82235,0.540236
-8.46106,0.78201,0.960886,1,3,0,8.71642,0.732512
-8.35348,1,0.960886,1,1,0,8.5925,0.721837
-8.42488,0.994965,0.960886,2,3,0,8.58845,0.72902
-7.60483,0.999792,0.960886,1,3,0,8.31255,0.579328
-7.70568,0.981489,0.960886,1,3,0,7.7058,0.619868
-8.59754,0.903614,0.960886,2,3,0,8.63819,0.33539
-7.7472,1,0.960886,2,3,0,8.40738,0.630929
-7.68712,1,0.960886,1,1,0,7.74825,0.614303
-8.45983,0.85802,0.960886,1,3,0,8.48548,0.732395
-8.01975,0.911455,0.960886,1,3,0,9.54946,0.40491
-7.58574,1,0.960886,1,3,0,7.95318,0.528119
-7.62602,0.986631,0.960886,1,3,0,7.65818,0.591088
-7.7659,0.957369,0.960886,2,3,0,7.955,0.63543
-7.78036,0.99881,0.960886,2,3,0,7.82449,0.638746
-7.62955,1,0.960886,1,1,0,7.74197,0.592756
-7.59377,0.994396,0.960886,1,3,0,7.66869,0.519674
-7.60143,0.992781,0.960886,2,3,0,7.64513,0.577026
-7.69853,0.971592,0.960886,2,3,0,7.80944,0.617779
-7.6284,1,0.960886,1,1,0,7.68349,0.592218
-7.96213,0.935579,0.960886,1,3,0,7.96928,0.672544
-7.61114,0.982588,0.960886,2,3,0,8.09334,0.583224
-7.58693,0.996062,0.960886,2,3,0,7.6407,0.564191
-7.90508,0.913609,0.960886,1,3,0,8.02397,0.424236
-7.6734,1,0.960886,2,3,0,7.84504,0.480016
-7.65995,0.971435,0.960886,2,3,0,7.89224,0.484861
-7.89037,0.912556,0.960886,1,3,0,8.1865,0.660573
-7.58728,1,0.960886,1,3,0,7.84399,0.564601
-7.60943,0.994211,0.960886,1,1,0,7.60948,0.58221
-8.0368,0.942781,0.960886,2,3,0,8.08154,0.40228
-8.86746,0.77693,0.960886,2,3,0,10.1871,0.31124
-9.86792,0.805501,0.960886,1,1,0,9.98945,0.243676
-8.34535,1,0.960886,1,1,0,9.52502,0.361818
-7.58366,1,0.960886,1,3,0,8.25493,0.531105
-7.76051,0.950491,0.960886,1,3,0,7.83188,0.634157
-7.85817,0.976311,0.960886,1,1,0,7.88486,0.654698
-7.7975,1,0.960886,2,3,0,7.88516,0.642516
-7.59961,0.987624,0.960886,1,3,0,7.8729,0.514963
-7.615,0.866031,0.960886,2,3,0,8.39892,0.585421
-7.62284,0.987459,0.960886,2,3,0,7.71584,0.589529
-7.58698,0.99553,0.960886,2,3,0,7.65569,0.564249
-8.80409,0.726674,0.960886,1,3,0,9.05371,0.761681
-7.79351,0.934462,0.960886,1,3,0,9.53502,0.446921
-7.6092,1,0.960886,2,3,0,7.75341,0.582072
-7.60862,0.91856,0.960886,2,3,0,8.11496,0.508863
-7.60211,1,0.960886,1,1,0,7.61168,0.513157
-7.68208,0.978841,0.960886,1,1,0,7.68208,0.477075
-7.60886,1,0.960886,1,1,0,7.663,0.508712
-7.60318,0.943741,0.960886,2,3,0,7.94847,0.578231
-7.61209,0.72217,0.960886,2,3,0,9.54073,0.583778
-7.96335,0.923154,0.960886,2,3,0,8.19264,0.672735
-7.63355,0.999885,0.960886,1,3,0,7.88549,0.594577
-7.77395,0.964898,0.960886,1,1,0,7.77427,0.637292
-7.59362,0.99015,0.960886,1,3,0,7.83062,0.51981
-7.65817,0.977461,0.960886,1,3,0,7.71959,0.604511
-7.96256,0.94689,0.960886,1,3,0,7.96328,0.672611
-7.7799,1,0.960886,1,1,0,7.93729,0.638642
-7.7306,0.870866,0.960886,2,3,0,8.77127,0.462551
-9.21425,0.577659,0.960886,1,3,0,10.376,0.789795
-7.68963,0.977595,0.960886,2,3,0,9.38508,0.615084
-7.88191,0.984432,0.960886,2,3,0,7.88548,0.659063
-7.5805,0.695616,0.960886,2,3,0,10.3037,0.553397
-7.57949,0.999798,0.960886,2,3,0,7.582,0.549657
-7.581,0.952536,0.960886,2,3,0,7.85263,0.536185
-8.28819,0.86982,0.960886,2,3,0,8.55008,0.368498
-8.50029,0.790046,0.960886,1,3,0,10.2197,0.736196
-7.87302,1,0.960886,1,1,0,8.35747,0.657452
-7.76316,0.954923,0.960886,1,3,0,8.29038,0.454116
-8.25677,0.879111,0.960886,1,1,0,8.25811,0.372304
-7.63379,1,0.960886,1,3,0,8.11427,0.495626
-7.76332,0.94833,0.960886,1,3,0,7.94809,0.634823
-7.72502,1,0.960886,1,1,0,7.78271,0.625228
-7.66065,1,0.960886,1,1,0,7.71843,0.605415
-7.66065,0.664431,0.960886,2,3,0,10.1257,0.605415
-7.66065,0.570907,0.960886,1,3,0,9.72553,0.605415
-7.62474,0.949833,0.960886,2,3,0,8.01019,0.499937
-7.68834,0.983141,0.960886,1,1,0,7.69168,0.475028
-7.57943,0.999206,0.960886,1,3,0,7.6872,0.549304
-7.93688,0.909836,0.960886,1,3,0,8.02044,0.418554
-8.14465,0.867545,0.960886,2,3,0,9.08495,0.386767
-8.55354,0.903515,0.960886,1,1,0,8.62548,0.339692
-9.33208,0.836411,0.960886,1,1,0,9.43158,0.276464
-7.60168,0.998085,0.960886,1,3,0,9.11272,0.513462
-9.52883,0.73531,0.960886,2,3,0,9.69668,0.807912
-9.59106,0.989785,0.960886,1,1,0,9.97601,0.811215
-10.7092,0.846354,0.960886,1,1,0,10.842,0.859081
-10.9654,0.968168,0.960886,1,1,0,11.4537,0.867716
-10.3442,1,0.960886,1,1,0,11.2155,0.845479
-10.1242,1,0.960886,1,1,0,10.7367,0.836427
-8.70055,1,0.960886,1,1,0,9.88391,0.753534
-7.61225,0.970072,0.960886,1,3,0,8.91752,0.506674
-7.58104,0.642069,0.960886,2,3,0,10.2329,0.554792
-9.08889,0.776258,0.960886,2,3,0,9.43723,0.293765
-8.11024,1,0.960886,1,1,0,8.86359,0.391525
-7.60298,0.985078,0.960886,1,3,0,8.20771,0.578096
-7.69528,0.967907,0.960886,1,3,0,7.7878,0.472828
-7.58482,1,0.960886,1,3,0,7.67225,0.529378
-7.58746,0.894756,0.960886,2,3,0,8.20215,0.564817
-8.29518,0.838496,0.960886,1,3,0,8.40931,0.715655
-7.58009,1,0.960886,2,3,0,8.24335,0.538761
-7.93818,0.907173,0.960886,1,3,0,8.04124,0.668701
-7.79027,1,0.960886,1,1,0,7.92785,0.640945
-7.7116,1,0.960886,1,1,0,7.78948,0.621552
-8.83078,0.87645,0.960886,2,3,0,8.89142,0.31432
-7.72982,0.938244,0.960886,1,3,0,9.35261,0.626499
-7.72982,0.820357,0.960886,1,3,0,8.54053,0.626499
-7.59927,0.687152,0.960886,2,3,0,10.1335,0.575467
-7.87752,0.94117,0.960886,1,3,0,7.89306,0.658271
-7.81594,0.918165,0.960886,2,3,0,8.65541,0.441938
-7.71284,0.964629,0.960886,1,3,0,8.12641,0.621899
-8.46577,0.922895,0.960886,2,3,0,8.49045,0.348639
-8.46577,0.607718,0.960886,1,3,0,11.428,0.348639
-8.03524,0.877337,0.960886,1,3,0,9.58856,0.683486
-8.03524,0.305222,0.960886,2,3,0,14.7787,0.683486
-8.08565,0.996155,0.960886,2,3,0,8.1849,0.690451
-7.88675,1,0.960886,1,1,0,8.07646,0.659931
-7.58809,0.990405,0.960886,1,3,0,7.93368,0.525282
-7.58809,0.715708,0.960886,1,3,0,8.81353,0.525282
-7.58367,0.980633,0.960886,2,3,0,7.70174,0.559779
-8.48271,0.792144,0.960886,1,3,0,8.6614,0.734558
-8.04508,1,0.960886,1,1,0,8.41974,0.684881
-8.48141,0.868593,0.960886,2,3,0,9.42385,0.734436
-8.17948,0.896789,0.960886,1,3,0,9.87376,0.382113
-7.65902,1,0.960886,1,3,0,8.04821,0.485211
-7.69563,0.971029,0.960886,1,3,0,7.88383,0.616912
-7.6024,1,0.960886,2,3,0,7.67232,0.512956
-7.91479,0.906166,0.960886,1,3,0,8.09793,0.664806
-8.28501,0.918168,0.960886,1,1,0,8.30643,0.714545
-8.25564,1,0.960886,1,1,0,8.43235,0.711282
-7.68674,0.957087,0.960886,1,3,0,8.61492,0.475546
-7.58286,1,0.960886,2,3,0,7.67582,0.558445
-7.92867,0.918898,0.960886,1,3,0,7.98007,0.667136
-10.0036,0.684659,0.960886,1,3,0,10.1096,0.83116
-8.79938,1,0.960886,1,1,0,9.83077,0.761321
-9.54153,0.873527,0.960886,1,1,0,9.64385,0.808593
-7.75968,0.985788,0.960886,1,3,0,9.26143,0.633961
