# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\p3_5hv18.json
# init = 2 (Default)
# random
#   seed = 67652
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234403_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.855961
# Diagonal elements of inverse mass matrix:
# 0.330073
-7.71716,0.956763,0.855961,1,3,0,8.02747,0.466302
-7.71652,0.939432,0.855961,1,3,0,8.30592,0.622921
-7.77937,0.972437,0.855961,3,7,0,8.03724,0.450204
-7.72273,0.930611,0.855961,1,3,0,8.47633,0.624613
-7.78527,0.990363,0.855961,1,1,0,7.79272,0.639843
-9.29323,0.627312,0.855961,1,3,0,12.1201,0.279111
-7.66396,1,0.855961,2,3,0,9.14062,0.483376
-7.70092,0.993886,0.855961,1,1,0,7.70602,0.47109
-7.66772,1,0.855961,1,1,0,7.70169,0.482017
-7.84129,0.93564,0.855961,3,7,0,8.31822,0.436592
-7.82635,1,0.855961,1,1,0,7.87494,0.439709
-8.14538,0.802268,0.855961,1,3,0,9.73879,0.698191
-8.09918,1,0.855961,1,1,0,8.20227,0.69225
-8.15601,0.997344,0.855961,2,3,0,8.21617,0.699517
-7.95017,1,0.855961,1,1,0,8.13677,0.670642
-7.77168,1,0.855961,1,1,0,7.92371,0.636772
-7.75753,0.926546,0.855961,1,3,0,8.55271,0.455515
-7.81849,0.997193,0.855961,2,7,0,7.82087,0.646918
-7.93664,0.982423,0.855961,1,1,0,7.94618,0.668449
-7.97319,0.99465,0.855961,1,1,0,8.01663,0.674272
-8.14469,0.992828,0.855961,2,7,0,8.14676,0.386761
-7.73179,0.992191,0.855961,2,3,0,8.2531,0.462226
-7.71182,1,0.855961,1,1,0,7.74455,0.467842
-7.71073,1,0.855961,1,1,0,7.73313,0.468162
-7.59349,0.960692,0.855961,2,3,0,8.08939,0.519927
-7.61231,0.987608,0.855961,1,3,0,7.70169,0.583903
-7.61231,0.799118,0.855961,1,3,0,9.37703,0.583903
-7.6275,0.999321,0.855961,2,7,0,7.62755,0.498583
-7.60386,0.985465,0.855961,1,3,0,7.76462,0.578687
-7.79874,0.939141,0.855961,1,3,0,8.13397,0.445736
-7.58738,1,0.855961,2,3,0,7.78041,0.526101
-7.57917,1,0.855961,2,3,0,7.58629,0.543659
-7.60942,0.993253,0.855961,1,3,0,7.63348,0.582208
-7.60942,0.888054,0.855961,1,3,0,8.53833,0.582208
-8.69319,0.760424,0.855961,1,3,0,9.90296,0.326418
-8.6098,1,0.855961,1,1,0,8.81652,0.334212
-8.51275,1,0.855961,1,1,0,8.71268,0.343786
-8.01072,1,0.855961,1,1,0,8.43377,0.406327
