# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\oi1az6fi.json
# init = 2 (Default)
# random
#   seed = 34647
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234409_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05904
# Diagonal elements of inverse mass matrix:
# 0.332439
-7.62603,0.98528,1.05904,1,3,0,7.80523,0.499298
-7.63461,0.954009,1.05904,2,3,0,7.93654,0.595045
-7.59711,0.993634,1.05904,2,3,0,7.68702,0.573827
-8.03,0.908022,1.05904,1,3,0,8.07708,0.682738
-7.90229,1,1.05904,1,1,0,8.04971,0.662662
-7.93195,0.99775,1.05904,2,3,0,8.00173,0.667678
-7.73623,0.893004,1.05904,2,3,0,8.84246,0.461029
-9.73564,0.473616,1.05904,1,3,0,11.3666,0.818572
-7.63013,0.974004,1.05904,1,3,0,9.65159,0.593025
-7.61176,1,1.05904,1,1,0,7.63017,0.58359
-7.60289,1,1.05904,2,3,0,7.61366,0.578036
-7.88681,0.942677,1.05904,1,3,0,7.9041,0.659941
-8.00456,0.97361,1.05904,1,1,0,8.05178,0.679028
-8.189,0.986792,1.05904,2,3,0,8.24773,0.70354
-8.62079,0.915061,1.05904,1,1,0,8.67187,0.746899
-7.69262,1,1.05904,2,3,0,8.40898,0.473665
-7.8386,0.987843,1.05904,2,3,0,7.8461,0.437147
-7.72909,1,1.05904,1,1,0,7.8294,0.462962
-7.87863,0.916643,1.05904,1,3,0,8.31916,0.658473
-8.16508,0.937729,1.05904,1,1,0,8.18583,0.700637
-8.97046,0.849705,1.05904,1,1,0,8.981,0.773809
-9.57369,0.902611,1.05904,1,1,0,9.71195,0.810302
-7.95479,0.99794,1.05904,2,7,0,9.20516,0.415473
-8.18067,0.945926,1.05904,1,1,0,8.23188,0.381958
-7.66696,0.95635,1.05904,1,3,0,8.50635,0.607656
-8.213,0.831082,1.05904,1,3,0,8.68395,0.377776
-7.70345,0.952494,1.05904,2,3,0,8.63616,0.619225
-7.58088,0.997706,1.05904,2,3,0,7.71793,0.554405
-7.59457,0.995597,1.05904,1,3,0,7.60501,0.518983
-7.65224,0.989708,1.05904,1,3,0,7.6523,0.487823
-8.41087,0.905872,1.05904,2,3,0,8.43182,0.727642
