# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\oi1az6fi.json
# init = 2 (Default)
# random
#   seed = 34647
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234409_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.14258
# Diagonal elements of inverse mass matrix:
# 0.452952
-8.60301,0.741686,1.14258,2,3,0,8.82288,0.745374
-7.59518,0.981144,1.14258,1,3,0,8.29911,0.518466
-7.61527,0.991871,1.14258,1,1,0,7.62036,0.504944
-7.64728,0.98707,1.14258,1,1,0,7.65955,0.489811
-8.17037,0.810755,1.14258,1,1,0,8.17762,0.383315
-7.60341,1,1.14258,2,3,0,7.94168,0.512255
-7.60385,0.999822,1.14258,1,1,0,7.61366,0.511957
-7.58723,1,1.14258,1,1,0,7.59935,0.526274
-7.71724,0.907772,1.14258,2,3,0,7.897,0.62312
-7.86434,0.946271,1.14258,1,1,0,7.90416,0.655853
-7.84602,1,1.14258,1,1,0,7.95749,0.652384
-7.73962,1,1.14258,2,3,0,7.85745,0.629028
-7.79699,0.992635,1.14258,2,3,0,7.80043,0.446131
-7.99076,0.974132,1.14258,2,3,0,8.06309,0.409512
-7.64153,1,1.14258,1,1,0,7.85973,0.492213
-7.601,0.825418,1.14258,2,3,0,8.13378,0.513946
-8.12309,0.809914,1.14258,1,1,0,8.12309,0.389728
-8.0243,1,1.14258,2,3,0,8.08567,0.681917
-8.13528,0.962084,1.14258,1,1,0,8.28624,0.696917
-8.10539,1,1.14258,1,1,0,8.3153,0.693066
-8.2672,0.946499,1.14258,1,1,0,8.4385,0.712577
-7.60007,0.833426,1.14258,2,3,0,8.98083,0.576058
-7.60007,0.64569,1.14258,1,3,0,8.5525,0.576058
-8.6056,0.746715,1.14258,1,3,0,8.61732,0.745597
-7.69048,1,1.14258,1,1,0,8.27683,0.615347
-7.58855,1,1.14258,1,1,0,7.65069,0.566033
-7.655,0.974034,1.14258,1,1,0,7.65601,0.603332
-7.655,0.763713,1.14258,1,3,0,8.39629,0.603332
-7.655,0.670199,1.14258,1,3,0,8.53176,0.603332
-9.35034,0.601072,1.14258,1,3,0,9.36528,0.797943
-7.59176,0.980841,1.14258,1,3,0,8.75336,0.569258
-7.8733,0.729094,1.14258,2,3,0,8.54411,0.657503
-7.79451,1,1.14258,2,3,0,7.91807,0.641869
-7.76847,1,1.14258,1,1,0,7.855,0.636029
-8.0527,0.901319,1.14258,1,1,0,8.09894,0.685947
-8.25364,0.933448,1.14258,1,1,0,8.4023,0.711056
-8.95796,0.802164,1.14258,1,1,0,9.10386,0.772935
-9.60906,0.95692,1.14258,2,3,0,9.64232,0.258712
-8.44494,1,1.14258,1,1,0,9.4135,0.350839
-7.69334,0.921911,1.14258,2,3,0,8.82681,0.616221
-8.03017,0.882143,1.14258,1,1,0,8.05012,0.682762
-8.34631,0.966568,1.14258,2,3,0,8.4143,0.361707
-7.60609,0.738381,1.14258,2,3,0,9.3042,0.51047
-7.60609,0.956632,1.14258,1,1,0,7.67644,0.51047
-7.58481,1,1.14258,1,1,0,7.59867,0.529393
-7.6356,0.860621,1.14258,2,3,0,7.97538,0.494805
-7.58022,0.95159,1.14258,2,3,0,7.76125,0.552533
-7.74018,0.813608,1.14258,2,3,0,8.15811,0.45998
-7.6875,1,1.14258,2,3,0,7.75847,0.475299
-8.85376,0.716745,1.14258,2,3,0,9.12475,0.765419
-7.5928,0.978311,1.14258,1,3,0,8.47146,0.520541
-8.34312,0.651084,1.14258,2,3,0,9.05149,0.72076
-8.36941,0.997152,1.14258,2,3,0,8.63976,0.723475
-7.65644,1,1.14258,1,1,0,8.1072,0.603869
-7.66002,0.998608,1.14258,1,1,0,7.69015,0.605187
-7.58149,0.964809,1.14258,2,3,0,7.76271,0.535056
-8.2405,0.419143,1.14258,2,3,0,10.9194,0.374313
-9.37357,0.812028,1.14258,2,3,0,9.62383,0.799285
-8.23451,1,1.14258,1,1,0,9.12008,0.708879
