# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\x3bjc9pc.json
# init = 2 (Default)
# random
#   seed = 7389
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234432_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.982247
# Diagonal elements of inverse mass matrix:
# 0.415326
-7.64516,0.973183,0.982247,2,3,0,7.814,0.490686
-7.60033,1,0.982247,1,1,0,7.63363,0.514436
-9.1667,0.710363,0.982247,2,3,0,9.80669,0.786824
-7.85001,0.928437,0.982247,1,3,0,10.0383,0.434816
-7.85001,0.903034,0.982247,1,1,0,8.15121,0.434816
-7.97031,0.845045,0.982247,2,3,0,9.00519,0.673825
-7.90961,1,0.982247,1,1,0,8.0263,0.663923
-7.70665,1,0.982247,2,3,0,7.86414,0.620147
-7.60485,1,0.982247,2,3,0,7.68129,0.511282
-7.69748,0.966924,0.982247,1,3,0,7.79181,0.617466
-7.5792,0.997819,0.982247,2,3,0,7.70948,0.54753
-8.32621,0.863437,0.982247,2,3,0,8.5807,0.364021
-8.34075,0.996301,0.982247,1,1,0,8.53673,0.362344
-8.11967,1,0.982247,1,1,0,8.38474,0.390204
-7.85942,1,0.982247,1,1,0,8.08432,0.432934
-8.54078,0.835597,0.982247,1,1,0,8.54551,0.340962
-8.0961,1,0.982247,1,1,0,8.48928,0.393528
-10.1958,0.680415,0.982247,1,3,0,10.2066,0.226419
-9.13171,1,0.982247,2,3,0,10.1375,0.290586
-7.74114,1,0.982247,2,3,0,8.86708,0.629414
-8.25323,0.828993,0.982247,1,3,0,8.81259,0.372738
-7.62417,0.978157,0.982247,1,3,0,8.3963,0.590188
-7.73362,0.959232,0.982247,1,3,0,7.87248,0.461732
-7.61563,1,0.982247,2,3,0,7.70372,0.585765
-7.71676,0.991135,0.982247,2,3,0,7.71705,0.622989
-7.89324,0.956125,0.982247,1,1,0,7.90312,0.661081
-8.88103,0.80087,0.982247,2,3,0,9.76312,0.767427
-8.34554,1,0.982247,1,1,0,8.84278,0.721013
-7.58988,0.987796,0.982247,2,3,0,8.41104,0.567424
-8.07696,0.888579,0.982247,1,3,0,8.13117,0.68928
-7.59382,1,0.982247,1,3,0,7.99485,0.57111
-7.93306,0.947733,0.982247,2,3,0,7.9921,0.419222
-7.99297,0.864516,0.982247,2,3,0,8.96764,0.677295
-7.59841,1,0.982247,1,3,0,7.91604,0.574828
-7.78934,0.959655,0.982247,1,3,0,7.79494,0.640742
-7.65674,0.972455,0.982247,2,3,0,8.02376,0.603982
-7.60715,1,0.982247,1,1,0,7.64488,0.580811
-7.84997,0.480101,0.982247,2,3,0,11.7857,0.434824
-7.67213,1,0.982247,1,1,0,7.80574,0.480459
-7.68907,0.995353,0.982247,1,1,0,7.71115,0.474794
-7.68907,0.67505,0.982247,1,3,0,9.00405,0.474794
-7.78593,0.828733,0.982247,2,3,0,8.78972,0.639988
-7.70594,0.966285,0.982247,2,3,0,8.0683,0.469578
-10.0761,0.635202,0.982247,2,3,0,11.1611,0.232506
-8.20089,1,0.982247,2,3,0,9.66871,0.704958
-7.78343,1,0.982247,1,1,0,8.10194,0.639433
-7.6692,1,0.982247,1,1,0,7.76082,0.608431
-7.59281,0.990975,0.982247,2,3,0,7.73409,0.57022
-7.65445,0.979298,0.982247,1,3,0,7.70741,0.486957
-7.62946,0.942541,0.982247,2,3,0,8.0179,0.592714
-7.6533,0.934205,0.982247,2,3,0,8.05492,0.487406
-8.29627,0.828879,0.982247,2,3,0,8.87055,0.367536
-7.72631,1,0.982247,2,3,0,8.16216,0.625573
-7.72631,0.827879,0.982247,1,3,0,8.64289,0.625573
-7.58675,1,0.982247,1,3,0,7.69665,0.563975
-7.64412,0.981977,0.982247,1,3,0,7.68151,0.491116
-7.60902,0.990917,0.982247,1,3,0,7.71102,0.581962
-10.1798,0.488207,0.982247,1,3,0,10.743,0.83878
-8.32712,0.990868,0.982247,1,3,0,9.81486,0.71908
-7.62304,0.970863,0.982247,1,3,0,8.49991,0.500795
-7.59697,1,0.982247,1,1,0,7.61727,0.516995
-7.65183,0.985008,0.982247,1,1,0,7.65197,0.487986
-8.12175,0.849577,0.982247,1,3,0,8.48906,0.695189
-8.2136,0.978995,0.982247,1,1,0,8.32672,0.706455
-8.02834,1,0.982247,1,1,0,8.24322,0.682499
-7.58844,1,0.982247,1,3,0,7.9593,0.565914
-7.59063,0.999408,0.982247,1,1,0,7.59271,0.568176
-7.58137,0.812935,0.982247,2,3,0,8.73734,0.53532
-7.79455,0.963439,0.982247,2,3,0,7.84211,0.641877
-7.72179,0.788809,0.982247,2,3,0,9.33629,0.464989
-7.65455,0.979266,0.982247,1,3,0,7.88714,0.60316
-7.5791,0.999892,0.982247,1,3,0,7.64875,0.54549
-9.14402,0.635581,0.982247,1,3,0,9.57261,0.785384
-7.6518,0.956148,0.982247,1,3,0,9.50507,0.487998
-7.79777,0.940828,0.982247,1,3,0,8.01844,0.642574
-7.58361,0.994173,0.982247,1,3,0,7.81455,0.531179
-7.61686,0.787144,0.982247,2,3,0,8.88157,0.586434
-7.60008,1,0.982247,1,1,0,7.6152,0.576064
-7.57914,0.840156,0.982247,2,3,0,8.56688,0.544204
-8.06091,0.878534,0.982247,1,3,0,8.17105,0.687086
-7.71733,0.960145,0.982247,2,3,0,8.41393,0.466251
-7.68177,0.972645,0.982247,2,3,0,7.95194,0.612606
-8.48955,0.836904,0.982247,2,3,0,9.0137,0.735197
-7.81025,0.997247,0.982247,1,3,0,8.32605,0.645216
-7.63858,1,0.982247,1,1,0,7.76567,0.596767
-9.10012,0.701617,0.982247,1,3,0,9.26731,0.782551
-9.05228,1,0.982247,2,3,0,9.40815,0.779391
-7.95491,0.994528,0.982247,1,3,0,8.80454,0.6714
-8.15427,0.953637,0.982247,1,1,0,8.2091,0.699301
-7.75012,0.954194,0.982247,2,3,0,8.59529,0.631649
-7.88814,0.965742,0.982247,1,1,0,7.9086,0.660178
-7.75737,0.827734,0.982247,2,3,0,9.19541,0.455556
-7.61587,0.985649,0.982247,1,3,0,7.85323,0.585899
-7.90219,0.941841,0.982247,1,3,0,7.90827,0.662645
