# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:44:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\x3bjc9pc.json
# init = 2 (Default)
# random
#   seed = 7389
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234432_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02386
# Diagonal elements of inverse mass matrix:
# 0.342707
-7.76391,0.948207,1.02386,1,3,0,7.87146,0.634963
-7.61286,0.99956,1.02386,1,3,0,7.72994,0.584221
-7.94736,0.936545,1.02386,2,3,0,8.1227,0.67019
-7.77968,1,1.02386,1,1,0,7.92562,0.638593
-8.09904,0.977194,1.02386,2,3,0,8.10234,0.69223
-7.57923,1,1.02386,2,3,0,8.05191,0.543006
-8.21924,0.843927,1.02386,1,3,0,8.43042,0.707114
-10.3961,0.797688,1.02386,2,7,0,10.4036,0.216724
-9.23672,1,1.02386,1,1,0,10.2997,0.283037
-8.12604,1,1.02386,1,1,0,8.98977,0.389319
-7.6539,1,1.02386,1,3,0,8.02162,0.487175
-10.1628,0.676151,1.02386,2,3,0,10.8305,0.228078
-11.2433,0.83949,1.02386,1,1,0,11.5026,0.181392
-10.9068,1,1.02386,1,1,0,11.7517,0.194441
-9.00303,1,1.02386,2,3,0,10.5668,0.300325
-8.85597,1,1.02386,1,1,0,9.22766,0.312199
-8.24358,0.908922,1.02386,2,3,0,10.0344,0.373931
-7.76806,1,1.02386,2,7,0,8.13634,0.635933
-8.00229,0.886228,1.02386,1,3,0,8.60694,0.407662
-7.87889,1,1.02386,1,1,0,8.01972,0.429141
-7.57951,0.998426,1.02386,1,3,0,7.87256,0.541165
-7.58043,0.990155,1.02386,2,3,0,7.63998,0.553195
-7.58976,0.996929,1.02386,1,3,0,7.59783,0.523491
-7.71966,0.973741,1.02386,1,3,0,7.7273,0.46559
-7.5876,0.994227,1.02386,2,3,0,7.76096,0.525844
-7.75689,0.787521,1.02386,2,3,0,8.98411,0.633293
-7.77501,0.995861,1.02386,1,1,0,7.81228,0.637534
-7.58228,0.999209,1.02386,1,3,0,7.76031,0.557404
-7.5893,0.902435,1.02386,2,3,0,8.21979,0.523967
-7.75653,0.966128,1.02386,2,3,0,7.84805,0.455766
-7.58827,0.999773,1.02386,1,3,0,7.72907,0.52508
-7.60426,0.996065,1.02386,1,1,0,7.6045,0.511677
-7.69846,0.867169,1.02386,2,3,0,8.45751,0.617759
-7.77026,0.983531,1.02386,1,1,0,7.78414,0.636443
