# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:45:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\t2ti8pws.json
# init = 2 (Default)
# random
#   seed = 41970
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234540_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.958099
# Diagonal elements of inverse mass matrix:
# 0.427629
-7.70538,1,0.958099,1,1,0,7.91181,0.469745
-7.76423,0.984332,0.958099,1,1,0,7.78704,0.453853
-7.77641,0.996747,0.958099,1,1,0,7.82348,0.450905
-7.60502,0.987821,0.958099,1,3,0,7.85629,0.579454
-7.58539,0.80931,0.958099,2,3,0,8.81427,0.528583
-7.60147,0.998572,0.958099,2,3,0,7.60149,0.577051
-9.99687,0.695159,0.958099,2,3,0,10.3717,0.236669
-7.80922,0.999843,0.958099,1,3,0,9.535,0.443405
-7.72032,1,0.958099,1,1,0,7.80747,0.465403
-9.19944,0.721558,0.958099,1,3,0,9.25942,0.285678
-8.11627,1,0.958099,2,3,0,8.94408,0.390678
-7.9346,1,0.958099,1,1,0,8.12884,0.418952
-7.66381,1,0.958099,1,1,0,7.86223,0.483431
-8.1736,0.901158,0.958099,1,3,0,8.17819,0.382888
-8.74468,0.868219,0.958099,1,1,0,8.80335,0.321786
-8.1733,1,0.958099,1,1,0,8.66187,0.382927
-8.09527,1,0.958099,1,1,0,8.27237,0.393647
-7.57913,1,0.958099,1,3,0,8.05665,0.544365
-7.58194,0.982412,0.958099,2,3,0,7.67836,0.556741
-7.58194,0.631172,0.958099,1,3,0,9.19595,0.556741
-7.7394,0.963129,0.958099,1,3,0,7.75761,0.628973
-7.59053,0.992033,0.958099,1,3,0,7.78211,0.522702
-7.62131,0.876908,0.958099,2,3,0,8.32245,0.588758
-8.78788,0.756673,0.958099,1,3,0,8.92836,0.760438
-8.69896,0.791338,0.958099,1,3,0,11.2237,0.325892
-7.86334,1,0.958099,1,1,0,8.48459,0.432159
-7.64931,1,0.958099,1,1,0,7.80615,0.488991
-8.51028,0.747455,0.958099,1,3,0,9.06727,0.737116
-8.24785,0.891299,0.958099,1,3,0,10.0131,0.373402
-8.05321,0.884889,0.958099,1,3,0,9.31614,0.686019
-7.96165,1,0.958099,1,1,0,8.10581,0.672467
-9.42282,0.887677,0.958099,2,3,0,9.4354,0.270439
-9.22877,1,0.958099,1,1,0,9.73602,0.283597
-10.6711,0.747673,0.958099,1,1,0,10.7885,0.204326
-8.60711,1,0.958099,1,1,0,10.2248,0.33447
-7.95814,1,0.958099,2,3,0,8.45755,0.414906
-9.16467,0.883073,0.958099,2,3,0,9.16467,0.786696
-8.1657,1,0.958099,1,1,0,8.9599,0.700712
-8.75699,0.880521,0.958099,1,1,0,8.79281,0.758037
-9.28189,0.905774,0.958099,1,1,0,9.42035,0.793908
-7.92269,0.921327,0.958099,1,3,0,10.4139,0.421055
-8.9984,0.761568,0.958099,1,1,0,8.99841,0.300687
-10.7173,0.700581,0.958099,1,1,0,10.7752,0.202334
-7.78314,0.991759,0.958099,1,3,0,10.1945,0.449316
-11.1365,0.448103,0.958099,1,3,0,11.4541,0.18541
-8.64605,1,0.958099,1,1,0,10.6012,0.330778
-9.15217,0.889456,0.958099,1,1,0,9.31573,0.289089
-9.21329,0.986593,0.958099,1,1,0,9.58677,0.284692
-9.21329,0.584225,0.958099,1,3,0,13.3157,0.284692
-8.06287,1,0.958099,2,7,0,8.95183,0.687357
-7.59607,1,0.958099,1,3,0,7.98583,0.572996
-7.59317,1,0.958099,1,1,0,7.59842,0.570543
-7.8264,0.932832,0.958099,1,3,0,7.93961,0.439698
-7.58134,1,0.958099,1,3,0,7.79124,0.535404
-8.39,0.81155,0.958099,1,3,0,8.52358,0.356797
-7.88938,1,0.958099,1,1,0,8.2764,0.427149
-7.97477,0.977798,0.958099,1,1,0,8.03992,0.412126
-7.78596,1,0.958099,1,1,0,7.94927,0.44866
-7.80044,0.996142,0.958099,1,1,0,7.8528,0.445353
-7.64694,1,0.958099,1,1,0,7.76089,0.489951
-9.24183,0.783807,0.958099,2,3,0,9.34083,0.791488
-8.74736,1,0.958099,1,1,0,9.2912,0.75728
-7.9617,1,0.958099,1,1,0,8.57281,0.672476
-8.27729,0.929777,0.958099,1,1,0,8.31377,0.713696
-7.58627,1,0.958099,2,3,0,8.20132,0.52745
-8.22856,0.830008,0.958099,1,3,0,8.45903,0.708195
-8.58719,0.975208,0.958099,2,3,0,8.6658,0.744001
-8.34845,1,0.958099,1,1,0,8.66125,0.721315
-8.06926,1,0.958099,1,1,0,8.34751,0.688233
-9.47344,0.909495,0.958099,2,3,0,9.4748,0.26717
-7.75968,1,0.958099,2,3,0,9.14036,0.633961
-8.07577,0.925863,0.958099,1,1,0,8.08089,0.689119
-7.6586,0.99959,0.958099,1,3,0,7.97562,0.604666
-7.68826,0.992406,0.958099,1,1,0,7.70296,0.614659
-7.58861,1,0.958099,2,3,0,7.66939,0.524703
-7.61507,0.828194,0.958099,2,3,0,8.63609,0.585458
-7.85615,0.944213,0.958099,2,3,0,8.0314,0.433585
-7.60636,1,0.958099,1,3,0,7.79451,0.510292
-7.88,0.924534,0.958099,2,3,0,8.12091,0.428927
-8.15057,0.931801,0.958099,1,1,0,8.18578,0.385965
-8.08158,1,0.958099,2,3,0,8.25038,0.395619
-7.71655,1,0.958099,1,1,0,7.98604,0.466475
-7.92572,0.94572,0.958099,1,1,0,7.93458,0.420516
-8.34058,0.705986,0.958099,2,3,0,9.9494,0.720495
-7.83453,1,0.958099,1,1,0,8.22444,0.650143
-8.22819,0.910784,0.958099,1,1,0,8.23729,0.708152
-9.36927,0.930194,0.958099,2,3,0,9.37293,0.799038
-8.15577,0.895943,0.958099,2,3,0,11.0285,0.385264
-7.75204,1,0.958099,2,3,0,8.05383,0.632118
-10.4355,0.420595,0.958099,1,3,0,12.0428,0.214888
-9.40301,1,0.958099,1,1,0,10.4367,0.271736
-9.40301,0.873178,0.958099,1,1,0,10.2114,0.271736
-7.72271,0.943581,0.958099,1,3,0,9.95587,0.624607
-7.74473,0.994457,0.958099,1,1,0,7.77685,0.630314
