# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:45:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\t2ti8pws.json
# init = 2 (Default)
# random
#   seed = 41970
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234540_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.11791
# Diagonal elements of inverse mass matrix:
# 0.335469
-7.88091,0.939901,1.11791,2,3,0,7.98834,0.428754
-7.67006,0.972181,1.11791,1,3,0,8.07543,0.608727
-7.80562,0.963974,1.11791,1,1,0,7.8125,0.644246
-9.14905,0.76278,1.11791,1,3,0,9.17639,0.785705
-9.4936,0.813178,1.11791,1,3,0,12.8205,0.265885
-9.75404,0.944116,1.11791,1,1,0,10.1814,0.250123
-9.75404,0.717021,1.11791,1,1,0,11.314,0.250123
-9.43141,1,1.11791,1,1,0,10.0812,0.269879
-7.72525,0.967384,1.11791,1,3,0,9.81341,0.62529
-7.59689,1,1.11791,1,3,0,7.6906,0.573655
-8.02852,0.880923,1.11791,1,3,0,8.18331,0.403552
-7.59632,0.988759,1.11791,1,3,0,8.05717,0.573196
-7.64503,0.995193,1.11791,2,3,0,7.64534,0.599444
-7.74569,0.947455,1.11791,2,3,0,8.00444,0.630553
-7.79171,0.937673,1.11791,2,3,0,8.24097,0.641261
-7.8994,0.972182,1.11791,1,1,0,7.93677,0.66216
-10.8203,0.696225,1.11791,2,3,0,11.0143,0.197996
-7.64501,0.960267,1.11791,2,3,0,10.9785,0.490749
-7.86734,0.975547,1.11791,2,3,0,7.86802,0.431373
-7.58671,0.993657,1.11791,1,3,0,7.87395,0.563923
-7.61862,0.93473,1.11791,2,3,0,7.94522,0.503106
-7.60661,1,1.11791,1,1,0,7.62093,0.510132
-7.58428,0.861482,1.11791,2,3,0,8.37435,0.560697
-7.57948,0.994964,1.11791,2,3,0,7.61206,0.541342
-8.42186,0.788708,1.11791,1,3,0,8.61251,0.728724
-8.11358,1,1.11791,2,3,0,8.42558,0.694134
-7.58448,1,1.11791,2,3,0,8.08831,0.529864
-7.62657,0.990659,1.11791,1,3,0,7.62689,0.499035
-8.46621,0.815618,1.11791,1,3,0,8.49964,0.348593
-7.58585,0.995113,1.11791,1,3,0,8.42309,0.562854
-7.58022,0.973454,1.11791,2,3,0,7.72911,0.552545
-7.59494,0.856303,1.11791,2,3,0,8.38654,0.518665
-7.80545,0.952015,1.11791,1,3,0,7.81053,0.444237
-7.72568,1,1.11791,1,1,0,7.81094,0.463904
-8.16159,0.883987,1.11791,1,1,0,8.16404,0.384483
-7.82108,1,1.11791,1,1,0,8.08905,0.440831
-7.58326,1,1.11791,1,3,0,7.7708,0.531738
-7.57948,0.843244,1.11791,2,3,0,8.4569,0.541331
-7.8861,0.926573,1.11791,2,3,0,8.04864,0.427768
-7.75098,1,1.11791,1,1,0,7.87525,0.457175
-7.60906,1,1.11791,2,3,0,7.72086,0.581989
-7.65999,0.928159,1.11791,2,3,0,8.02893,0.484845
-7.82769,0.984347,1.11791,2,3,0,7.83221,0.439426
