# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:46:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\v_huwkel.json
# init = 2 (Default)
# random
#   seed = 16879
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234628_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05169
# Diagonal elements of inverse mass matrix:
# 0.384234
-8.92024,0.870152,1.05169,2,3,0,8.95666,0.770263
-9.08241,0.967562,1.05169,1,1,0,9.36201,0.78139
-7.69348,1,1.05169,1,3,0,8.79039,0.616263
-7.58258,1,1.05169,1,3,0,7.66839,0.557953
-8.08012,0.898765,1.05169,2,3,0,8.26741,0.395831
-8.19213,0.969381,1.05169,1,1,0,8.31331,0.38046
-8.13257,1,1.05169,1,1,0,8.32146,0.388418
-7.70089,1,1.05169,2,3,0,8.03357,0.618476
-7.60901,0.963478,1.05169,2,3,0,7.94937,0.508619
-7.58848,1,1.05169,2,3,0,7.60355,0.524848
-7.63478,0.98475,1.05169,1,3,0,7.66862,0.59512
-7.70986,0.953839,1.05169,2,3,0,7.93466,0.621063
-8.1136,0.897991,1.05169,1,1,0,8.11418,0.694137
-7.70838,1,1.05169,2,3,0,8.00949,0.468854
-7.59724,0.979659,1.05169,2,3,0,7.84105,0.516785
-7.78654,0.942732,1.05169,1,3,0,7.88376,0.640125
-7.78654,0.351393,1.05169,1,3,0,11.5664,0.640125
-7.78654,0.734004,1.05169,1,3,0,9.14844,0.640125
-8.34073,0.818814,1.05169,1,3,0,8.939,0.362346
-7.89404,1,1.05169,1,1,0,8.24569,0.426276
-8.8733,0.676841,1.05169,1,3,0,9.98078,0.766861
-7.90735,1,1.05169,2,3,0,8.62618,0.42382
-7.90735,0.646599,1.05169,1,3,0,9.78663,0.42382
-8.69311,0.804789,1.05169,1,1,0,8.70366,0.326425
-9.46565,0.827471,1.05169,1,1,0,9.6243,0.267668
-10.32,0.831192,1.05169,1,1,0,10.6174,0.220338
-8.34974,1,1.05169,1,1,0,9.83731,0.361317
-7.58665,1,1.05169,1,3,0,8.19799,0.526969
-8.47743,0.790326,1.05169,1,3,0,8.56672,0.34742
-10.2471,0.649845,1.05169,1,1,0,10.2698,0.223879
-8.80821,1,1.05169,1,1,0,10.0033,0.316244
-9.00021,0.984418,1.05169,2,3,0,9.29297,0.300545
-8.20403,1,1.05169,2,3,0,8.848,0.378923
-8.87644,0.836608,1.05169,1,1,0,8.94736,0.310494
-9.91498,0.783399,1.05169,1,1,0,10.0696,0.241084
-8.46197,1,1.05169,1,1,0,9.59786,0.349038
-7.70579,1,1.05169,1,3,0,8.24799,0.469621
-7.63512,1,1.05169,1,1,0,7.69187,0.495024
-7.58207,0.997856,1.05169,1,3,0,7.64,0.556998
-8.18383,0.87759,1.05169,2,3,0,8.41482,0.381542
-8.17687,1,1.05169,2,3,0,8.35113,0.382457
-7.59508,1,1.05169,1,3,0,8.04188,0.518552
-7.63824,0.987474,1.05169,1,1,0,7.63878,0.493635
-7.64696,0.999152,1.05169,2,3,0,7.66251,0.489943
-7.8598,0.939977,1.05169,1,1,0,7.8611,0.432858
-7.89614,0.989649,1.05169,1,1,0,7.97027,0.425886
-8.64675,0.935998,1.05169,2,3,0,8.64966,0.749096
-7.61895,0.968659,1.05169,1,3,0,8.75505,0.50293
-7.72229,0.970284,1.05169,1,1,0,7.7238,0.464849
-7.68094,1,1.05169,1,1,0,7.7326,0.477453
-7.58096,0.997955,1.05169,1,3,0,7.67863,0.554592
-7.64188,0.982868,1.05169,1,3,0,7.66062,0.492061
-7.76494,0.988258,1.05169,2,3,0,7.76924,0.453678
-7.9304,0.631727,1.05169,2,3,0,10.043,0.667422
-8.09813,0.906536,1.05169,1,3,0,8.80382,0.393238
-7.68163,1,1.05169,1,1,0,7.97816,0.477221
-9.51664,0.744106,1.05169,2,3,0,9.67411,0.807255
-7.90126,0.993293,1.05169,1,3,0,9.15291,0.662483
-8.71252,0.81875,1.05169,1,1,0,8.71442,0.754502
-9.61169,0.835023,1.05169,1,1,0,9.70493,0.812291
-10.6939,0.838891,1.05169,1,1,0,10.8761,0.858544
