# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:46:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\v_huwkel.json
# init = 2 (Default)
# random
#   seed = 16879
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234628_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03167
# Diagonal elements of inverse mass matrix:
# 0.332798
-7.58821,0.949595,1.03167,2,3,0,7.89618,0.565656
-7.63857,0.994952,1.03167,2,3,0,7.63892,0.493493
-7.57924,0.999675,1.03167,1,3,0,7.63752,0.542981
-7.95629,0.906795,1.03167,1,3,0,8.08112,0.671619
-8.00201,0.990277,1.03167,1,1,0,8.07503,0.678649
-7.60072,0.997417,1.03167,1,3,0,7.95303,0.576521
-8.85504,0.827968,1.03167,2,3,0,9.09868,0.765514
-9.66156,0.876575,1.03167,1,1,0,9.73373,0.814855
-9.87301,0.97004,1.03167,1,1,0,10.1914,0.825185
-10.3508,0.937857,1.03167,1,1,0,10.6183,0.84574
-10.3508,0.92813,1.03167,1,1,0,11.1799,0.84574
-7.63071,1,1.03167,2,3,0,10.063,0.593292
-7.5914,0.831535,1.03167,2,3,0,8.82634,0.56892
-8.24972,0.831574,1.03167,1,3,0,8.54898,0.373171
-8.18306,1,1.03167,1,1,0,8.36115,0.381643
-7.65678,0.951492,1.03167,1,3,0,8.53925,0.603996
-7.58165,0.884027,1.03167,2,3,0,8.46245,0.53473
-8.91105,0.716896,1.03167,1,3,0,9.24581,0.307652
-8.62768,1,1.03167,1,1,0,9.02287,0.332509
-7.57923,0.989367,1.03167,1,3,0,8.6577,0.543007
