# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:47:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\7ekvy75i.json
# init = 2 (Default)
# random
#   seed = 47127
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234726_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.19386
# Diagonal elements of inverse mass matrix:
# 0.315166
-8.18773,0.933657,1.19386,1,1,0,8.24333,0.703387
-7.87015,1,1.19386,1,1,0,8.1366,0.656927
-8.30601,0.889841,1.19386,1,1,0,8.32917,0.716827
-7.57921,0.985678,1.19386,2,3,0,8.3643,0.543254
-7.58691,0.993218,1.19386,2,3,0,7.61204,0.564164
-8.31285,0.824566,1.19386,1,3,0,8.38192,0.717561
-8.1661,1,1.19386,2,3,0,8.40696,0.700762
-7.85948,1,1.19386,1,1,0,8.11657,0.654946
-7.79851,1,1.19386,1,1,0,7.89468,0.642731
-8.13587,0.970473,1.19386,2,3,0,8.15428,0.696992
-7.88103,0.936798,1.19386,2,3,0,8.65091,0.428731
-7.68532,1,1.19386,1,1,0,7.83164,0.476007
-8.64472,0.726889,1.19386,1,3,0,9.16889,0.748925
-7.59959,0.975602,1.19386,1,3,0,8.6204,0.514981
-7.96337,0.91272,1.19386,1,3,0,7.97096,0.414025
-7.64105,0.977923,1.19386,1,3,0,8.06115,0.59781
-7.61906,1,1.19386,1,1,0,7.64293,0.587601
-7.93445,0.907962,1.19386,1,3,0,8.08564,0.418979
-12.84,0.26214,1.19386,1,3,0,13.1552,0.132442
-8.22448,0.923977,1.19386,2,3,0,13.7662,0.37632
-8.26437,0.988531,1.19386,1,1,0,8.45053,0.371373
-7.70169,1,1.19386,2,3,0,8.16715,0.618712
-7.63964,1,1.19386,1,1,0,7.69258,0.597218
-7.79615,0.89103,1.19386,2,3,0,8.26425,0.446323
-7.64967,1,1.19386,1,1,0,7.75717,0.488845
-7.5802,0.881288,1.19386,2,3,0,8.2506,0.552492
-7.59191,0.991651,1.19386,2,3,0,7.62151,0.521372
-7.65395,0.55738,1.19386,2,3,0,10.4425,0.602936
-7.94563,0.965417,1.19386,2,3,0,7.94597,0.669912
-7.727,1,1.19386,1,1,0,7.89815,0.625755
-7.72104,1,1.19386,2,3,0,7.76612,0.624156
-7.96257,0.977269,1.19386,2,3,0,7.96677,0.414158
-7.75723,1,1.19386,1,1,0,7.92715,0.455591
-7.76362,0.998044,1.19386,1,1,0,7.81727,0.454001
-7.76362,0.708394,1.19386,1,3,0,8.77251,0.454001
-7.88651,0.987753,1.19386,2,3,0,7.92427,0.42769
-7.63527,1,1.19386,1,1,0,7.8097,0.494956
-7.84389,0.874627,1.19386,2,3,0,8.29684,0.43606
-7.61149,1,1.19386,2,3,0,7.81887,0.58343
-8.4272,0.813237,1.19386,1,3,0,8.47166,0.729247
-8.53715,0.863763,1.19386,2,3,0,10.1292,0.341325
-7.864,1,1.19386,1,1,0,8.35483,0.432028
-7.864,0.743974,1.19386,1,1,0,8.58466,0.432028
-7.64851,1,1.19386,2,3,0,7.8166,0.600836
