# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:47:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\7ekvy75i.json
# init = 2 (Default)
# random
#   seed = 47127
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234726_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02894
# Diagonal elements of inverse mass matrix:
# 0.456965
-8.61943,0.744496,1.02894,1,3,0,8.72597,0.746783
-10.6354,0.876046,1.02894,2,3,0,10.7054,0.205878
-9.0471,1,1.02894,1,1,0,10.4122,0.296926
-7.85553,1,1.02894,1,1,0,8.67892,0.433708
-8.39356,0.63197,1.02894,2,3,0,9.95907,0.356404
-7.9777,1,1.02894,1,1,0,8.33732,0.411642
-7.9777,0.749949,1.02894,1,1,0,8.65455,0.411642
-8.99919,0.730089,1.02894,1,1,0,9.0271,0.300625
-8.13818,1,1.02894,1,1,0,8.81127,0.387649
-7.74344,0.949627,1.02894,2,3,0,8.44643,0.629992
-9.27742,0.680456,1.02894,1,3,0,9.30207,0.79364
-8.80251,1,1.02894,1,1,0,9.40069,0.761561
-8.2882,1,1.02894,2,3,0,8.7843,0.714895
-8.16221,1,1.02894,1,1,0,8.40292,0.700284
-7.87536,1,1.02894,2,3,0,8.0777,0.429817
-7.72947,1,1.02894,1,1,0,7.85864,0.462859
-7.58276,0.990812,1.02894,2,3,0,7.77551,0.558269
-10.068,0.462941,1.02894,1,3,0,10.4331,0.232931
-7.81739,1,1.02894,1,3,0,9.38999,0.441624
-8.49731,0.804794,1.02894,1,1,0,8.51412,0.345364
-8.7888,0.917583,1.02894,1,1,0,9.02847,0.317918
