# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:48:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\6gzgu03y.json
# init = 2 (Default)
# random
#   seed = 88343
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234800_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01045
# Diagonal elements of inverse mass matrix:
# 0.399532
-7.58538,0.990558,1.01045,2,3,0,7.6586,0.528603
-7.63392,0.989491,1.01045,1,3,0,7.63443,0.495566
-7.60755,0.908275,1.01045,2,3,0,8.16782,0.581064
-7.58701,0.983825,1.01045,2,3,0,7.70763,0.526538
-7.58811,0.999692,1.01045,1,1,0,7.59009,0.52526
-7.58811,0.902095,1.01045,1,3,0,7.96903,0.52526
-7.60402,0.998533,1.01045,2,3,0,7.60402,0.578793
-7.84541,0.948737,1.01045,1,3,0,7.85169,0.652267
-8.12702,0.932635,1.01045,1,1,0,8.15063,0.695866
-7.58392,0.9888,1.01045,2,3,0,8.18864,0.560164
-9.93226,0.50077,1.01045,1,3,0,10.5251,0.827931
-12.2544,0.729363,1.01045,1,1,0,12.2809,0.902486
-7.9973,0.923586,1.01045,1,3,0,11.8724,0.677946
-9.02789,0.930067,1.01045,2,3,0,9.02809,0.777752
-9.24413,0.959818,1.01045,1,1,0,9.51507,0.791628
-9.54322,0.982568,1.01045,2,3,0,9.83019,0.808684
-7.59187,0.971724,1.01045,1,3,0,9.66925,0.521403
-7.5822,1,1.01045,2,3,0,7.5892,0.533617
-7.57942,0.916964,1.01045,2,3,0,8.03991,0.541641
-7.58214,0.961665,1.01045,2,3,0,7.78703,0.533727
-7.60211,0.9672,1.01045,2,3,0,7.76194,0.577503
-7.5797,0.857252,1.01045,2,3,0,8.44182,0.550639
-8.08996,0.874186,1.01045,1,3,0,8.1827,0.691026
-7.86187,1,1.01045,1,1,0,8.06666,0.655392
-8.00615,0.988219,1.01045,2,3,0,8.05164,0.679263
-7.87977,0.811342,1.01045,2,3,0,9.61523,0.428971
-8.25428,0.833489,1.01045,1,3,0,9.06887,0.711129
-7.67911,0.961883,1.01045,2,3,0,8.58066,0.611747
-7.59829,0.991526,1.01045,1,3,0,7.72746,0.515962
-7.62478,0.988127,1.01045,1,3,0,7.67433,0.590486
-7.57932,0.999718,1.01045,2,3,0,7.62617,0.542294
-7.58525,0.998333,1.01045,2,3,0,7.58976,0.528777
-7.72043,0.960905,1.01045,1,3,0,7.77713,0.623991
-7.72404,0.999051,1.01045,1,1,0,7.76125,0.624965
-7.72404,0.692946,1.01045,1,3,0,9.06313,0.624965
-9.49454,0.668503,1.01045,1,3,0,9.62739,0.806056
-7.59571,1,1.01045,2,3,0,9.20672,0.518023
-8.09371,0.886232,1.01045,1,3,0,8.12632,0.393869
-7.89041,1,1.01045,1,1,0,8.08914,0.426957
-8.3572,0.610064,1.01045,2,3,0,10.4606,0.722222
-7.90413,1,1.01045,1,1,0,8.26498,0.66298
-7.70456,0.765705,1.01045,2,3,0,9.64359,0.46999
-7.82117,0.968065,1.01045,1,1,0,7.83797,0.440812
-7.60503,0.974381,1.01045,2,3,0,7.99596,0.511166
-7.61224,0.997978,1.01045,1,1,0,7.61809,0.506677
-7.68214,0.980596,1.01045,1,1,0,7.68363,0.477055
-7.59684,0.985319,1.01045,2,3,0,7.78248,0.5171
-7.59684,0.970481,1.01045,1,3,0,7.73069,0.5171
-7.85404,0.942427,1.01045,1,3,0,7.86267,0.434006
-7.66635,0.973064,1.01045,1,3,0,8.0549,0.607444
-8.00774,0.888526,1.01045,1,3,0,8.3175,0.406797
-7.93909,1,1.01045,1,1,0,8.07461,0.418169
-7.62987,0.979118,1.01045,1,3,0,8.07088,0.592907
-7.87412,0.971766,1.01045,2,3,0,7.88684,0.430057
-7.81696,1,1.01045,2,3,0,7.91317,0.441717
-7.58179,0.999463,1.01045,2,3,0,7.82057,0.556446
-7.59548,0.929447,1.01045,2,3,0,7.97556,0.518212
-7.60921,0.987474,1.01045,2,3,0,7.67255,0.508498
-7.58046,0.998899,1.01045,1,3,0,7.61278,0.553275
-7.67176,0.978406,1.01045,2,3,0,7.72224,0.609307
-7.61756,1,1.01045,1,1,0,7.66014,0.586806
-7.68949,0.993472,1.01045,2,3,0,7.68953,0.474658
-8.0412,0.964769,1.01045,2,3,0,8.04513,0.684333
-8.69925,0.82855,1.01045,2,3,0,9.76516,0.753429
-8.0991,1,1.01045,1,1,0,8.59443,0.692239
-8.73712,0.955137,1.01045,2,3,0,8.76492,0.756469
-8.19616,1,1.01045,1,1,0,8.66991,0.704396
-7.75597,0.756503,1.01045,2,3,0,10.2089,0.455909
-8.24353,0.875024,1.01045,1,1,0,8.24615,0.373937
-7.59937,1,1.01045,1,3,0,8.10765,0.515142
-7.59754,0.991067,1.01045,2,3,0,7.65626,0.516546
-9.109,0.673679,1.01045,1,3,0,9.28839,0.292265
-9.56037,0.903435,1.01045,1,1,0,9.84737,0.261699
-9.50548,1,1.01045,1,1,0,10.018,0.265132
-9.5964,0.980457,1.01045,1,1,0,10.0561,0.259484
-8.48602,1,1.01045,1,1,0,9.39388,0.346529
-9.9263,0.711407,1.01045,1,1,0,9.96109,0.240466
-8.63732,1,1.01045,2,3,0,9.69508,0.331598
-7.95717,0.906882,1.01045,1,3,0,9.53267,0.671759
-7.64158,0.97313,1.01045,1,3,0,8.1248,0.492193
-7.59751,1,1.01045,2,3,0,7.62981,0.516568
-7.62375,0.979966,1.01045,2,3,0,7.71862,0.589979
-7.59136,0.973808,1.01045,2,3,0,7.78729,0.521896
-7.75399,0.94974,1.01045,2,3,0,7.90653,0.456408
-7.63384,1,1.01045,1,1,0,7.72258,0.495604
-7.8666,0.621219,1.01045,2,3,0,10.0421,0.656272
-7.62534,1,1.01045,2,3,0,7.81075,0.499639
-8.37438,0.838243,1.01045,1,3,0,8.40612,0.358535
-7.74206,1,1.01045,2,3,0,8.22801,0.629646
-7.99589,0.937217,1.01045,1,1,0,8.00456,0.677734
-7.58196,0.990688,1.01045,2,3,0,8.04778,0.556794
-7.9655,0.907526,1.01045,1,3,0,8.01834,0.673072
-7.90028,0.935811,1.01045,2,3,0,8.65715,0.662313
-9.54668,0.736764,1.01045,1,3,0,9.58554,0.808868
-9.24527,1,1.01045,1,1,0,9.77912,0.791697
-8.71192,1,1.01045,1,1,0,9.28134,0.754454
-9.11021,0.847751,1.01045,2,3,0,10.8483,0.783207
-7.60769,1,1.01045,2,3,0,8.87485,0.509442
-7.66307,0.944697,1.01045,2,3,0,7.93026,0.606286
-7.77257,0.947151,1.01045,2,3,0,8.05925,0.636976
-8.19442,0.965251,1.01045,2,3,0,8.19554,0.380164
-7.75703,0.951829,1.01045,1,3,0,8.61823,0.633327
-7.63778,1,1.01045,1,1,0,7.72732,0.596425
-7.99324,0.929861,1.01045,1,3,0,7.99696,0.677335
-7.65139,1,1.01045,1,3,0,7.9048,0.601956
-7.65164,0.999978,1.01045,2,3,0,7.67128,0.602052
-7.59688,0.946145,1.01045,2,3,0,7.9874,0.517071
-8.02955,0.901611,1.01045,1,3,0,8.0539,0.403393
-10.492,0.604653,1.01045,1,3,0,10.5284,0.212288
-9.04559,1,1.01045,1,1,0,10.2888,0.297042
-8.21198,1,1.01045,1,1,0,8.88117,0.377906
-8.2098,1,1.01045,1,1,0,8.38352,0.378184
-7.65083,1,1.01045,1,3,0,8.0615,0.48838
-7.93804,0.923063,1.01045,1,1,0,7.93805,0.418352
-7.93804,0.770911,1.01045,1,3,0,8.95495,0.418352
-7.68004,1,1.01045,2,3,0,7.86876,0.477755
-7.78412,0.720068,1.01045,2,3,0,9.39552,0.639588
-7.97505,0.914713,1.01045,2,3,0,8.54053,0.67456
-7.78959,1,1.01045,1,1,0,7.95196,0.640796
-7.78959,0.880991,1.01045,1,1,0,8.17485,0.640796
-7.67872,1,1.01045,1,1,0,7.77017,0.611621
-8.20031,0.940798,1.01045,2,3,0,8.22929,0.379403
-7.93594,1,1.01045,1,1,0,8.18238,0.418718
-7.80872,1,1.01045,1,1,0,7.94207,0.443514
-8.04206,0.938049,1.01045,1,1,0,8.06987,0.40148
-8.20892,0.95643,1.01045,1,1,0,8.30334,0.378297
-7.76052,1,1.01045,1,1,0,8.09046,0.454769
-7.83305,0.980091,1.01045,1,1,0,7.87006,0.4383
-7.70399,1,1.01045,1,1,0,7.81247,0.470161
-8.8851,0.728429,1.01045,2,3,0,9.80931,0.309779
-8.29991,1,1.01045,1,1,0,8.8284,0.367104
-7.58176,1,1.01045,1,3,0,8.1952,0.53449
-7.5865,0.792206,1.01045,2,3,0,8.81516,0.563667
-8.52227,0.766194,1.01045,1,3,0,8.77288,0.342822
-8.35032,1,1.01045,1,1,0,8.64953,0.36125
-8.90846,0.869469,1.01045,1,1,0,9.01359,0.307863
-7.77399,1,1.01045,1,3,0,8.61084,0.451483
-7.65939,0.960912,1.01045,2,3,0,8.0775,0.485073
-7.94159,0.970153,1.01045,2,3,0,7.94645,0.669256
-7.57944,1,1.01045,1,3,0,7.90518,0.549351
-7.58535,0.979292,1.01045,2,3,0,7.69158,0.528645
-7.63943,0.770559,1.01045,2,3,0,8.96779,0.597129
-7.57912,1,1.01045,1,3,0,7.63289,0.546431
-8.19557,0.847398,1.01045,1,3,0,8.30927,0.380014
-8.30417,0.971897,1.01045,1,1,0,8.44916,0.3666
-7.7449,1,1.01045,2,3,0,8.15152,0.458742
-8.28502,0.811202,1.01045,1,3,0,8.89183,0.714547
-8.04765,1,1.01045,1,1,0,8.29943,0.685242
-7.63372,1,1.01045,1,3,0,7.94645,0.594651
-7.58734,0.748199,1.01045,2,3,0,9.27615,0.526142
-7.61473,0.992359,1.01045,1,1,0,7.61479,0.505245
-7.74399,0.964434,1.01045,1,1,0,7.74408,0.45898
-8.15105,0.872669,1.01045,2,3,0,8.68861,0.6989
-8.08014,0.906617,1.01045,2,3,0,9.21251,0.395827
-7.85779,1,1.01045,2,3,0,8.05987,0.433257
-7.68975,1,1.01045,2,3,0,7.81987,0.474575
-7.60925,1,1.01045,1,1,0,7.66785,0.508472
