# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:48:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\6gzgu03y.json
# init = 2 (Default)
# random
#   seed = 88343
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234800_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12406
# Diagonal elements of inverse mass matrix:
# 0.327604
-7.65964,0.714238,1.12406,1,3,0,8.94,0.605048
-11.7218,0.507113,1.12406,2,3,0,12.6507,0.889643
-8.18602,1,1.12406,2,3,0,10.8615,0.381257
-11.1033,0.654194,1.12406,2,3,0,11.1087,0.872091
-8.50846,0.996506,1.12406,2,7,0,10.5279,0.344224
-8.98895,0.678239,1.12406,2,7,0,11.2199,0.775091
-8.45519,1,1.12406,1,1,0,8.9771,0.731952
-8.50624,0.988725,1.12406,1,1,0,8.71022,0.736745
-12.088,0.583441,1.12406,1,3,0,12.2353,0.898672
-12.1313,0.998513,1.12406,2,3,0,12.8953,0.899681
-8.04603,0.984605,1.12406,2,3,0,12.2089,0.685014
-9.428,0.81126,1.12406,1,3,0,9.42987,0.802375
-7.57915,0.985437,1.12406,1,3,0,9.38139,0.543974
-7.58021,0.999752,1.12406,1,3,0,7.58026,0.538393
-7.76202,0.954972,1.12406,1,3,0,7.78228,0.454397
-7.63008,1,1.12406,2,3,0,7.72602,0.497347
-7.59703,0.994011,1.12406,1,3,0,7.66858,0.573762
-7.5791,0.999567,1.12406,2,3,0,7.59941,0.545095
-7.83065,0.544375,1.12406,2,3,0,10.7496,0.649374
-8.06268,0.94294,1.12406,1,1,0,8.09045,0.68733
-7.63192,1,1.12406,2,3,0,7.97581,0.496485
-7.91673,0.94113,1.12406,1,3,0,7.91717,0.422122
-8.50175,0.853559,1.12406,1,1,0,8.5219,0.344909
-8.4688,1,1.12406,1,1,0,8.72871,0.348321
-7.68466,1,1.12406,1,3,0,8.25786,0.476225
-7.6337,0.931974,1.12406,2,3,0,8.10442,0.594641
-7.68736,0.985485,1.12406,1,1,0,7.69404,0.614379
