# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:48:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\zcerc3vu.json
# init = 2 (Default)
# random
#   seed = 20962
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234812_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02637
# Diagonal elements of inverse mass matrix:
# 0.432068
-8.37771,0.797019,1.02637,1,3,0,8.6334,0.358162
-7.58193,0.970892,1.02637,2,3,0,8.52735,0.556732
-7.58193,0.815976,1.02637,1,3,0,8.18761,0.556732
-7.62801,0.988805,1.02637,1,3,0,7.62886,0.592036
-7.59883,1,1.02637,1,1,0,7.62156,0.575137
-7.90065,0.929083,1.02637,1,3,0,7.90739,0.662377
-8.06173,0.76678,1.02637,2,3,0,9.6658,0.39853
-7.94376,1,1.02637,2,3,0,8.11833,0.417362
-7.94376,0.716294,1.02637,1,1,0,8.76609,0.417362
-7.6373,0.979234,1.02637,1,3,0,8.02787,0.59622
-7.88631,0.929169,1.02637,1,1,0,7.88651,0.659852
-7.68148,1,1.02637,1,1,0,7.834,0.612516
-8.96148,0.72995,1.02637,1,3,0,9.00472,0.773182
-9.44112,0.968125,1.02637,2,3,0,9.67919,0.803109
-10.8318,0.782302,1.02637,1,1,0,10.973,0.863301
-9.28898,1,1.02637,1,1,0,10.6541,0.794332
-7.60924,1,1.02637,1,3,0,8.96658,0.5821
-7.73,0.964332,1.02637,1,1,0,7.73032,0.626546
-7.72016,1,1.02637,1,1,0,7.76752,0.623918
-7.59231,1,1.02637,2,3,0,7.70847,0.521
-12.5703,0.214162,1.02637,1,3,0,13.4353,0.139475
