# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:48:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\zcerc3vu.json
# init = 2 (Default)
# random
#   seed = 20962
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307234812_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.23645
# Diagonal elements of inverse mass matrix:
# 0.30422
-9.22647,0.83485,1.23645,2,3,0,9.38974,0.283759
-7.85368,1,1.23645,1,1,0,8.81487,0.434077
-8.61824,0.764657,1.23645,1,3,0,9.3615,0.746682
-8.86605,0.943236,1.23645,1,1,0,9.09185,0.766328
-9.50824,0.870633,1.23645,1,1,0,9.70412,0.806801
-9.39337,1,1.23645,1,1,0,9.90914,0.800418
-8.09654,1,1.23645,1,1,0,9.07599,0.6919
-7.80481,1,1.23645,2,3,0,8.01211,0.44438
-7.62094,1,1.23645,2,3,0,7.77878,0.58857
-7.75105,0.961027,1.23645,1,1,0,7.75267,0.631876
-8.34935,0.791091,1.23645,2,3,0,9.22591,0.721409
-7.89815,1,1.23645,1,1,0,8.25666,0.661941
-8.85271,0.774702,1.23645,1,1,0,8.85565,0.765341
-8.46099,1,1.23645,1,1,0,8.91982,0.732505
-7.57914,0.977036,1.23645,2,3,0,8.56278,0.546811
-7.66048,0.748359,1.23645,2,3,0,8.92158,0.484664
-7.58107,0.986933,1.23645,2,3,0,7.73197,0.536018
-7.83862,0.930213,1.23645,1,3,0,7.8856,0.650947
-7.6189,0.96495,1.23645,2,3,0,8.03667,0.502956
-7.63107,0.996117,1.23645,1,1,0,7.64181,0.496882
-7.57966,0.992736,1.23645,2,3,0,7.66985,0.540452
-7.59708,0.976635,1.23645,2,3,0,7.68797,0.516907
-7.57946,0.999239,1.23645,2,3,0,7.60099,0.549495
-7.68541,0.964052,1.23645,2,3,0,7.77003,0.613767
-8.58959,0.849495,1.23645,2,3,0,8.80622,0.336159
-8.05399,0.793931,1.23645,2,3,0,10.2243,0.399683
-12.6845,0.285794,1.23645,1,3,0,12.8498,0.136444
-9.10252,1,1.23645,1,1,0,11.8874,0.292747
-7.57933,1,1.23645,1,3,0,8.78649,0.542235
-7.78638,0.925486,1.23645,2,3,0,7.96553,0.448562
-7.58,1,1.23645,1,3,0,7.73478,0.539091
-9.34265,0.596335,1.23645,1,3,0,9.54367,0.275751
-10.2828,0.797959,1.23645,1,1,0,10.5956,0.222137
-9.33686,1,1.23645,1,1,0,10.3661,0.276141
-7.73522,1,1.23645,1,3,0,8.86216,0.4613
-7.60996,1,1.23645,2,3,0,7.69605,0.508038
-7.8629,0.939564,1.23645,1,3,0,7.86315,0.432246
-7.71963,1,1.23645,1,1,0,7.84328,0.465598
-9.10955,0.785798,1.23645,2,3,0,9.29761,0.783164
-8.61954,1,1.23645,1,1,0,9.17321,0.746793
-8.24618,1,1.23645,1,1,0,8.64178,0.710212
-8.46831,0.944475,1.23645,1,1,0,8.61212,0.7332
-7.61245,1,1.23645,1,3,0,8.2504,0.583985
-7.60521,1,1.23645,1,1,0,7.61716,0.579579
-7.60521,0.680203,1.23645,1,3,0,8.69913,0.579579
-7.69475,0.972756,1.23645,1,1,0,7.69558,0.616648
-7.64666,1,1.23645,1,1,0,7.69373,0.600102
-7.87492,0.782185,1.23645,2,3,0,8.89434,0.429902
-8.47244,0.940438,1.23645,2,3,0,8.49975,0.347941
-8.06663,1,1.23645,1,1,0,8.44235,0.397805
