# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:50:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\1cvz3fah.json
# init = 2 (Default)
# random
#   seed = 27587
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307235019_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.862932
# Diagonal elements of inverse mass matrix:
# 0.427486
-9.16943,1,0.862932,1,1,0,10.6622,0.287836
-9.16943,0.707642,0.862932,1,1,0,10.9531,0.287836
-8.50612,1,0.862932,1,1,0,9.09894,0.344463
-7.62828,1,0.862932,2,3,0,8.33289,0.592165
-8.79561,0.788667,0.862932,1,3,0,9.05707,0.761033
-8.49183,1,0.862932,1,1,0,8.83685,0.735409
-7.99673,1,0.862932,1,1,0,8.40544,0.677859
-7.58094,0.984707,0.862932,1,3,0,8.11363,0.536347
-7.8462,0.942931,0.862932,1,3,0,7.91704,0.43559
-8.25488,0.91703,0.862932,1,1,0,8.25746,0.372535
-7.61619,0.995112,0.862932,1,3,0,8.20238,0.50443
-7.6264,0.815938,0.862932,2,3,0,9.03986,0.499116
-7.74252,0.951552,0.862932,2,3,0,7.99321,0.629761
-7.5815,0.992232,0.862932,1,3,0,7.79949,0.535051
-7.78365,0.947051,0.862932,1,3,0,7.89652,0.639483
-7.78365,0.895638,0.862932,1,3,0,8.62732,0.639483
-7.8048,0.995753,0.862932,1,1,0,7.84143,0.644072
-7.75743,0.978752,0.862932,2,3,0,8.06673,0.633422
-7.74857,1,0.862932,1,1,0,7.78854,0.631268
-7.8002,0.989601,0.862932,1,1,0,7.82274,0.643094
-7.6611,0.962409,0.862932,1,3,0,8.12639,0.484432
-7.64932,1,0.862932,1,1,0,7.67086,0.488985
-7.65116,0.999866,0.862932,2,3,0,7.666,0.488251
-7.65091,0.975343,0.862932,1,3,0,7.85591,0.601773
-8.4181,0.894915,0.862932,2,3,0,8.6345,0.728356
-8.06399,0.845269,0.862932,1,3,0,10.1105,0.398196
-7.83739,0.894149,0.862932,1,3,0,8.97451,0.650706
-7.88219,0.991172,0.862932,1,1,0,7.92331,0.659115
-8.37621,0.910538,0.862932,1,1,0,8.37629,0.724169
-7.87776,1,0.862932,1,1,0,8.28157,0.658315
-7.71763,0.932729,0.862932,2,7,0,8.3864,0.466167
-8.97066,0.84584,0.862932,2,7,0,8.97205,0.773823
-8.34044,1,0.862932,1,1,0,8.88649,0.720481
-8.22148,0.951855,0.862932,2,3,0,9.1074,0.707375
-8.46951,0.957089,0.862932,1,1,0,8.53238,0.733314
-8.27244,1,0.862932,1,1,0,8.5167,0.713158
-8.26567,1,0.862932,2,3,0,8.40327,0.712406
-7.98822,1,0.862932,1,1,0,8.23776,0.676576
-9.51823,0.584966,0.862932,1,3,0,12.0495,0.264329
-9.42926,1,0.862932,1,1,0,9.83988,0.270019
-9.75003,0.94733,0.862932,1,1,0,10.0199,0.250355
-8.42477,1,0.862932,2,3,0,9.50108,0.353
-8.09442,1,0.862932,1,1,0,8.39845,0.393768
-8.23685,0.920684,0.862932,2,3,0,9.04892,0.374768
-7.721,0.894132,0.862932,2,3,0,9.3516,0.624146
-7.79158,0.985729,0.862932,1,1,0,7.8055,0.641231
-7.88491,0.981571,0.862932,1,1,0,7.90717,0.659602
-9.43411,0.851623,0.862932,2,7,0,9.44403,0.269704
-8.54107,0.926175,0.862932,2,3,0,10.6143,0.340933
-7.81299,0.909348,0.862932,2,3,0,9.7296,0.645785
-7.77895,0.77286,0.862932,2,3,0,9.90757,0.638429
-7.7207,1,0.862932,1,1,0,7.78312,0.624065
