# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-07 22:50:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmp533rkm4s\1cvz3fah.json
# init = 2 (Default)
# random
#   seed = 27587
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220307235019_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.794656
# Diagonal elements of inverse mass matrix:
# 0.394157
-7.92128,1,0.794656,1,1,0,8.0845,0.665902
-7.57952,1,0.794656,2,3,0,7.86545,0.541094
-7.58015,0.999619,0.794656,1,3,0,7.58275,0.552338
-7.58015,0.819682,0.794656,1,3,0,8.97776,0.552338
-7.75546,0.981014,0.794656,2,3,0,7.76042,0.632948
-7.88144,0.976697,0.794656,2,3,0,8.05765,0.658979
-7.57941,0.970429,0.794656,2,3,0,8.22451,0.549189
-7.58035,0.999918,0.794656,3,7,0,7.58037,0.552939
-9.46684,0.810495,0.794656,2,3,0,9.47373,0.267592
-9.22659,0.999821,0.794656,3,7,0,9.61409,0.283751
-8.6996,1,0.794656,2,3,0,9.20079,0.325834
-8.62129,1,0.794656,1,1,0,8.83171,0.333115
-8.32731,0.961372,0.794656,2,3,0,9.30232,0.363894
-7.73681,0.992499,0.794656,2,3,0,8.42897,0.460874
-7.90579,0.969896,0.794656,2,3,0,8.09005,0.424107
-7.73005,0.915707,0.794656,1,3,0,8.74954,0.626559
-7.7492,0.996946,0.794656,1,1,0,7.76804,0.631421
-7.62901,0.945106,0.794656,2,3,0,8.29934,0.592508
-7.57963,0.998427,0.794656,1,3,0,7.64397,0.550349
-7.65648,0.973808,0.794656,2,3,0,7.79967,0.603884
-7.58955,0.988896,0.794656,2,7,0,7.76676,0.523706
-7.5954,0.998529,0.794656,2,3,0,7.60738,0.518278
-7.6178,0.985744,0.794656,1,3,0,7.71626,0.586937
-9.24827,0.736907,0.794656,3,7,0,10.5698,0.79188
-8.65256,1,0.794656,1,1,0,9.19439,0.749582
-8.44469,1,0.794656,2,3,0,8.69203,0.730944
-8.37476,1,0.794656,1,1,0,8.53155,0.724021
-7.61709,1,0.794656,2,3,0,8.30167,0.586559
-8.61349,0.763245,0.794656,2,3,0,9.78426,0.746276
-7.62189,1,0.794656,2,3,0,8.50573,0.589053
-7.87941,0.923897,0.794656,2,7,0,8.35478,0.42904
-7.59911,0.999576,0.794656,3,7,0,7.85104,0.575349
-10.1717,0.772973,0.794656,3,7,0,10.1789,0.838442
-9.38852,1,0.794656,2,3,0,10.1315,0.800141
-7.57934,0.968317,0.794656,3,7,0,9.97377,0.548702
-7.58344,0.998026,0.794656,2,3,0,7.59595,0.559412
-7.651,0.982459,0.794656,1,3,0,7.73733,0.488315
-7.66957,0.992475,0.794656,2,3,0,7.74968,0.48136
-7.73743,0.988488,0.794656,1,1,0,7.73964,0.460709
-8.51998,0.93225,0.794656,3,7,0,8.54267,0.343054
-8.3025,1,0.794656,1,1,0,8.54621,0.366797
-8.46049,0.991811,0.794656,2,3,0,8.5346,0.349194
-8.29217,1,0.794656,2,3,0,8.50406,0.368023
-9.52482,0.856361,0.794656,2,3,0,10.1934,0.263915
-8.48444,0.970398,0.794656,3,7,0,10.1722,0.346692
-9.79416,0.920037,0.794656,3,7,0,9.83537,0.821432
-7.5794,0.958905,0.794656,3,7,0,10.7148,0.541781
-7.72746,0.97095,0.794656,1,3,0,7.80929,0.46341
