# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:51:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\xgc9982w.json
# init = 2 (Default)
# random
#   seed = 25936
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195102_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.06479
# Diagonal elements of inverse mass matrix:
# 0.459305
-7.5934,1,1.06479,1,3,0,7.73767,0.570747
-7.6123,0.993414,1.06479,1,1,0,7.61533,0.5839
-8.36853,0.814691,1.06479,1,3,0,8.38077,0.723385
-8.18375,1,1.06479,1,1,0,8.47535,0.702908
-9.33762,0.888929,1.06479,2,3,0,9.49426,0.276089
-13.2007,0.401021,1.06479,1,1,0,13.2446,0.123676
-9.04995,1,1.06479,1,1,0,12.1868,0.296709
-8.14749,1,1.06479,2,3,0,8.88857,0.698456
-7.59125,1,1.06479,1,3,0,7.9722,0.568776
-7.59125,0.726418,1.06479,1,3,0,8.38982,0.568776
-7.65053,0.985522,1.06479,2,3,0,7.67797,0.488502
-7.60635,0.933537,1.06479,2,3,0,7.93091,0.510303
-7.84233,0.93675,1.06479,2,3,0,7.95147,0.651671
-7.67151,1,1.06479,2,3,0,7.79942,0.609221
-9.25641,0.642239,1.06479,1,3,0,9.29037,0.792374
-7.74533,1,1.06479,1,3,0,8.80101,0.630463
-8.01147,0.917183,1.06479,1,1,0,8.03784,0.680048
-8.23852,0.976872,1.06479,2,3,0,8.23862,0.37456
-9.04291,0.772569,1.06479,1,1,0,9.16953,0.297247
-8.11236,1,1.06479,1,1,0,8.82251,0.391226
-7.73129,1,1.06479,1,1,0,8.0003,0.462363
-7.58688,0.985764,1.06479,2,3,0,7.7993,0.564136
-7.68978,0.973426,1.06479,1,3,0,7.68991,0.615132
-10.2433,0.508541,1.06479,2,3,0,11.293,0.224069
-8.33809,1,1.06479,1,1,0,9.72487,0.362649
-7.68254,1,1.06479,1,1,0,8.11072,0.476922
-7.57964,0.97398,1.06479,2,3,0,7.79548,0.540505
-7.91906,0.908734,1.06479,1,3,0,7.95078,0.665529
-8.74534,0.781528,1.06479,1,1,0,8.7691,0.75712
-8.62726,1,1.06479,1,1,0,9.00887,0.74745
-7.64503,1,1.06479,1,3,0,8.31695,0.599447
-7.61071,1,1.06479,2,3,0,7.63543,0.50759
-7.69125,0.985773,1.06479,2,3,0,7.71003,0.615584
-8.72513,0.763312,1.06479,1,3,0,8.72811,0.755514
-9.06596,0.916584,1.06479,1,1,0,9.33919,0.780303
-9.26554,0.953143,1.06479,1,1,0,9.65095,0.792926
-8.86189,1,1.06479,1,1,0,9.4587,0.766021
-8.0934,1,1.06479,1,1,0,8.70354,0.691484
-7.6599,1,1.06479,1,1,0,7.95149,0.605144
-7.62651,1,1.06479,2,3,0,7.64896,0.499066
-8.64204,0.583104,1.06479,2,3,0,9.79037,0.7487
-7.77302,1,1.06479,1,1,0,8.37438,0.637079
-7.59137,0.945102,1.06479,2,3,0,8.02911,0.568895
-7.60318,0.998624,1.06479,2,3,0,7.60616,0.578235
-8.08132,0.880286,1.06479,1,3,0,8.08608,0.689869
-8.49338,0.885803,1.06479,1,1,0,8.59231,0.735555
-7.61036,1,1.06479,1,3,0,8.21829,0.582765
-7.70502,0.98565,1.06479,2,3,0,7.70831,0.61968
-7.62437,1,1.06479,2,3,0,7.68899,0.500126
-7.62437,0.527428,1.06479,1,3,0,9.35006,0.500126
-7.97413,0.882935,1.06479,1,1,0,7.9748,0.412232
-8.30542,0.56916,1.06479,2,3,0,10.3219,0.366453
-7.59246,0.860335,1.06479,2,3,0,8.99331,0.52086
-7.64997,0.979632,1.06479,1,1,0,7.65107,0.488726
-7.59203,0.955526,1.06479,2,3,0,7.83649,0.521256
-7.72335,0.868693,1.06479,2,3,0,8.09033,0.464553
