# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:51:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\xgc9982w.json
# init = 2 (Default)
# random
#   seed = 25936
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195102_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.11644
# Diagonal elements of inverse mass matrix:
# 0.318058
-7.96717,1,1.11644,2,3,0,9.34709,0.673334
-11.8686,0.420647,1.11644,1,3,0,12.3913,0.893374
-8.71544,0.995715,1.11644,2,7,0,11.2685,0.3244
-8.00045,1,1.11644,1,1,0,8.55152,0.407955
-7.89422,1,1.11644,1,1,0,8.03589,0.426244
-8.24675,0.911672,1.11644,1,1,0,8.27704,0.373538
-7.59723,1,1.11644,1,3,0,8.1248,0.516795
-7.62021,0.989048,1.11644,1,3,0,7.66872,0.588196
-8.06439,0.902778,1.11644,2,3,0,8.35637,0.687565
-8.97653,0.93958,1.11644,2,3,0,8.98038,0.774232
-7.96751,0.994867,1.11644,1,3,0,8.75019,0.673388
-8.29384,0.926951,1.11644,1,1,0,8.33117,0.715509
-7.70346,0.953634,1.11644,1,3,0,8.67423,0.47032
-7.72302,0.721162,1.11644,2,3,0,9.63975,0.624692
-7.59065,1,1.11644,2,3,0,7.69912,0.522584
-7.87951,0.917418,1.11644,1,3,0,8.00868,0.658631
-7.84381,1,1.11644,1,1,0,7.93023,0.651958
-7.8469,0.999237,1.11644,1,1,0,7.91414,0.652554
-7.60166,1,1.11644,1,3,0,7.79176,0.577189
-7.97985,0.918666,1.11644,2,3,0,8.20144,0.675299
-8.53974,0.880045,1.11644,1,1,0,8.55531,0.739797
-7.57911,0.994761,1.11644,1,3,0,8.51986,0.544879
-9.44377,0.721404,1.11644,2,3,0,9.9368,0.269078
-10.481,0.812107,1.11644,1,1,0,10.6998,0.212788
-7.85814,0.996757,1.11644,1,3,0,9.93789,0.433188
-7.75578,1,1.11644,1,1,0,7.85993,0.455956
-7.67762,0.97386,1.11644,1,3,0,7.97521,0.611259
-7.67762,0.840471,1.11644,1,3,0,8.47385,0.611259
-8.98853,0.780969,1.11644,2,3,0,9.55574,0.775062
-8.29856,1,1.11644,1,1,0,8.889,0.716022
-8.22029,1,1.11644,1,1,0,8.41764,0.707236
-7.76777,1,1.11644,1,1,0,8.111,0.635867
-8.20762,0.966094,1.11644,2,3,0,8.20892,0.705753
-7.84836,1,1.11644,1,1,0,8.13587,0.652835
-7.59173,1,1.11644,1,3,0,7.79824,0.569235
-7.5818,1,1.11644,1,3,0,7.58907,0.556465
-7.8945,0.91776,1.11644,1,3,0,7.98254,0.42619
-7.65258,0.974466,1.11644,1,3,0,8.08974,0.602412
-7.74809,0.957659,1.11644,2,3,0,7.98525,0.631148
-7.61046,1,1.11644,1,3,0,7.71236,0.582828
-7.78787,0.951296,1.11644,2,3,0,7.96509,0.640418
-8.07634,0.903409,1.11644,2,3,0,8.64737,0.689196
-7.71396,1,1.11644,1,1,0,7.9864,0.622212
-7.70507,0.896094,1.11644,2,3,0,8.44921,0.469838
-7.92012,0.908449,1.11644,1,3,0,8.29807,0.665706
-7.75189,0.955015,1.11644,1,3,0,8.31551,0.456941
-7.67435,1,1.11644,1,1,0,7.74387,0.479686
-8.20502,0.897489,1.11644,1,3,0,8.20817,0.378796
-8.48133,0.932648,1.11644,1,1,0,8.5912,0.347015
-7.64125,0.97145,1.11644,1,3,0,8.69613,0.597895
-7.59583,0.99347,1.11644,1,3,0,7.68436,0.517923
-7.94569,0.899035,1.11644,1,3,0,8.11345,0.669921
-7.57934,0.999557,1.11644,2,3,0,7.94106,0.542202
-7.57934,0.833782,1.11644,1,3,0,8.23004,0.542202
-7.57983,0.976151,1.11644,2,3,0,7.71193,0.539736
-8.52117,0.779526,1.11644,1,3,0,8.69192,0.342933
-9.83751,0.470316,1.11644,1,3,0,13.0031,0.823509
-8.32469,1,1.11644,1,1,0,9.5352,0.718822
-9.47906,0.791378,1.11644,1,1,0,9.48835,0.805209
-7.64482,1,1.11644,2,3,0,9.1181,0.490828
-7.62004,1,1.11644,1,1,0,7.64479,0.502349
-7.69861,0.978825,1.11644,1,1,0,7.70046,0.471796
-8.41668,0.770358,1.11644,1,3,0,9.03472,0.728215
-7.58046,0.684862,1.11644,2,3,0,11.2954,0.537619
-7.78711,0.944935,1.11644,1,3,0,7.84759,0.64025
-8.10333,0.925714,1.11644,1,1,0,8.11233,0.692795
-8.59946,0.775145,1.11644,1,3,0,9.96234,0.335205
-11.4109,0.748208,1.11644,2,7,0,11.415,0.17531
-7.58141,1,1.11644,2,3,0,10.9423,0.555651
-7.8965,0.917463,1.11644,1,3,0,7.98281,0.425818
-7.64499,0.97602,1.11644,1,3,0,8.07562,0.599428
-7.81111,0.945629,1.11644,2,3,0,8.06543,0.645394
-10.6388,0.526421,1.11644,1,3,0,10.9668,0.856583
-10.8888,0.967873,1.11644,1,1,0,11.3817,0.865208
-9.69972,1,1.11644,1,1,0,10.8527,0.816783
-9.86169,0.974344,1.11644,1,1,0,10.2506,0.824653
-7.78874,0.981824,1.11644,1,3,0,9.53791,0.640608
-7.67508,1,1.11644,1,1,0,7.76742,0.61042
-8.77891,0.804232,1.11644,2,3,0,9.31857,0.759745
-8.44903,1,1.11644,1,1,0,8.83765,0.731361
-7.76965,0.997617,1.11644,1,3,0,8.28669,0.636302
-7.74203,1,1.11644,1,1,0,7.79885,0.629638
-7.87297,0.98924,1.11644,2,3,0,7.89202,0.657442
-7.63697,0.999896,1.11644,1,3,0,7.81258,0.596079
-7.6201,1,1.11644,1,1,0,7.64011,0.588141
-7.96818,0.929729,1.11644,1,3,0,7.97807,0.673493
-7.86925,1,1.11644,1,1,0,7.99665,0.65676
-7.82541,1,1.11644,1,1,0,7.91167,0.648324
-7.63696,0.772758,1.11644,2,3,0,9.47184,0.494201
-7.79216,0.940863,1.11644,1,3,0,7.98929,0.641358
-7.90613,0.972177,1.11644,1,1,0,7.93847,0.663326
-7.71448,0.96109,1.11644,1,3,0,8.22971,0.46707
-7.57951,1,1.11644,1,3,0,7.69783,0.541162
-7.63717,0.984525,1.11644,1,3,0,7.65353,0.596163
-8.05938,0.87193,1.11644,1,3,0,8.35002,0.398879
-8.77558,0.626982,1.11644,2,3,0,10.7103,0.759487
-9.5676,0.668721,1.11644,2,7,0,12.675,0.261253
-9.01816,1,1.11644,1,1,0,9.6814,0.29915
-8.35485,1,1.11644,1,1,0,8.94137,0.360735
-7.58688,0.978226,1.11644,2,3,0,8.48711,0.526689
-7.64201,0.982201,1.11644,1,3,0,7.68113,0.598209
-8.35478,0.908305,1.11644,2,3,0,8.42352,0.360743
-7.81935,1,1.11644,1,1,0,8.21936,0.441202
-7.88338,0.99433,1.11644,2,3,0,7.9353,0.428284
-7.80853,0.947491,1.11644,1,3,0,8.37237,0.644857
-8.49745,0.895434,1.11644,1,3,0,8.49766,0.735932
-9.05542,0.964573,1.11644,2,3,0,9.14882,0.779602
-8.74789,1,1.11644,1,1,0,9.18285,0.757321
-8.08951,1,1.11644,1,1,0,8.6235,0.690966
-7.74485,0.950987,1.11644,1,3,0,8.51406,0.458754
-9.75813,0.470805,1.11644,1,3,0,11.2336,0.819679
-9.75753,1,1.11644,1,1,0,10.2086,0.819649
-8.98175,1,1.11644,1,1,0,9.74742,0.774593
-7.85788,0.994604,1.11644,1,3,0,8.73302,0.654644
-7.7385,0.959355,1.11644,1,3,0,8.21203,0.460425
-7.7385,0.951716,1.11644,1,1,0,7.88865,0.460425
-7.59992,1,1.11644,2,3,0,7.70996,0.575946
-8.21684,0.834305,1.11644,1,3,0,8.46162,0.377288
-8.35334,0.965929,1.11644,1,1,0,8.49239,0.360907
-8.00956,1,1.11644,1,1,0,8.31981,0.406509
-7.93681,1,1.11644,1,1,0,8.0712,0.418567
-7.58207,0.987696,1.11644,2,3,0,8.01153,0.533868
-7.61988,0.994568,1.11644,2,3,0,7.62385,0.588025
-7.63068,0.997157,1.11644,1,1,0,7.63927,0.593277
-7.63878,0.997873,1.11644,1,1,0,7.65071,0.596856
-7.65009,0.918847,1.11644,2,3,0,8.16815,0.488679
-7.58334,0.997021,1.11644,1,3,0,7.66427,0.559246
-7.58048,0.995921,1.11644,2,3,0,7.60779,0.537558
-7.57914,0.946585,1.11644,2,3,0,7.88046,0.544135
-8.08607,0.875488,1.11644,1,3,0,8.1817,0.394968
-8.16562,0.993196,1.11644,2,3,0,8.28356,0.383947
-7.68957,1,1.11644,1,3,0,8.03812,0.474634
-7.75997,0.935329,1.11644,2,3,0,8.14316,0.634029
-8.74529,0.830501,1.11644,1,3,0,8.76527,0.757116
-7.58062,0.999766,1.11644,2,3,0,8.6968,0.553719
-8.48932,0.784309,1.11644,1,3,0,8.68279,0.735176
-8.80535,0.937059,1.11644,1,1,0,8.94292,0.761777
-8.98578,0.965571,1.11644,1,1,0,9.21535,0.774872
-7.68831,0.994956,1.11644,1,3,0,8.7557,0.614676
-7.79937,0.972075,1.11644,1,1,0,7.80992,0.642916
-8.12588,0.923696,1.11644,1,1,0,8.1358,0.695719
-9.62559,0.813158,1.11644,1,3,0,9.63003,0.813011
-9.41529,1,1.11644,1,1,0,9.91847,0.80166
-8.29753,1,1.11644,1,1,0,9.19617,0.715911
-8.2104,0.884094,1.11644,1,3,0,9.61941,0.378107
-7.83846,1,1.11644,1,1,0,8.13032,0.437176
-10.8637,0.587686,1.11644,2,3,0,12.1986,0.196203
