# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:52:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\mj8k8ew7.json
# init = 2 (Default)
# random
#   seed = 94637
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195206_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.992866
# Diagonal elements of inverse mass matrix:
# 0.385649
-8.69911,0.912887,0.992866,1,1,0,8.76286,0.753418
-7.6188,0.99487,0.992866,1,3,0,8.57189,0.587464
-7.62937,0.987919,0.992866,1,3,0,7.72025,0.497685
-7.72537,0.958475,0.992866,1,3,0,7.89061,0.625321
-7.58251,0.778735,0.992866,2,3,0,9.30313,0.533042
-8.42042,0.809259,0.992866,1,3,0,8.5678,0.35347
-8.42042,0.944656,0.992866,1,1,0,8.76142,0.35347
-8.11977,1,0.992866,1,1,0,8.42526,0.39019
-8.33231,0.94912,0.992866,1,1,0,8.42562,0.363315
-8.293,1,0.992866,1,1,0,8.49415,0.367924
-7.8104,1,0.992866,1,1,0,8.17518,0.443146
-9.00218,0.866145,0.992866,2,3,0,9.00634,0.776001
-8.68833,1,0.992866,1,1,0,9.10567,0.75254
-7.75752,0.938434,0.992866,1,3,0,9.35633,0.455518
-8.03592,0.873301,0.992866,1,3,0,8.6086,0.683583
-9.16672,0.798664,0.992866,2,3,0,10.1194,0.786826
-8.82945,1,0.992866,2,3,0,9.28649,0.763602
-7.83042,0.925056,0.992866,1,3,0,9.71002,0.438851
-7.66855,1,0.992866,1,1,0,7.79165,0.48172
-7.59561,1,0.992866,1,3,0,7.6497,0.518101
-7.74894,0.95163,0.992866,1,3,0,7.85652,0.631358
-9.81137,0.64188,0.992866,1,3,0,10.0378,0.822261
-8.23275,0.849006,0.992866,1,3,0,11.9694,0.375281
-8.41806,0.985364,0.992866,2,3,0,8.54267,0.353726
-7.75548,1,0.992866,1,3,0,8.25026,0.456032
-8.43447,0.829145,0.992866,2,3,0,9.16534,0.351957
-7.66648,0.954784,0.992866,1,3,0,8.77365,0.607489
-10.0705,0.727496,0.992866,2,3,0,10.2661,0.2328
-8.36666,1,0.992866,1,1,0,9.69143,0.359401
-7.63025,1,0.992866,1,3,0,8.21676,0.497269
-7.65094,0.943867,0.992866,2,3,0,7.99941,0.601782
-8.32968,0.8707,0.992866,1,3,0,8.36537,0.71935
-8.90811,0.963481,0.992866,2,3,0,8.96316,0.769392
-8.50149,1,0.992866,1,1,0,8.93948,0.736306
-9.04863,0.899705,0.992866,1,1,0,9.134,0.779147
-7.71352,1,0.992866,2,3,0,8.74757,0.46735
-7.70223,1,0.992866,1,1,0,7.74013,0.470692
-7.96476,0.891103,0.992866,1,3,0,8.39562,0.672957
-7.64248,0.999334,0.992866,1,3,0,7.88962,0.598406
-7.62746,0.93024,0.992866,2,3,0,8.11023,0.498599
-7.58239,1,0.992866,2,3,0,7.61976,0.557619
-7.60362,0.995803,0.992866,1,3,0,7.60396,0.578529
-7.59259,0.777061,0.992866,2,3,0,9.11846,0.570024
