# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:52:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\mj8k8ew7.json
# init = 2 (Default)
# random
#   seed = 94637
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195206_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.11023
# Diagonal elements of inverse mass matrix:
# 0.374431
-7.74106,0.980545,1.11023,1,1,0,7.76344,0.459748
-8.19541,0.854328,1.11023,1,3,0,8.61997,0.704307
-7.57939,0.998201,1.11023,1,3,0,8.08053,0.549087
-7.6844,0.97164,1.11023,1,3,0,7.69905,0.476308
-9.24069,0.662588,1.11023,1,3,0,9.27169,0.282758
-8.45232,0.807888,1.11023,2,3,0,11.4963,0.350056
-8.95521,0.86869,1.11023,1,1,0,9.13168,0.304094
-7.59151,1,1.11023,1,3,0,8.62159,0.521752
-7.57994,1,1.11023,1,3,0,7.58797,0.539318
-7.57994,0.928827,1.11023,1,3,0,7.78895,0.539318
-7.5807,0.99976,1.11023,1,1,0,7.58086,0.536964
-7.5807,0.904482,1.11023,1,3,0,7.86233,0.536964
-7.59855,0.990416,1.11023,2,3,0,7.62679,0.574927
-7.71777,0.972794,1.11023,1,3,0,7.71779,0.623267
-7.81469,0.971851,1.11023,1,1,0,7.84137,0.646138
-7.57946,0.997733,1.11023,1,3,0,7.77589,0.541412
-7.57935,0.999109,1.11023,2,3,0,7.58377,0.542138
-7.57911,1,1.11023,1,3,0,7.57928,0.544785
-7.82774,0.934613,1.11023,1,3,0,7.85343,0.439414
-7.5812,0.987259,1.11023,2,3,0,7.89377,0.55516
-7.689,0.805854,1.11023,2,3,0,8.58441,0.474817
-7.624,1,1.11023,2,3,0,7.67005,0.590107
-7.73415,0.988139,1.11023,2,3,0,7.73696,0.627625
-7.73415,0.8465,1.11023,1,3,0,8.48504,0.627625
-7.75007,0.998433,1.11023,2,3,0,7.79408,0.631635
-8.35262,0.823207,1.11023,1,3,0,8.79923,0.360988
-9.3822,0.64685,1.11023,1,3,0,11.2425,0.79978
-8.3292,1,1.11023,2,3,0,9.11726,0.363674
-7.60141,0.988762,1.11023,1,3,0,8.2773,0.577013
-7.87279,0.936349,1.11023,1,3,0,7.87631,0.65741
-8.48599,0.811707,1.11023,1,3,0,9.14703,0.346532
-7.80141,1,1.11023,1,1,0,8.28573,0.445137
-7.61525,0.886821,1.11023,2,3,0,8.41104,0.585556
-7.58006,0.988252,1.11023,2,3,0,7.67879,0.538883
-7.72098,0.945962,1.11023,2,3,0,7.85678,0.465216
-7.9807,0.921947,1.11023,1,1,0,7.99658,0.411151
-7.7158,0.940877,1.11023,2,3,0,8.41265,0.622723
-8.98725,0.737141,1.11023,1,3,0,9.01257,0.774974
-7.96388,1,1.11023,1,1,0,8.7264,0.672818
-7.75621,1,1.11023,1,1,0,7.92769,0.633128
-7.82432,0.980284,1.11023,1,1,0,7.86573,0.648104
-8.32976,0.869193,1.11023,1,1,0,8.34308,0.719359
-7.66398,1,1.11023,2,3,0,8.22273,0.483369
-7.80839,0.985548,1.11023,2,3,0,7.81178,0.644827
-8.04777,0.934347,1.11023,1,1,0,8.08027,0.685258
-8.04777,0.927849,1.11023,1,1,0,8.3383,0.685258
-8.17125,0.967207,1.11023,1,1,0,8.28214,0.701392
-7.58087,0.974836,1.11023,2,3,0,8.30718,0.554378
-7.63396,0.986717,1.11023,1,3,0,7.6357,0.594758
-7.58912,1,1.11023,2,3,0,7.62017,0.566643
-7.58004,1,1.11023,1,3,0,7.58631,0.551959
-7.70509,0.957802,1.11023,2,3,0,7.80709,0.619701
-8.33642,0.819453,1.11023,1,3,0,8.71071,0.362841
-10.426,0.803598,1.11023,2,3,0,10.4386,0.215329
-8.53436,1,1.11023,1,1,0,9.97808,0.341604
-7.5889,0.995683,1.11023,1,3,0,8.40921,0.566405
-8.19362,0.839882,1.11023,1,3,0,8.31615,0.380267
-8.38733,0.944358,1.11023,1,1,0,8.54258,0.357093
-8.89423,0.866564,1.11023,1,1,0,9.05355,0.309028
-7.9361,1,1.11023,2,3,0,8.68997,0.668361
-7.62687,0.940855,1.11023,2,3,0,8.34632,0.49889
-7.57936,0.966069,1.11023,2,3,0,7.79156,0.548895
-7.5908,0.99679,1.11023,1,3,0,7.59329,0.522438
-7.74971,0.96825,1.11023,2,3,0,7.79474,0.631547
-7.71763,1,1.11023,1,1,0,7.77645,0.623226
-7.63824,1,1.11023,1,1,0,7.70155,0.596623
-7.63824,0.657729,1.11023,1,3,0,8.8512,0.596623
-8.34958,0.840824,1.11023,1,3,0,8.36353,0.721434
-7.76299,0.614561,1.11023,2,3,0,11.5995,0.454158
-7.75878,1,1.11023,1,1,0,7.81775,0.455202
-7.75878,0.636338,1.11023,1,3,0,9.00386,0.455202
-7.71172,1,1.11023,2,3,0,7.77831,0.467871
-7.74728,0.988844,1.11023,1,1,0,7.78335,0.458126
-7.74728,0.845717,1.11023,1,1,0,8.12807,0.458126
-7.62429,0.985599,1.11023,1,3,0,7.81465,0.59025
-7.78401,0.747507,1.11023,2,3,0,9.09595,0.449112
-7.70454,1,1.11023,1,1,0,7.78685,0.469997
-9.28874,0.660431,1.11023,1,3,0,9.31373,0.279419
-7.58128,1,1.11023,1,3,0,8.92788,0.535531
-7.58128,0.746925,1.11023,1,3,0,8.44943,0.535531
-7.70771,0.967648,1.11023,1,3,0,7.71338,0.469051
-7.67011,1,1.11023,1,1,0,7.71869,0.481169
-8.17516,0.928234,1.11023,2,3,0,8.17528,0.382682
-7.77657,1,1.11023,2,3,0,8.07612,0.637889
-8.52501,0.91646,1.11023,2,3,0,8.52537,0.738464
-7.58741,0.992214,1.11023,2,3,0,8.52302,0.526068
-7.60073,0.99579,1.11023,1,1,0,7.60181,0.514144
-7.66858,0.976216,1.11023,2,3,0,7.72884,0.60822
-7.90492,0.862748,1.11023,2,3,0,8.46593,0.424265
-8.41137,0.857812,1.11023,1,1,0,8.45073,0.354453
-7.87178,1,1.11023,1,1,0,8.27692,0.43051
-7.64789,1,1.11023,1,1,0,7.80424,0.489564
-8.94205,0.708742,1.11023,1,3,0,8.97378,0.305147
-7.64967,1,1.11023,1,3,0,8.57057,0.488845
-7.67923,0.990675,1.11023,1,1,0,7.69693,0.478026
-7.79551,0.963967,1.11023,1,1,0,7.81224,0.446466
-7.63391,0.967164,1.11023,2,3,0,7.99973,0.594736
-7.83274,0.942035,1.11023,1,1,0,7.83373,0.649788
-7.58793,1,1.11023,1,3,0,7.76625,0.565348
-7.75771,0.933967,1.11023,2,3,0,7.94333,0.633489
-10.5357,0.402066,1.11023,1,3,0,11.6618,0.210306
-9.20919,1,1.11023,2,3,0,10.4365,0.284984
-12.1368,0.520378,1.11023,1,1,0,12.1794,0.151727
-10.3304,1,1.11023,1,1,0,12.1083,0.219841
-8.50457,1,1.11023,1,1,0,9.89678,0.344621
-7.67566,1,1.11023,1,3,0,8.24944,0.479238
-7.58728,1,1.11023,1,3,0,7.64808,0.526214
-7.65461,0.983811,1.11023,1,3,0,7.6547,0.486895
-7.65461,0.455794,1.11023,1,3,0,9.73092,0.486895
-7.96634,0.906512,1.11023,1,1,0,7.96789,0.413527
-7.98522,0.99807,1.11023,2,3,0,8.10315,0.410412
-7.98522,0.850697,1.11023,1,1,0,8.41926,0.410412
-8.94439,0.903082,1.11023,2,3,0,8.96843,0.304959
-7.5791,1,1.11023,1,3,0,8.67679,0.545774
-7.7539,0.942138,1.11023,2,3,0,7.88737,0.456431
-7.59307,0.992731,1.11023,1,3,0,7.76207,0.570454
-7.66236,0.990228,1.11023,2,3,0,7.66241,0.60603
-7.63958,0.956135,1.11023,2,3,0,7.90106,0.597195
-7.57938,0.961462,1.11023,2,3,0,7.83956,0.548999
-8.19502,0.841434,1.11023,1,3,0,8.2717,0.380085
-8.60757,0.886526,1.11023,1,1,0,8.73033,0.334426
-8.29703,1,1.11023,1,1,0,8.68302,0.367445
-10.8536,0.334497,1.11023,1,3,0,13.5708,0.864033
-9.75526,1,1.11023,1,1,0,10.9084,0.819538
-7.58335,0.983235,1.11023,2,3,0,9.71188,0.559261
-7.63094,0.988548,1.11023,1,3,0,7.6313,0.593396
-7.58285,0.99124,1.11023,2,3,0,7.68219,0.558432
-7.86562,0.92417,1.11023,2,3,0,8.02008,0.431711
-7.80885,1,1.11023,2,3,0,7.91075,0.443485
-8.3052,0.827014,1.11023,2,3,0,8.92707,0.716739
-8.68636,0.842214,1.11023,1,3,0,9.98655,0.327042
-8.68636,0.745954,1.11023,1,1,0,9.65756,0.327042
-8.68636,0.89915,1.11023,1,1,0,9.22583,0.327042
-8.32067,0.757807,1.11023,2,3,0,10.7531,0.364666
-7.61678,0.983744,1.11023,1,3,0,8.31068,0.586391
-7.5846,0.991376,1.11023,2,3,0,7.6674,0.561167
-7.58143,0.990095,1.11023,2,3,0,7.63344,0.555692
-7.67222,0.906467,1.11023,2,3,0,8.03728,0.480426
-9.81794,0.605402,1.11023,2,3,0,10.7127,0.822576
-9.08453,1,1.11023,1,1,0,9.88308,0.781529
-8.88979,1,1.11023,1,1,0,9.33667,0.768066
-9.51333,0.875473,1.11023,1,1,0,9.71402,0.807076
-9.45575,1,1.11023,1,1,0,9.95116,0.803923
-8.41307,1,1.11023,2,3,0,9.27163,0.72786
-8.6495,0.943651,1.11023,1,1,0,8.82832,0.749326
-7.91827,1,1.11023,1,1,0,8.46755,0.665395
-7.65842,0.947437,1.11023,2,3,0,8.31599,0.604601
-7.87024,0.89452,1.11023,2,3,0,8.26796,0.430809
-7.81067,1,1.11023,1,1,0,7.91462,0.443086
-7.66028,0.726383,1.11023,2,3,0,9.38128,0.605281
-7.98442,0.908727,1.11023,1,1,0,7.98502,0.675998
-7.69389,1,1.11023,2,3,0,7.90483,0.616389
-7.69389,0.15161,1.11023,1,3,0,13.0178,0.616389
-7.5854,0.9953,1.11023,1,3,0,7.69425,0.528573
-7.79059,0.948388,1.11023,1,3,0,7.79692,0.447589
-9.67782,0.508181,1.11023,1,3,0,10.7869,0.81568
-10.8589,0.815841,1.11023,1,1,0,11.0742,0.864212
-7.90533,0.971981,1.11023,1,3,0,10.2529,0.663188
-7.6345,1,1.11023,2,3,0,7.85619,0.495301
-7.87634,0.896652,1.11023,2,3,0,8.18592,0.658057
-7.5805,1,1.11023,1,3,0,7.81016,0.553387
-7.6634,0.97753,1.11023,2,3,0,7.70826,0.483584
-8.16312,0.622724,1.11023,2,3,0,9.85303,0.700395
-7.6612,0.966803,1.11023,1,3,0,8.2814,0.484394
-7.74642,0.991431,1.11023,2,3,0,7.74649,0.630736
-7.89409,0.957964,1.11023,1,1,0,7.92199,0.66123
-7.8779,1,1.11023,1,1,0,7.97503,0.65834
-7.69189,1,1.11023,1,1,0,7.83445,0.615781
-7.80859,0.988334,1.11023,2,3,0,7.80877,0.443542
-7.92783,0.987846,1.11023,2,3,0,7.98156,0.420142
-8.53861,0.832244,1.11023,1,1,0,8.57476,0.341179
-7.5825,1,1.11023,1,3,0,8.38182,0.557813
-7.74401,0.959511,1.11023,1,3,0,7.75194,0.630134
-9.09922,0.647727,1.11023,1,3,0,9.74627,0.292992
-8.12354,1,1.11023,2,3,0,8.86561,0.389665
-8.27515,0.955672,1.11023,1,1,0,8.41711,0.370065
-8.38473,0.968322,1.11023,1,1,0,8.5782,0.357382
-7.89148,1,1.11023,1,1,0,8.27238,0.426756
-7.64362,1,1.11023,2,3,0,7.81506,0.49133
-7.60933,1,1.11023,2,3,0,7.63789,0.508426
-7.73508,0.960917,1.11023,1,1,0,7.73575,0.461338
-7.73508,0.947877,1.11023,1,1,0,7.8791,0.461338
-8.26069,0.934283,1.11023,2,3,0,8.2662,0.371823
-7.64449,1,1.11023,2,3,0,8.22836,0.599227
-8.40743,0.789022,1.11023,2,3,0,9.07292,0.727302
-7.81848,1,1.11023,2,3,0,8.25547,0.441389
-7.6522,0.983848,1.11023,2,3,0,7.92983,0.602268
-7.92283,0.966809,1.11023,2,3,0,7.92384,0.666163
-7.60579,0.910348,1.11023,2,3,0,8.51874,0.510663
-8.2925,0.868238,1.11023,2,3,0,8.47849,0.715363
-7.98303,0.931084,1.11023,2,3,0,8.94125,0.410768
-7.71504,0.876845,1.11023,2,3,0,8.76177,0.622512
-7.59055,1,1.11023,1,3,0,7.67769,0.568099
-7.65189,0.968939,1.11023,2,3,0,7.74854,0.48796
-7.66138,0.996997,1.11023,1,1,0,7.6828,0.484329
-7.61109,1,1.11023,2,3,0,7.64972,0.507362
-7.7867,0.920447,1.11023,2,3,0,8.02037,0.64016
-9.19244,0.633261,1.11023,1,3,0,9.94222,0.286179
-8.845,1,1.11023,1,1,0,9.4038,0.31312
-10.2562,0.701053,1.11023,1,1,0,10.3945,0.223433
-8.76191,1,1.11023,1,1,0,9.9903,0.320265
-10.9091,0.587498,1.11023,1,1,0,10.9624,0.194351
-8.88607,1,1.11023,2,3,0,10.4956,0.309698
-7.84209,0.948081,1.11023,1,3,0,9.29535,0.651623
-8.16196,0.828328,1.11023,2,3,0,9.09091,0.700253
-7.63638,0.971811,1.11023,1,3,0,8.23157,0.49446
-8.12352,0.857635,1.11023,1,3,0,8.35985,0.695417
-8.92002,0.81833,1.11023,1,1,0,8.95769,0.770247
-7.68465,1,1.11023,1,3,0,8.60228,0.613526
-8.345,0.896659,1.11023,2,3,0,8.47449,0.361857
-7.76267,1,1.11023,2,3,0,8.23024,0.63467
-7.62415,1,1.11023,1,1,0,7.72239,0.590178
-7.66918,0.716974,1.11023,2,3,0,9.20405,0.608426
-7.58677,0.982374,1.11023,2,3,0,7.77312,0.526826
-7.67015,0.955305,1.11023,2,3,0,7.80459,0.608758
-9.18519,0.62218,1.11023,1,3,0,9.71108,0.2867
-7.83492,1,1.11023,2,3,0,8.97659,0.650219
-8.00212,0.98457,1.11023,2,3,0,8.05013,0.678665
-9.43208,0.851717,1.11023,2,3,0,9.54694,0.269836
-8.34049,1,1.11023,1,1,0,9.20851,0.362374
-8.34049,0.695818,1.11023,1,1,0,9.35846,0.362374
-8.41377,0.978842,1.11023,1,1,0,8.63307,0.354191
-8.36455,1,1.11023,1,1,0,8.63044,0.359639
-8.14299,1,1.11023,2,3,0,8.43503,0.386993
-7.60993,1,1.11023,1,3,0,7.98339,0.508059
-7.57979,0.963618,1.11023,2,3,0,7.78308,0.539898
-7.78958,0.94545,1.11023,1,3,0,7.8056,0.447821
-8.10199,0.907754,1.11023,1,1,0,8.13016,0.39269
-7.60651,0.986519,1.11023,1,3,0,8.09537,0.580411
-7.57999,0.99915,1.11023,1,3,0,7.60487,0.539137
-7.76085,0.845446,1.11023,2,3,0,8.34123,0.634238
-8.01976,0.400445,1.11023,2,3,0,13.4611,0.681259
-7.62072,1,1.11023,1,3,0,7.90375,0.58846
-7.66044,0.778733,1.11023,2,3,0,8.81015,0.605339
