# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:52:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\j985h8_l.json
# init = 2 (Default)
# random
#   seed = 21765
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195245_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.868319
# Diagonal elements of inverse mass matrix:
# 0.435828
-8.25412,0.912328,0.868319,2,3,0,8.30184,0.711111
-7.91048,1,0.868319,2,3,0,8.19665,0.664073
-8.40353,0.969572,0.868319,2,3,0,8.40494,0.726915
-8.84604,0.92658,0.868319,1,1,0,8.90456,0.764845
-8.16961,1,0.868319,1,1,0,8.73193,0.701192
-7.81182,0.910983,0.868319,1,3,0,9.03658,0.442835
-7.57943,1,0.868319,2,3,0,7.79956,0.541605
-7.60788,0.993763,0.868319,1,3,0,7.61416,0.509323
-8.46726,0.835007,0.868319,1,3,0,8.61069,0.348482
-7.689,0.940854,0.868319,2,3,0,9.11517,0.614889
-7.6252,1,0.868319,1,1,0,7.67607,0.590694
-7.69076,0.995295,0.868319,2,3,0,7.69157,0.615433
-9.84512,0.639997,0.868319,1,3,0,10.3384,0.82387
-8.11089,0.996133,0.868319,2,7,0,9.57924,0.391433
-8.88656,0.850988,0.868319,1,1,0,8.89314,0.309658
-7.59099,1,0.868319,2,3,0,8.68604,0.568526
-7.61092,0.990131,0.868319,1,3,0,7.65876,0.507463
-7.89666,0.84022,0.868319,2,3,0,8.72574,0.661681
-7.9668,0.892234,0.868319,1,3,0,8.89715,0.41345
-8.05974,0.993314,0.868319,2,3,0,8.12329,0.398825
-8.21496,0.967216,0.868319,1,1,0,8.28451,0.377527
-7.84199,1,0.868319,2,3,0,8.13856,0.436449
-7.82619,1,0.868319,1,1,0,7.88978,0.439743
-7.59115,0.99823,0.868319,1,3,0,7.8027,0.5221
-7.58401,1,0.868319,2,3,0,7.58964,0.530562
