# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:52:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\j985h8_l.json
# init = 2 (Default)
# random
#   seed = 21765
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195245_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12478
# Diagonal elements of inverse mass matrix:
# 0.391274
-7.65674,0.959172,1.12478,2,3,0,7.75893,0.603982
-7.84126,0.856364,1.12478,2,3,0,8.37178,0.651462
-7.68083,1,1.12478,2,3,0,7.79848,0.47749
-7.59947,1,1.12478,1,1,0,7.65436,0.515072
-7.67515,0.974581,1.12478,1,1,0,7.67654,0.479413
-7.73337,0.993482,1.12478,2,3,0,7.75828,0.461798
-7.83991,0.964744,1.12478,1,1,0,7.87826,0.436877
-7.65914,1,1.12478,1,1,0,7.78905,0.485165
-7.59137,1,1.12478,1,1,0,7.63639,0.521882
-7.59137,0.119617,1.12478,1,3,0,12.8465,0.521882
-7.75961,0.951542,1.12478,1,3,0,7.8088,0.633943
-8.42071,0.819863,1.12478,1,1,0,8.42438,0.728612
-8.66684,0.937463,1.12478,1,1,0,8.86583,0.750771
-7.71779,0.915587,1.12478,2,3,0,9.37597,0.623272
-7.71088,0.72456,1.12478,2,3,0,9.21319,0.62135
-7.58146,0.996968,1.12478,1,3,0,7.6891,0.535122
-7.74811,0.760043,1.12478,2,3,0,8.72329,0.457911
-7.5855,1,1.12478,1,3,0,7.69481,0.528444
-7.69835,0.849995,1.12478,2,3,0,8.25791,0.471877
-7.64134,1,1.12478,2,3,0,7.69316,0.492295
-7.81544,0.975595,1.12478,2,3,0,7.82182,0.442046
-7.58247,0.894113,1.12478,2,3,0,8.31121,0.557763
-7.6015,0.993782,1.12478,2,3,0,7.61227,0.513587
-8.31716,0.808477,1.12478,1,3,0,8.48735,0.718022
-8.77187,0.886991,1.12478,1,1,0,8.90888,0.759199
-7.86781,0.932293,1.12478,2,3,0,9.19631,0.431282
-9.5713,0.584729,1.12478,1,1,0,9.57141,0.261024
-8.00613,1,1.12478,1,1,0,9.10136,0.407051
-9.73509,0.588529,1.12478,1,1,0,9.74241,0.251221
-8.84664,1,1.12478,2,3,0,9.7369,0.312981
-7.64656,0.978495,1.12478,2,3,0,8.93714,0.600061
-7.5899,1,1.12478,2,3,0,7.62798,0.567451
-7.64127,0.9831,1.12478,1,1,0,7.64158,0.597901
