# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:53:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\6slv8vt_.json
# init = 2 (Default)
# random
#   seed = 22757
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195301_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.08564
# Diagonal elements of inverse mass matrix:
# 0.344114
-7.89065,1,1.08564,1,1,0,8.34019,0.42691
-7.74567,0.958777,1.08564,1,3,0,8.2494,0.630547
-7.74567,0.26672,1.08564,1,3,0,12.3724,0.630547
-9.10124,0.752847,1.08564,1,3,0,9.15951,0.782623
-9.11292,0.999263,1.08564,2,3,0,9.45436,0.783383
-9.93285,0.865585,1.08564,1,1,0,10.0791,0.827959
-9.6521,1,1.08564,1,1,0,10.2432,0.814373
-7.99474,0.92084,1.08564,1,3,0,10.9285,0.408871
-8.35347,0.96981,1.08564,2,3,0,8.40724,0.360892
-7.80223,1,1.08564,1,1,0,8.20926,0.444952
-8.42728,0.844976,1.08564,1,1,0,8.42966,0.352729
-7.62477,1,1.08564,1,3,0,8.2433,0.499926
-7.58112,0.996354,1.08564,2,3,0,7.64752,0.535906
-7.57939,0.996622,1.08564,2,3,0,7.59987,0.549045
-8.47179,0.783589,1.08564,1,3,0,8.65375,0.348008
-7.85796,0.926727,1.08564,1,3,0,9.15013,0.654659
-8.10996,0.881888,1.08564,1,3,0,8.77967,0.391563
-7.99223,1,1.08564,1,1,0,8.16796,0.409276
-7.88623,1,1.08564,1,1,0,8.02747,0.427743
-7.5918,1,1.08564,1,3,0,7.82029,0.521474
-8.24224,0.851738,1.08564,2,3,0,8.61457,0.374098
-7.58756,1,1.08564,1,3,0,8.12779,0.525893
-8.00638,0.902084,1.08564,1,3,0,8.04251,0.407012
-7.60307,0.986006,1.08564,1,3,0,8.07481,0.578155
-7.67694,0.992754,1.08564,2,3,0,7.67825,0.478802
-7.61924,1,1.08564,1,1,0,7.66428,0.502776
-8.03906,0.872771,1.08564,1,3,0,8.29107,0.684029
-7.68256,0.962533,1.08564,2,3,0,8.36445,0.612862
-9.10222,0.819213,1.08564,2,3,0,9.25987,0.292769
-8.03247,1,1.08564,2,3,0,8.85024,0.683092
-10.3521,0.658705,1.08564,1,3,0,10.438,0.845789
-7.64583,0.97003,1.08564,1,3,0,10.1268,0.599767
-7.64583,0.644004,1.08564,1,3,0,9.28131,0.599767
-7.64583,0.798872,1.08564,1,3,0,8.44005,0.599767
-7.87464,0.922381,1.08564,1,3,0,8.1014,0.429958
-9.29678,0.753002,1.08564,1,3,0,9.30342,0.278867
-7.92351,1,1.08564,1,3,0,8.94186,0.420909
-8.23674,0.919563,1.08564,1,1,0,8.28032,0.374782
-7.80301,1,1.08564,2,3,0,8.12941,0.444778
-8.56389,0.815159,1.08564,1,1,0,8.56413,0.33867
-8.19267,1,1.08564,1,1,0,8.56497,0.380391
-7.67876,1,1.08564,1,3,0,8.05254,0.478184
-7.96014,0.883973,1.08564,2,3,0,8.45339,0.414567
-7.58989,0.991491,1.08564,1,3,0,7.98689,0.567433
-7.78552,0.956187,1.08564,1,3,0,7.79615,0.639898
-8.00188,0.947037,1.08564,1,1,0,8.02099,0.678629
-7.61048,0.978265,1.08564,2,3,0,8.1599,0.582839
-8.24165,0.863168,1.08564,1,3,0,8.28762,0.709697
-8.24165,0.493982,1.08564,1,3,0,11.5672,0.709697
-7.88513,1,1.08564,2,3,0,8.17743,0.659642
-7.73583,1,1.08564,2,3,0,7.8637,0.62806
-8.1838,0.893304,1.08564,1,1,0,8.18404,0.702915
-7.6623,1,1.08564,2,3,0,8.06532,0.483987
-8.21164,0.82636,1.08564,1,3,0,8.63004,0.706225
-8.28365,0.892406,1.08564,2,3,0,9.5661,0.369042
-7.80412,1,1.08564,1,1,0,8.16184,0.444531
-7.68453,1,1.08564,1,1,0,7.78265,0.476264
-7.72872,0.9878,1.08564,1,1,0,7.7498,0.463066
-7.88353,0.958208,1.08564,1,1,0,7.90142,0.428254
-7.60667,0.98593,1.08564,1,3,0,7.96038,0.580509
-7.81545,0.972474,1.08564,2,3,0,7.83405,0.442045
-7.92708,0.885822,1.08564,2,3,0,8.64331,0.420275
-7.59379,0.989949,1.08564,1,3,0,7.96774,0.571088
-7.58216,0.986688,1.08564,2,3,0,7.67212,0.533707
-7.63195,0.713855,1.08564,2,3,0,9.37477,0.593858
-7.63195,0.656864,1.08564,1,3,0,9.07843,0.593858
-7.64801,0.9957,1.08564,1,1,0,7.65912,0.600637
-7.92136,0.909862,1.08564,1,3,0,8.16948,0.421292
-7.66411,1,1.08564,1,1,0,7.85098,0.483322
-7.63526,1,1.08564,2,3,0,7.66651,0.494958
-8.59711,0.796427,1.08564,1,3,0,8.64402,0.335431
-8.59711,0.900888,1.08564,1,1,0,9.10204,0.335431
-8.84508,0.941162,1.08564,1,1,0,9.05883,0.313112
-7.64698,1,1.08564,1,3,0,8.57836,0.489934
-7.99645,0.880535,1.08564,2,3,0,8.43858,0.408596
-8.61087,0.950457,1.08564,2,3,0,8.63919,0.33411
-7.59905,0.964367,1.08564,2,3,0,8.83846,0.515382
-7.62498,0.988063,1.08564,1,3,0,7.67637,0.590586
-9.57979,0.600033,1.08564,1,3,0,9.88329,0.810623
-9.64381,0.99639,1.08564,2,3,0,10.0544,0.813949
-11.2627,0.785624,1.08564,1,1,0,11.3408,0.876923
-13.2116,0.817585,1.08564,1,1,0,13.3541,0.921461
-7.81417,1,1.08564,2,3,0,12.622,0.64603
-7.69213,0.964475,1.08564,2,3,0,8.13013,0.615852
-8.07456,0.933414,1.08564,1,3,0,8.07457,0.688954
-8.40473,0.871302,1.08564,2,3,0,9.44156,0.727034
-8.09986,1,1.08564,2,3,0,8.4034,0.692339
-7.5891,1,1.08564,1,3,0,8.01855,0.566621
-7.6373,0.994263,1.08564,2,3,0,7.63968,0.49405
-8.01483,0.569278,1.08564,2,3,0,10.4515,0.68054
-7.83241,1,1.08564,1,1,0,8.00212,0.649724
-7.63442,1,1.08564,1,3,0,7.78009,0.594964
-8.46468,0.827533,1.08564,1,3,0,8.51731,0.732857
-7.62536,1,1.08564,1,3,0,8.30611,0.590772
-7.63825,0.998846,1.08564,2,3,0,7.64821,0.596628
-7.57996,0.703413,1.08564,2,3,0,9.6815,0.551675
-7.58209,0.974656,1.08564,2,3,0,7.71963,0.557035
-7.93041,0.916311,1.08564,1,3,0,7.97745,0.667423
-7.93041,0.389534,1.08564,2,3,0,12.7264,0.667423
-7.72722,0.781585,1.08564,2,3,0,9.57873,0.463478
-7.62852,1,1.08564,1,1,0,7.70213,0.49809
-7.89953,0.966861,1.08564,2,3,0,7.91106,0.662181
-8.16776,0.871202,1.08564,1,3,0,8.92969,0.383662
-7.74697,1,1.08564,1,1,0,8.05651,0.458204
-9.18637,0.587119,1.08564,1,3,0,10.2749,0.788062
-9.36358,0.968107,1.08564,1,1,0,9.67174,0.79871
-7.66901,0.976466,1.08564,2,3,0,9.51691,0.608366
-7.57925,0.999232,1.08564,1,3,0,7.66442,0.542844
-7.57925,0.705637,1.08564,1,3,0,8.73221,0.542844
-7.75952,0.965538,1.08564,2,3,0,7.81668,0.633922
-8.14032,0.908922,1.08564,1,1,0,8.14374,0.697555
-8.83257,0.823468,1.08564,2,3,0,10.0084,0.763837
-8.90826,0.849486,1.08564,1,3,0,11.5143,0.307879
-7.57933,0.989359,1.08564,2,3,0,8.93779,0.548658
-7.6213,0.99053,1.08564,2,3,0,7.64171,0.588753
-7.58524,0.995228,1.08564,2,3,0,7.65425,0.562054
-9.18081,0.632115,1.08564,1,3,0,9.59974,0.287014
-8.98274,1,1.08564,2,3,0,9.44901,0.301914
-7.60237,1,1.08564,1,3,0,8.74459,0.51297
-7.58996,1,1.08564,1,1,0,7.60011,0.523286
-7.62823,0.942878,1.08564,2,3,0,7.91147,0.592138
-7.59033,0.995325,1.08564,1,3,0,7.65601,0.522908
-7.62257,0.991058,1.08564,1,1,0,7.62274,0.501034
-7.62257,0.534535,1.08564,1,3,0,9.63577,0.501034
-7.60005,0.923411,1.08564,2,3,0,8.06567,0.57604
-7.99279,0.913491,1.08564,1,3,0,8.01719,0.677267
-7.63208,1,1.08564,1,3,0,7.90344,0.593915
-7.58038,0.998486,1.08564,1,3,0,7.63555,0.537845
-8.56834,0.75385,1.08564,1,3,0,8.83758,0.742347
-7.62962,1,1.08564,2,3,0,8.40037,0.497563
-7.58181,1,1.08564,2,3,0,7.62448,0.556489
-7.58692,0.993202,1.08564,2,3,0,7.62081,0.526641
-7.83127,0.930993,1.08564,1,3,0,7.9266,0.649497
-7.83127,0.449827,1.08564,1,3,0,10.8144,0.649497
-9.04311,0.799867,1.08564,1,3,0,9.06124,0.778777
-10.7572,0.74738,1.08564,1,1,0,10.7815,0.860754
-7.72143,0.959362,1.08564,1,3,0,10.4572,0.624264
-7.63971,0.976882,1.08564,2,3,0,7.91186,0.597247
-7.67301,0.997049,1.08564,2,3,0,7.68327,0.609728
-7.58879,1,1.08564,2,3,0,7.65715,0.52451
-7.64468,0.791549,1.08564,2,3,0,8.83662,0.599305
-7.59311,0.761511,1.08564,2,3,0,9.2027,0.520268
-7.6125,0.984021,1.08564,2,3,0,7.68958,0.584016
