# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:53:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\6slv8vt_.json
# init = 2 (Default)
# random
#   seed = 22757
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195301_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.1146
# Diagonal elements of inverse mass matrix:
# 0.338837
-7.98748,1,1.1146,1,1,0,8.11499,0.676465
-7.76254,0.924519,1.1146,2,3,0,8.68004,0.454268
-7.64341,0.980307,1.1146,1,3,0,7.89515,0.598785
-8.20031,0.884866,1.1146,1,3,0,8.21247,0.70489
-7.83881,0.937434,1.1146,1,3,0,8.74357,0.437104
-7.58328,1,1.1146,1,3,0,7.78466,0.531702
-8.34224,0.818702,1.1146,1,3,0,8.42793,0.362173
-7.68374,0.965138,1.1146,1,3,0,8.58268,0.613236
-7.69678,0.996432,1.1146,1,1,0,7.72324,0.617258
-7.68993,1,1.1146,1,1,0,7.72435,0.615177
-7.57975,1,1.1146,1,3,0,7.67123,0.55084
-7.6643,0.982239,1.1146,2,3,0,7.69627,0.483254
-7.65023,1,1.1146,1,1,0,7.67806,0.488622
-7.74103,0.960125,1.1146,1,3,0,7.91325,0.629384
-7.72755,1,1.1146,1,1,0,7.77562,0.625902
-8.81371,0.793629,1.1146,1,3,0,8.84007,0.762413
-8.79079,1,1.1146,2,3,0,9.09719,0.760662
-8.79079,0.585715,1.1146,1,3,0,12.2793,0.760662
-7.92257,1,1.1146,1,1,0,8.58182,0.666118
-13.1052,0.252482,1.1146,1,3,0,14.0245,0.919575
-15.986,0.818825,1.1146,1,1,0,16.0851,0.956904
-9.28759,0.95521,1.1146,2,7,0,15.7115,0.794249
-8.1696,1,1.1146,1,1,0,9.04466,0.70119
-8.81466,0.862399,1.1146,1,1,0,8.85713,0.762485
-7.95079,1,1.1146,1,1,0,8.60983,0.670741
-8.10075,0.962984,1.1146,1,1,0,8.16931,0.692456
-9.29344,0.762569,1.1146,1,1,0,9.29494,0.794598
-8.57942,1,1.1146,2,3,0,9.2434,0.743322
-7.73065,0.950489,1.1146,2,3,0,9.03111,0.626715
-8.11177,0.904802,1.1146,1,1,0,8.11401,0.693898
-7.68055,1,1.1146,1,3,0,7.99723,0.612216
-7.57967,1,1.1146,1,3,0,7.66345,0.550527
-7.62132,0.988581,1.1146,1,3,0,7.63198,0.501681
-8.04464,0.872717,1.1146,1,3,0,8.28158,0.684819
-7.57942,0.999853,1.1146,1,3,0,7.98894,0.54924
-7.57942,0.545389,1.1146,1,3,0,9.47569,0.54924
-7.58175,0.999269,1.1146,1,3,0,7.58312,0.534516
-7.78481,0.944537,1.1146,1,3,0,7.84109,0.639742
-7.64667,1,1.1146,2,3,0,7.74995,0.600105
-8.07486,0.871083,1.1146,1,3,0,8.34959,0.396597
-8.13623,0.983205,1.1146,1,1,0,8.26426,0.387916
-8.13623,0.546855,1.1146,1,3,0,10.333,0.387916
-7.7174,1,1.1146,2,3,0,8.01938,0.466234
-7.58647,1,1.1146,1,3,0,7.68392,0.527192
-7.57935,0.857093,1.1146,2,3,0,8.37127,0.542083
-8.88735,0.786666,1.1146,2,3,0,9.20472,0.767888
-7.58728,0.979652,1.1146,1,3,0,8.88917,0.526215
-7.58274,0.998869,1.1146,1,3,0,7.59449,0.558237
-7.5895,0.995505,1.1146,2,3,0,7.60891,0.523752
-7.5895,0.911138,1.1146,1,3,0,7.92592,0.523752
-7.57944,0.920768,1.1146,2,3,0,8.00991,0.541529
-7.90171,0.916083,1.1146,1,3,0,7.96849,0.662562
-7.90171,0.553858,1.1146,1,3,0,10.1261,0.662562
-8.39785,0.88418,1.1146,1,1,0,8.41421,0.726348
-8.39785,0.557741,1.1146,1,3,0,11.3502,0.726348
-7.63746,1,1.1146,1,3,0,8.22588,0.596289
-8.01953,0.921982,1.1146,1,3,0,8.02313,0.681226
-9.37304,0.895337,1.1146,2,3,0,9.39858,0.273717
-8.39209,1,1.1146,1,1,0,9.19635,0.356567
-7.59227,0.99098,1.1146,1,3,0,8.38093,0.56973
-7.89191,0.931116,1.1146,1,3,0,7.90878,0.660846
-8.81758,0.79796,1.1146,1,1,0,8.81759,0.762707
-8.43932,1,1.1146,1,1,0,8.86556,0.730426
-8.04928,1,1.1146,1,1,0,8.39811,0.685469
-7.59307,0.98,1.1146,2,3,0,8.17795,0.570452
-7.58106,0.999003,1.1146,1,3,0,7.59746,0.536041
-7.63862,0.645968,1.1146,2,3,0,9.84843,0.596785
-7.73966,0.990638,1.1146,2,3,0,7.73983,0.460117
-8.53307,0.749402,1.1146,1,3,0,9.20676,0.739195
-7.73811,0.94905,1.1146,2,3,0,9.00306,0.628643
-8.93478,0.852344,1.1146,2,3,0,9.05048,0.305731
-10.4799,0.70589,1.1146,1,1,0,10.5746,0.21284
-9.26522,1,1.1146,1,1,0,10.4078,0.281046
-10.0534,0.735716,1.1146,2,3,0,13.0946,0.233691
-9.1025,1,1.1146,1,1,0,10.0446,0.292748
-8.55488,1,1.1146,1,1,0,9.12615,0.33956
-9.74412,0.74868,1.1146,1,1,0,9.82002,0.250697
-9.49522,1,1.1146,1,1,0,10.1217,0.265782
-10.0621,0.884181,1.1146,1,1,0,10.4199,0.233238
-7.62118,1,1.1146,1,3,0,9.62333,0.501753
-9.31839,0.571354,1.1146,1,3,0,10.0312,0.796075
-8.43264,1,1.1146,1,1,0,9.18372,0.729777
-8.8011,0.922071,1.1146,1,1,0,8.93275,0.761453
-10.0608,0.928891,1.1146,2,3,0,10.1162,0.833685
-7.75733,0.944075,1.1146,1,3,0,10.7303,0.455567
-8.5277,0.91184,1.1146,2,3,0,8.55038,0.738708
-8.09619,1,1.1146,1,1,0,8.48131,0.691854
-8.04474,1,1.1146,1,1,0,8.19479,0.684832
-7.69615,1,1.1146,2,3,0,7.9527,0.617069
-7.63205,0.976403,1.1146,2,3,0,7.88139,0.593902
-7.74454,0.969448,1.1146,1,1,0,7.74674,0.630266
-7.64108,0.980478,1.1146,1,3,0,7.872,0.492404
-8.13399,0.894365,1.1146,1,3,0,8.13833,0.388222
-7.68775,1,1.1146,2,3,0,8.03561,0.614501
-9.51075,0.640724,1.1146,1,3,0,9.66347,0.806937
-9.91796,0.931866,1.1146,1,1,0,10.2345,0.827274
-10.3145,0.938859,1.1146,1,1,0,10.6974,0.844296
-10.3145,0.78141,1.1146,1,1,0,12.0528,0.844296
-10.0264,1,1.1146,1,1,0,10.7004,0.832175
-8.9263,1,1.1146,1,1,0,9.91069,0.770696
-7.6964,1,1.1146,1,3,0,8.66018,0.617145
-7.78194,0.977109,1.1146,1,1,0,7.79985,0.639101
-8.01546,0.940895,1.1146,1,1,0,8.03484,0.680632
-7.57912,0.998609,1.1146,1,3,0,7.96901,0.546283
-7.63189,0.715288,1.1146,2,3,0,9.3047,0.593832
-8.10822,0.931866,1.1146,2,3,0,8.17288,0.391809
-7.76064,1,1.1146,2,3,0,8.02102,0.454739
-7.79183,0.997034,1.1146,2,3,0,7.83803,0.447306
-7.61617,1,1.1146,1,3,0,7.74108,0.504441
-7.5862,0.996975,1.1146,1,3,0,7.63158,0.563293
-7.61144,0.997094,1.1146,2,3,0,7.61259,0.507153
-7.68187,0.956881,1.1146,2,3,0,7.86015,0.477143
-7.61286,0.976231,1.1146,2,3,0,7.84329,0.506321
-7.58716,1,1.1146,2,3,0,7.60644,0.564459
-8.61121,0.761218,1.1146,1,3,0,8.7601,0.746079
-10.1557,0.73827,1.1146,1,1,0,10.1709,0.837768
-11.2354,0.856789,1.1146,1,1,0,11.4772,0.876111
-12.8902,0.834046,1.1146,1,1,0,13.1089,0.915605
-8.45704,1,1.1146,2,7,0,11.8296,0.349557
-7.73984,0.916695,1.1146,2,3,0,9.15984,0.460069
-7.86323,0.965306,1.1146,1,1,0,7.88973,0.43218
-7.6686,1,1.1146,2,3,0,7.811,0.608226
-8.31594,0.914635,1.1146,2,3,0,8.38568,0.365218
-7.61697,0.949417,1.1146,2,3,0,8.66318,0.504002
-7.68895,0.979393,1.1146,1,1,0,7.69155,0.474831
-8.08519,0.892979,1.1146,1,1,0,8.08581,0.395096
-7.78716,1,1.1146,1,1,0,8.02076,0.448382
-8.3564,0.94479,1.1146,2,3,0,8.36102,0.360559
-9.69454,0.715729,1.1146,1,1,0,9.72851,0.253595
-8.65034,1,1.1146,1,1,0,9.55144,0.330376
-8.10024,1,1.1146,1,1,0,8.56365,0.392938
-8.40642,0.973422,1.1146,2,3,0,8.49873,0.354992
-8.68345,0.930399,1.1146,1,1,0,8.85663,0.327309
-10.6635,0.632514,1.1146,1,1,0,10.691,0.204652
-7.8865,0.981244,1.1146,1,3,0,11.5463,0.659885
-7.58065,0.998198,1.1146,2,3,0,7.89095,0.537101
-7.57915,0.997785,1.1146,2,3,0,7.59241,0.546925
-7.58176,0.992827,1.1146,2,3,0,7.61652,0.556378
-7.70655,0.976156,1.1146,2,3,0,7.74495,0.469395
-7.58022,0.991896,1.1146,2,3,0,7.75356,0.538335
-7.84143,0.948635,1.1146,2,3,0,7.92516,0.651495
-8.0089,0.902574,1.1146,2,3,0,8.70882,0.67967
-7.62914,0.96834,1.1146,2,3,0,8.24806,0.592565
-7.95126,0.926686,1.1146,2,3,0,8.15479,0.416074
-7.79069,1,1.1146,1,1,0,7.94041,0.447566
-7.79069,0.889106,1.1146,1,1,0,8.10255,0.447566
