# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:53:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\u6cchwn1.json
# init = 2 (Default)
# random
#   seed = 49910
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195353_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.791168
# Diagonal elements of inverse mass matrix:
# 0.491833
-7.82044,1,0.791168,2,3,0,8.07788,0.647317
-7.67471,1,0.791168,1,1,0,7.79179,0.610296
-7.64675,1,0.791168,1,1,0,7.6764,0.600135
-8.44587,0.780091,0.791168,1,3,0,9.22387,0.35074
-9.71136,0.793991,0.791168,1,1,0,9.71253,0.252606
-7.75666,0.989538,0.791168,2,3,0,9.79687,0.455733
-8.09916,0.931288,0.791168,1,1,0,8.09917,0.393091
-8.60747,0.904661,0.791168,1,1,0,8.62485,0.334435
-8.0741,1,0.791168,1,1,0,8.5147,0.396708
-7.84829,1,0.791168,1,1,0,8.04175,0.435166
-8.00677,0.967789,0.791168,1,1,0,8.02967,0.40695
-7.8291,1,0.791168,1,1,0,7.98712,0.439127
-7.7023,0.943187,0.791168,1,3,0,8.29715,0.618889
-7.69321,1,0.791168,2,3,0,7.72117,0.61618
-7.81453,0.936016,0.791168,1,3,0,8.27189,0.442244
-7.64429,0.9647,0.791168,2,3,0,8.17979,0.599146
-7.58488,0.978029,0.791168,2,3,0,7.82498,0.529283
-7.58115,1,0.791168,2,3,0,7.5841,0.535837
-7.61229,0.977798,0.791168,2,3,0,7.73884,0.583892
-7.58401,0.995961,0.791168,1,3,0,7.64336,0.530558
-7.86049,0.941213,0.791168,2,3,0,8.04122,0.655134
