# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:53:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\u6cchwn1.json
# init = 2 (Default)
# random
#   seed = 49910
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195353_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.835036
# Diagonal elements of inverse mass matrix:
# 0.426971
-7.77763,0.984352,0.835036,1,1,0,7.7838,0.63813
-7.60522,0.975567,0.835036,2,3,0,8.03604,0.511036
-7.62374,0.996219,0.835036,1,1,0,7.62538,0.500444
-7.75382,0.943869,0.835036,2,7,0,8.0209,0.632551
-7.64551,0.96255,0.835036,2,7,0,8.05056,0.490539
-7.64551,0.823358,0.835036,1,3,0,8.74782,0.490539
-7.58133,0.965835,0.835036,2,3,0,7.91703,0.555459
-7.58714,0.997415,0.835036,1,3,0,7.59954,0.526379
-8.21514,0.877472,0.835036,1,3,0,8.39886,0.377504
-7.84357,0.968695,0.835036,2,3,0,8.5895,0.436126
-7.83124,1,0.835036,1,1,0,7.88885,0.438678
-7.5798,0.990394,0.835036,1,3,0,7.9084,0.551072
-8.18748,0.867748,0.835036,1,3,0,8.45589,0.703358
-7.58432,1,0.835036,2,3,0,8.12247,0.560754
-7.62094,0.987666,0.835036,1,3,0,7.66686,0.50188
-7.60547,0.996304,0.835036,2,3,0,7.66166,0.510876
-7.58087,0.988672,0.835036,2,3,0,7.69616,0.55438
-8.46942,0.89829,0.835036,2,3,0,8.51358,0.348257
-8.90348,0.92438,0.835036,1,1,0,8.97535,0.308269
-7.58882,1,0.835036,2,3,0,8.68102,0.566317
