# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:54:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\hmo3idhy.json
# init = 2 (Default)
# random
#   seed = 52009
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195415_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.13694
# Diagonal elements of inverse mass matrix:
# 0.377304
-7.62134,0.999257,1.13694,1,1,0,7.63404,0.588773
-7.58407,1,1.13694,1,1,0,7.60909,0.560388
-7.60571,0.996706,1.13694,2,3,0,7.60588,0.579903
-8.36619,0.764719,1.13694,2,3,0,9.00754,0.723146
-7.57928,0.995682,1.13694,1,3,0,8.19342,0.548275
-7.6272,0.978865,1.13694,2,3,0,7.67802,0.591651
-7.6272,0.441045,1.13694,1,3,0,9.7639,0.591651
-7.84593,0.932873,1.13694,1,1,0,7.84674,0.652367
-7.60691,0.955248,1.13694,2,3,0,8.1326,0.580665
-7.67083,0.979513,1.13694,1,1,0,7.67369,0.608989
-8.01937,0.944037,1.13694,2,3,0,8.09419,0.40497
-9.47915,0.823651,1.13694,2,3,0,9.49425,0.266804
-7.67747,1,1.13694,1,3,0,8.92835,0.478621
-7.6014,1,1.13694,2,3,0,7.65353,0.513659
-7.87609,0.938917,1.13694,2,3,0,7.97274,0.658012
-8.03937,0.952749,1.13694,1,1,0,8.10537,0.684074
-8.14531,0.990038,1.13694,2,3,0,8.26633,0.698182
-7.71493,1,1.13694,1,1,0,8.01963,0.622481
-7.76139,0.985551,1.13694,1,1,0,7.79747,0.634366
-7.57965,0.980898,1.13694,2,3,0,7.8628,0.550441
