# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:54:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\hmo3idhy.json
# init = 2 (Default)
# random
#   seed = 52009
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195415_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.984096
# Diagonal elements of inverse mass matrix:
# 0.385725
-7.57954,0.718477,0.984096,2,3,0,9.59445,0.549908
-8.12511,0.913702,0.984096,2,3,0,8.24589,0.695621
-8.71189,0.73733,0.984096,1,3,0,10.3468,0.32472
-7.60301,1,0.984096,2,3,0,8.57055,0.57812
-7.62772,0.993852,0.984096,1,1,0,7.62972,0.591902
-7.81864,0.967225,0.984096,1,3,0,7.81949,0.646948
-7.61934,1,0.984096,2,3,0,7.77048,0.502719
-7.57911,0.999935,0.984096,1,3,0,7.61905,0.546107
-7.59236,0.996616,0.984096,1,3,0,7.59581,0.52095
-7.61278,0.994775,0.984096,1,1,0,7.61342,0.506367
-7.6858,0.969125,0.984096,1,3,0,7.80436,0.613889
-7.62683,1,0.984096,1,1,0,7.67422,0.591476
-7.62121,0.971042,0.984096,2,3,0,7.83664,0.501737
-8.99699,0.774315,0.984096,2,3,0,9.53881,0.300797
-7.5933,1,0.984096,2,3,0,8.84342,0.570662
-7.62942,0.990995,0.984096,1,1,0,7.62947,0.592695
-7.9062,0.971796,0.984096,2,3,0,7.91173,0.424031
-7.87624,0.898068,0.984096,2,3,0,8.82706,0.658039
-8.03851,0.789868,0.984096,2,3,0,9.72108,0.402021
-8.96414,0.934202,0.984096,2,3,0,8.96948,0.303384
