# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:54:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\gbomvdnd.json
# init = 2 (Default)
# random
#   seed = 92297
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195429_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.88855
# Diagonal elements of inverse mass matrix:
# 0.407215
-7.58149,0.997873,0.88855,1,3,0,7.61671,0.535063
-7.65266,0.933365,0.88855,2,3,0,8.03967,0.602445
-8.68902,0.821937,0.88855,1,3,0,8.85895,0.752596
-9.01268,0.949672,0.88855,1,1,0,9.13012,0.776719
-9.75725,0.898382,0.88855,1,1,0,9.83088,0.819635
-9.52947,1,0.88855,1,1,0,9.98517,0.807947
-9.40153,1,0.88855,2,7,0,9.5293,0.271833
-9.40153,0.714292,0.88855,1,1,0,11.2082,0.271833
-10.2197,0.872914,0.88855,1,1,0,10.3752,0.225231
-9.45163,1,0.88855,1,1,0,10.2649,0.26857
-9.33432,1,0.88855,2,7,0,9.42924,0.79701
-9.48637,0.99461,0.88855,2,7,0,9.49094,0.266344
-10.3449,0.956332,0.88855,2,3,0,10.5037,0.219149
-7.88223,0.99995,0.88855,2,7,0,9.87159,0.659122
-9.43013,0.610915,0.88855,2,3,0,11.5483,0.269962
-9.41131,1,0.88855,1,1,0,9.78654,0.271191
-8.70917,1,0.88855,2,3,0,9.36105,0.324966
-7.71765,0.90127,0.88855,1,3,0,9.58851,0.623234
-7.57918,0.996481,0.88855,1,3,0,7.74366,0.543583
-9.16783,0.801858,0.88855,2,3,0,9.24631,0.786896
-8.26819,1,0.88855,1,1,0,9.01627,0.712687
-7.59715,0.989471,0.88855,1,3,0,8.27685,0.573852
-7.62176,0.994712,0.88855,1,1,0,7.6221,0.588986
-7.6298,0.998283,0.88855,1,1,0,7.63694,0.592872
-7.64811,0.980161,0.88855,1,3,0,7.80635,0.489473
-7.62662,1,0.88855,1,1,0,7.64912,0.499012
-7.80246,0.916914,0.88855,2,3,0,8.22846,0.643575
-7.66108,1,0.88855,2,3,0,7.77319,0.605571
-7.60986,0.984327,0.88855,2,7,0,7.77951,0.5081
-7.60362,1,0.88855,1,1,0,7.61237,0.512109
-7.62285,0.98666,0.88855,1,3,0,7.70922,0.589536
-7.69938,0.962979,0.88855,1,3,0,7.88476,0.471562
-7.67984,1,0.88855,1,1,0,7.7124,0.477821
-7.64495,1,0.88855,2,3,0,7.67927,0.490774
-7.70991,0.955389,0.88855,2,7,0,7.9554,0.621075
-7.76786,0.949006,0.88855,1,3,0,8.1872,0.452964
-7.69845,0.979618,0.88855,2,3,0,7.98222,0.471846
-7.69845,0.718863,0.88855,1,3,0,9.27632,0.471846
-8.12124,0.848002,0.88855,2,7,0,8.82409,0.695124
-7.61216,0.993666,0.88855,1,3,0,8.08871,0.583817
-11.7665,0.561652,0.88855,2,3,0,11.8607,0.163233
-7.57998,0.936518,0.88855,2,3,0,12.6324,0.539143
-7.58163,0.999639,0.88855,1,1,0,7.58163,0.534776
-7.57914,0.992026,0.88855,2,3,0,7.63661,0.544167
-7.58091,0.999736,0.88855,2,3,0,7.58134,0.536421
-7.58091,0.910051,0.88855,1,3,0,8.02021,0.536421
-8.41465,0.873879,0.88855,2,3,0,8.67437,0.354095
-7.63512,0.995392,0.88855,1,3,0,8.33398,0.49502
-7.63682,0.980635,0.88855,1,3,0,7.79547,0.596012
-7.74347,0.941032,0.88855,2,3,0,8.11739,0.459116
-7.65065,0.986107,0.88855,2,3,0,7.88068,0.488455
-7.73142,0.982342,0.88855,1,1,0,7.73419,0.462328
-7.70005,1,0.88855,1,1,0,7.74358,0.471356
-7.77506,0.98365,0.88855,1,1,0,7.78646,0.451227
-7.92941,0.966973,0.88855,1,1,0,7.94328,0.419865
-7.79643,1,0.88855,2,3,0,7.92092,0.446259
-7.75893,1,0.88855,1,1,0,7.81845,0.455167
-7.68129,0.981861,0.88855,2,3,0,7.94603,0.477336
-7.57949,1,0.88855,2,3,0,7.67664,0.541251
-8.37679,0.812828,0.88855,1,3,0,8.74115,0.724227
-7.89847,1,0.88855,1,1,0,8.28634,0.661997
-8.35797,0.915992,0.88855,1,1,0,8.35928,0.722301
-8.60391,0.958329,0.88855,1,1,0,8.68984,0.745452
-8.7004,0.984106,0.88855,1,1,0,8.8646,0.753523
-8.95108,0.986883,0.88855,2,3,0,9.08796,0.772452
-8.68071,1,0.88855,1,1,0,9.03669,0.751915
-8.1216,0.827625,0.88855,1,3,0,10.6753,0.389935
-8.2306,0.977484,0.88855,1,1,0,8.31984,0.375551
-7.58534,0.991048,0.88855,1,3,0,8.24837,0.528662
-7.92147,0.95816,0.88855,2,3,0,7.93369,0.665934
-7.74905,1,0.88855,2,3,0,7.89243,0.631385
-7.69315,1,0.88855,1,1,0,7.74923,0.616163
-7.58113,0.998353,0.88855,1,3,0,7.6939,0.554998
-7.58,1,0.88855,1,1,0,7.58091,0.551811
-7.59301,0.979034,0.88855,2,3,0,7.72569,0.520358
-8.06562,0.869808,0.88855,1,3,0,8.38967,0.687734
-8.04378,0.875063,0.88855,1,3,0,9.40302,0.40122
-8.74781,0.864889,0.88855,1,1,0,8.75162,0.321508
-7.86719,0.959494,0.88855,2,3,0,9.20136,0.431403
-8.01674,0.968311,0.88855,1,1,0,8.04754,0.40538
-8.39448,0.924007,0.88855,1,1,0,8.41922,0.356303
-7.58597,0.971216,0.88855,1,3,0,8.61593,0.563013
-7.58597,0.41862,0.88855,1,3,0,11.7207,0.563013
-8.42791,0.890516,0.88855,2,3,0,8.53089,0.729316
-9.24519,0.874598,0.88855,1,1,0,9.25819,0.791692
-8.31411,1,0.88855,1,1,0,9.09073,0.717696
-8.78413,0.922394,0.88855,1,1,0,8.82355,0.760149
