# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:54:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\gbomvdnd.json
# init = 2 (Default)
# random
#   seed = 92297
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195429_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12113
# Diagonal elements of inverse mass matrix:
# 0.350382
-8.48105,0.828533,1.12113,1,1,0,8.48109,0.734402
-11.1247,0.830005,1.12113,2,3,0,11.1677,0.185859
-9.12049,1,1.12113,1,1,0,10.7662,0.291413
-8.88579,0.783069,1.12113,2,3,0,11.7975,0.309722
-8.1738,1,1.12113,2,3,0,8.75882,0.382861
-7.7061,1,1.12113,1,1,0,8.0363,0.469529
-7.84476,0.959228,1.12113,1,1,0,7.86381,0.435883
-7.90412,0.982529,1.12113,1,1,0,7.97305,0.424411
-10.3444,0.558117,1.12113,1,3,0,10.3794,0.219169
-7.66978,1,1.12113,2,3,0,10.0378,0.608632
-10.074,0.521769,1.12113,1,3,0,10.3302,0.834264
-10.5047,0.977732,1.12113,2,3,0,10.9273,0.85166
-11.6379,0.854764,1.12113,1,1,0,11.9345,0.887441
-9.27981,1,1.12113,1,1,0,11.2535,0.793783
-10.7874,0.766954,1.12113,1,1,0,10.8789,0.86179
-9.67308,1,1.12113,1,1,0,10.8049,0.815441
-8.3824,1,1.12113,1,1,0,9.41088,0.724796
-8.01284,0.910631,1.12113,2,3,0,9.39641,0.680248
-7.76645,1,1.12113,2,3,0,7.9639,0.635558
-7.60941,1,1.12113,1,3,0,7.72087,0.582203
-7.72349,0.963167,1.12113,1,3,0,7.8112,0.464512
-7.78131,0.888732,1.12113,2,3,0,8.34913,0.449746
-7.69478,1,1.12113,2,3,0,7.77697,0.472986
-8.07737,0.892033,1.12113,1,1,0,8.08003,0.39623
-7.80638,0.876334,1.12113,2,3,0,8.95775,0.44403
-7.60467,1,1.12113,1,3,0,7.74608,0.511401
-7.66964,0.976806,1.12113,1,3,0,7.73659,0.608584
-7.60223,1,1.12113,1,1,0,7.65056,0.577584
-7.58126,0.991239,1.12113,2,3,0,7.6521,0.535583
-7.70191,0.974339,1.12113,2,3,0,7.74429,0.618775
-7.66636,0.95651,1.12113,2,3,0,7.99172,0.607448
-7.66636,0.132333,1.12113,1,3,0,13.7456,0.607448
-8.77746,0.76647,1.12113,1,3,0,8.82075,0.759633
-8.24891,1,1.12113,1,1,0,8.73239,0.710522
-8.05424,1,1.12113,2,3,0,8.29084,0.686162
-8.29275,0.980372,1.12113,2,3,0,8.37683,0.71539
-8.20943,1,1.12113,1,1,0,8.4239,0.705966
-9.0963,0.937505,1.12113,2,3,0,9.12928,0.782301
-8.25053,1,1.12113,1,1,0,8.9423,0.710705
-7.90361,1,1.12113,1,1,0,8.19552,0.66289
-8.31766,0.965901,1.12113,2,3,0,8.34651,0.718076
-7.88032,1,1.12113,2,3,0,8.19795,0.428867
-7.90987,0.932245,1.12113,2,3,0,8.43552,0.663968
-7.65956,1,1.12113,1,1,0,7.8402,0.605019
-7.60334,1,1.12113,1,1,0,7.64437,0.57834
-8.61873,0.739349,1.12113,1,3,0,8.89719,0.333359
-7.84418,1,1.12113,2,3,0,8.44213,0.65203
-7.67178,1,1.12113,1,1,0,7.80166,0.609312
-7.67194,0.999954,1.12113,1,1,0,7.69907,0.609367
-7.81709,0.904772,1.12113,2,3,0,8.26654,0.441689
-7.90017,0.975591,1.12113,1,1,0,7.95715,0.425139
-7.87265,1,1.12113,1,1,0,7.97489,0.430341
-8.02313,0.95663,1.12113,1,1,0,8.0858,0.404384
-7.85711,1,1.12113,1,1,0,8.03037,0.433392
-7.67476,1,1.12113,1,1,0,7.81053,0.479547
-9.50345,0.531499,1.12113,1,3,0,10.3769,0.806541
-7.70734,1,1.12113,1,3,0,9.1266,0.620346
-7.7893,0.977119,1.12113,1,1,0,7.8126,0.640733
-7.58847,0.793843,1.12113,2,3,0,9.04294,0.524859
-7.61997,0.990521,1.12113,1,1,0,7.6202,0.502389
-7.84567,0.829553,1.12113,2,3,0,8.5479,0.652318
-7.63155,1,1.12113,1,1,0,7.78435,0.593677
-7.59779,0.795653,1.12113,2,3,0,8.79021,0.574351
-7.59302,1,1.12113,1,1,0,7.59967,0.57041
-7.60549,0.905372,1.12113,2,3,0,8.09339,0.579759
-7.70428,0.885344,1.12113,2,3,0,8.23637,0.470074
-7.98706,0.910311,1.12113,2,3,0,8.31805,0.6764
-7.98014,1,1.12113,1,1,0,8.09599,0.675344
-8.24878,0.882491,1.12113,1,3,0,9.03764,0.373287
-8.24878,0.689199,1.12113,1,1,0,9.30625,0.373287
-7.64427,0.975135,1.12113,1,3,0,8.35279,0.599137
-7.5978,1,1.12113,1,1,0,7.63147,0.574357
-7.57924,0.999719,1.12113,1,3,0,7.59594,0.542987
-7.57914,0.999987,1.12113,1,3,0,7.5793,0.546692
-7.61098,0.991722,1.12113,1,3,0,7.61468,0.583132
-8.13712,0.907141,1.12113,2,3,0,8.27479,0.387794
