# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:56:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\wd36dszj.json
# init = 2 (Default)
# random
#   seed = 79086
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195609_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.00672
# Diagonal elements of inverse mass matrix:
# 0.330956
-8.2888,1,1.00672,2,3,0,8.44868,0.368425
-7.79788,0.871921,1.00672,2,3,0,9.62381,0.642597
-7.59345,1,1.00672,2,3,0,7.75515,0.519962
-7.90111,0.910717,1.00672,1,3,0,8.11469,0.662456
-8.11879,0.985667,1.00672,2,3,0,8.14287,0.694809
-7.58475,1,1.00672,2,3,0,8.09458,0.561372
-7.57976,0.991183,1.00672,2,3,0,7.64458,0.540009
-7.75874,0.95452,1.00672,1,3,0,7.83423,0.633736
-7.72272,0.979032,1.00672,2,3,0,7.99725,0.62461
-8.04686,0.932171,1.00672,2,3,0,8.35918,0.68513
-8.10167,0.989219,1.00672,1,1,0,8.18516,0.692577
-8.95222,0.951411,1.00672,2,3,0,8.95233,0.772532
-7.68586,1,1.00672,2,3,0,8.68052,0.47583
-7.74093,0.987433,1.00672,1,1,0,7.75398,0.459783
-7.65237,1,1.00672,1,1,0,7.72367,0.487773
-7.77287,0.972673,1.00672,1,1,0,7.77406,0.451751
-7.6024,1,1.00672,2,3,0,7.7351,0.577701
-7.87508,0.918675,1.00672,1,3,0,8.09317,0.429871
-7.88369,0.952773,1.00672,2,3,0,8.40782,0.428224
-7.88887,1,1.00672,2,7,0,7.88899,0.660308
-7.58691,0.996584,1.00672,1,3,0,7.87696,0.564161
