# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:56:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\wd36dszj.json
# init = 2 (Default)
# random
#   seed = 79086
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195609_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.916713
# Diagonal elements of inverse mass matrix:
# 0.433446
-10.3123,0.737671,0.916713,1,1,0,10.3454,0.220711
-7.70607,0.937649,0.916713,1,3,0,11.2275,0.61998
-7.9497,0.945256,0.916713,1,1,0,7.95089,0.670567
-7.89742,1,0.916713,1,1,0,7.99933,0.661813
-7.78498,1,0.916713,1,1,0,7.89722,0.639777
-7.77793,0.951859,0.916713,1,3,0,8.24406,0.450543
-7.80841,0.992483,0.916713,1,1,0,7.85089,0.443584
-7.64957,0.975572,0.916713,2,3,0,8.01442,0.488884
-8.47286,0.844519,0.916713,2,3,0,8.93707,0.347896
-7.58679,0.996014,0.916713,1,3,0,8.40695,0.526801
-7.60624,0.928827,0.916713,2,3,0,8.02746,0.580237
-7.61549,0.90309,0.916713,2,3,0,8.26026,0.504817
-7.61227,0.944469,0.916713,2,3,0,7.98478,0.583885
-7.68708,0.982103,0.916713,1,1,0,7.68726,0.614292
-7.71439,0.965755,0.916713,1,3,0,7.9804,0.467097
-7.59106,0.992486,0.916713,2,3,0,7.76896,0.522179
-7.82992,0.930108,0.916713,1,3,0,7.96958,0.649228
-7.58677,1,0.916713,2,3,0,7.79026,0.526825
-7.75186,0.964715,0.916713,1,3,0,7.76634,0.45695
-7.8065,0.938071,0.916713,1,3,0,8.2509,0.64443
