# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:57:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\shdwrenj.json
# init = 2 (Default)
# random
#   seed = 86087
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195717_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.861894
# Diagonal elements of inverse mass matrix:
# 0.394205
-7.58819,0.899961,0.861894,2,3,0,8.81678,0.565641
-7.63462,0.981009,0.861894,2,3,0,7.73944,0.495248
-8.05962,0.9494,0.861894,2,7,0,8.06324,0.686908
-7.57932,0.982881,0.861894,1,3,0,8.21675,0.542304
-7.70818,0.969156,0.861894,1,3,0,7.77745,0.620587
-7.69837,0.95682,0.861894,1,3,0,8.10192,0.471871
-7.98167,0.947404,0.861894,2,3,0,8.21222,0.410992
-7.654,0.764325,0.861894,2,3,0,10.1839,0.487135
-7.86246,0.915122,0.861894,1,3,0,8.31979,0.655503
-7.70545,1,0.861894,1,1,0,7.83396,0.619802
-7.78202,0.995233,0.861894,2,3,0,7.78992,0.639117
-7.58555,0.996232,0.861894,1,3,0,7.79204,0.562464
-7.58405,0.997656,0.861894,2,7,0,7.60284,0.530501
-7.604,0.992124,0.861894,1,3,0,7.6384,0.578781
-7.76148,0.981791,0.861894,2,7,0,7.7627,0.454532
-7.58149,0.92343,0.861894,2,3,0,8.40379,0.555809
-7.64087,0.947046,0.861894,2,3,0,7.97752,0.597736
-7.77524,0.93875,0.861894,1,3,0,8.10594,0.451184
-7.59522,1,0.861894,2,7,0,7.73955,0.572306
-7.61572,0.987703,0.861894,1,3,0,7.68878,0.50469
-7.62493,0.983361,0.861894,1,3,0,7.75394,0.590561
-7.60277,0.988802,0.861894,1,3,0,7.72062,0.512698
-7.5854,0.995769,0.861894,1,3,0,7.63621,0.562272
-7.87631,0.94336,0.861894,1,3,0,7.96113,0.658051
-8.30964,0.975583,0.861894,2,3,0,8.30964,0.717217
-7.73895,0.91415,0.861894,1,3,0,9.28857,0.460305
-7.58591,0.987158,0.861894,1,3,0,7.83771,0.56293
-7.91007,0.936863,0.861894,1,3,0,8.00612,0.664002
-9.48495,0.57893,0.861894,1,3,0,12.1297,0.266435
-9.48495,0.93189,0.861894,1,1,0,10.0854,0.266435
-7.79535,0.99575,0.861894,2,7,0,9.36023,0.446502
-8.84725,0.650331,0.861894,1,3,0,10.6984,0.764935
-9.04501,0.990774,0.861894,2,3,0,9.19524,0.778905
-8.43788,0.962175,0.861894,2,3,0,9.78335,0.730286
-8.24433,1,0.861894,1,1,0,8.47268,0.710002
-7.89273,1,0.861894,1,1,0,8.18505,0.660991
-7.9134,0.896003,0.861894,1,3,0,8.95659,0.422722
-7.65895,1,0.861894,2,7,0,7.87674,0.604796
-7.68479,0.995056,0.861894,1,1,0,7.69385,0.613572
-7.57951,1,0.861894,2,3,0,7.66758,0.54114
-7.63573,0.966091,0.861894,2,3,0,7.82948,0.595537
-7.98509,0.960737,0.861894,2,7,0,7.98824,0.410432
-8.42035,0.973385,0.861894,2,3,0,8.42815,0.353477
-8.09484,1,0.861894,1,1,0,8.39095,0.393708
-8.25673,0.989879,0.861894,2,3,0,8.31727,0.372308
-8.09604,1,0.861894,1,1,0,8.28713,0.393537
-7.59106,1,0.861894,2,3,0,8.00332,0.568596
-7.73196,0.957527,0.861894,1,3,0,7.87911,0.462181
-7.65737,1,0.861894,1,1,0,7.7196,0.485837
-8.22017,0.81189,0.861894,1,3,0,9.00515,0.707222
-7.65072,0.950757,0.861894,1,3,0,8.84513,0.488425
-8.23217,0.925322,0.861894,2,7,0,8.29319,0.375353
-8.02819,1,0.861894,1,1,0,8.23415,0.403602
-7.66561,0.933925,0.861894,2,7,0,8.5669,0.607184
-7.61177,1,0.861894,1,1,0,7.65514,0.583594
-9.15761,0.659259,0.861894,1,3,0,10.3218,0.288692
-8.61374,1,0.861894,1,1,0,9.13342,0.333835
-8.20264,1,0.861894,2,3,0,8.57256,0.379102
-8.67324,0.891477,0.861894,2,3,0,9.52539,0.328248
-7.9479,0.998852,0.861894,2,7,0,8.63948,0.670277
-8.14359,0.966411,0.861894,1,1,0,8.16714,0.697966
-7.72661,0.823726,0.861894,2,3,0,9.97897,0.625653
-7.61913,0.979396,0.861894,1,3,0,7.94019,0.502833
-8.26386,0.812253,0.861894,1,3,0,8.93341,0.712204
-7.8452,0.872739,0.861894,2,7,0,9.51102,0.435793
-7.86114,0.999701,0.861894,2,7,0,7.86392,0.655255
-7.58101,1,0.861894,2,3,0,7.8127,0.536168
-7.79464,0.97327,0.861894,2,3,0,7.82137,0.446665
-7.6619,0.962503,0.861894,1,3,0,8.17246,0.605867
-7.67735,0.997041,0.861894,1,1,0,7.68928,0.611171
-7.80677,0.975826,0.861894,1,1,0,7.80726,0.644488
-8.46972,0.931913,0.861894,2,7,0,8.51347,0.348225
-8.68716,0.961562,0.861894,1,1,0,8.79978,0.326969
-9.10256,0.930777,0.861894,1,1,0,9.2066,0.292743
-7.90286,0.844336,0.861894,1,3,0,11.1018,0.662761
-7.65463,0.950554,0.861894,1,3,0,8.3404,0.486889
-7.58079,0.934381,0.861894,2,3,0,8.17311,0.536729
-7.58079,0.610679,0.861894,1,3,0,10.1947,0.536729
-9.44141,0.607001,0.861894,1,3,0,10.657,0.803126
-9.53475,0.988299,0.861894,1,1,0,9.79528,0.80823
-8.76512,1,0.861894,1,1,0,9.45695,0.758673
-8.5476,1,0.861894,1,1,0,8.83599,0.740503
-8.5476,0.639607,0.861894,1,3,0,13.2803,0.740503
-8.16117,1,0.861894,1,1,0,8.50648,0.700155
-7.96264,1,0.861894,1,1,0,8.15173,0.672624
-8.65228,0.930176,0.861894,2,7,0,8.75798,0.330195
-7.62191,0.988148,0.861894,1,3,0,8.67085,0.501375
-7.67324,0.989721,0.861894,1,1,0,7.67393,0.48007
-8.24748,0.80166,0.861894,1,3,0,9.11134,0.71036
-7.9555,1,0.861894,1,1,0,8.20883,0.671494
-7.65387,0.943487,0.861894,2,7,0,8.42575,0.487186
-9.04255,0.843094,0.861894,2,7,0,9.04385,0.77874
-7.99074,0.981431,0.861894,2,3,0,9.33966,0.676958
-7.81253,1,0.861894,1,1,0,7.96735,0.645691
-8.10381,0.948946,0.861894,1,1,0,8.1048,0.692859
-7.79594,1,0.861894,1,1,0,8.04833,0.642179
-7.82341,0.998316,0.861894,2,3,0,7.85686,0.64792
-8.51113,0.905054,0.861894,2,3,0,8.85565,0.737194
-8.23525,1,0.861894,1,1,0,8.51452,0.708964
-7.64448,1,0.861894,2,7,0,8.12434,0.490967
-7.65503,0.971872,0.861894,1,3,0,7.87917,0.603343
-7.74262,0.9468,0.861894,1,3,0,8.07879,0.459338
-7.70412,0.749345,0.861894,3,7,0,9.68497,0.470122
-7.70412,0.909528,0.861894,1,3,0,8.36702,0.470122
-7.58013,0.993734,0.861894,1,3,0,7.75335,0.552265
-7.86071,0.934043,0.861894,1,3,0,8.01347,0.432679
-7.69649,0.938417,0.861894,1,3,0,8.3806,0.617173
