# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:57:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\shdwrenj.json
# init = 2 (Default)
# random
#   seed = 86087
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195717_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.21574
# Diagonal elements of inverse mass matrix:
# 0.308414
-7.57914,0.71964,1.21574,2,3,0,9.46046,0.546704
-7.6514,0.835542,1.21574,2,3,0,8.41689,0.488157
-7.68902,0.921055,1.21574,2,3,0,8.03831,0.47481
-8.14155,0.72917,1.21574,2,3,0,9.23863,0.69771
-7.86763,1,1.21574,1,1,0,8.10701,0.656462
-7.59033,0.990078,1.21574,1,3,0,7.86382,0.522909
-8.00965,0.913585,1.21574,2,3,0,8.14437,0.679779
-7.60068,1,1.21574,1,3,0,7.89977,0.576494
-7.70076,0.968938,1.21574,1,3,0,7.76271,0.471139
-7.58997,0.804307,1.21574,2,3,0,8.72885,0.567523
-7.58044,0.997888,1.21574,2,3,0,7.60183,0.537689
-8.5363,0.765508,1.21574,1,3,0,8.63273,0.34141
-7.60804,1,1.21574,1,3,0,8.28354,0.509227
-8.35024,0.797136,1.21574,1,3,0,8.5963,0.721501
-7.78923,1,1.21574,1,1,0,8.20043,0.640717
-7.57915,0.673774,1.21574,2,3,0,9.7933,0.54399
-7.71706,0.963375,1.21574,1,3,0,7.73605,0.62307
-8.07093,0.903893,1.21574,1,1,0,8.07603,0.688461
-7.59742,1,1.21574,1,3,0,7.94907,0.574068
-7.59742,0.314273,1.21574,1,3,0,10.8299,0.574068
-7.63659,0.873235,1.21574,2,3,0,8.2475,0.595914
-8.64126,0.776772,1.21574,1,3,0,8.68232,0.748634
-7.94767,1,1.21574,1,1,0,8.47737,0.670241
-7.80971,1,1.21574,1,1,0,7.95307,0.645104
-8.08482,0.974437,1.21574,2,3,0,8.08557,0.39515
-8.62909,0.853479,1.21574,1,1,0,8.70465,0.332375
-7.6029,1,1.21574,1,3,0,8.35899,0.512602
-7.86248,0.952511,1.21574,2,3,0,7.91955,0.655505
-8.30644,0.853794,1.21574,1,3,0,8.91071,0.366332
-8.72791,0.504604,1.21574,2,3,0,11.6281,0.755736
-9.21065,0.898852,1.21574,1,1,0,9.40334,0.789573
-9.36465,0.96893,1.21574,1,1,0,9.73213,0.798771
-9.36465,0.682048,1.21574,1,1,0,11.2417,0.798771
-7.78523,1,1.21574,1,3,0,8.973,0.639833
-9.83087,0.607366,1.21574,1,3,0,9.90916,0.823193
-8.61439,1,1.21574,1,1,0,9.63066,0.746352
-9.59669,0.806858,1.21574,1,1,0,9.68668,0.811509
-9.78419,0.965346,1.21574,1,1,0,10.2164,0.820949
-7.60361,0.964603,1.21574,1,3,0,9.72513,0.512115
-7.58712,0.911301,1.21574,2,3,0,8.03555,0.526401
-7.58712,0.69033,1.21574,1,3,0,8.70955,0.526401
-7.58132,0.999148,1.21574,2,3,0,7.59105,0.555447
-7.605,0.962173,1.21574,2,3,0,7.76507,0.57944
-7.71591,0.967058,1.21574,1,1,0,7.7161,0.622755
-7.60244,0.975489,1.21574,2,3,0,7.87789,0.577725
-7.65185,0.985102,1.21574,1,1,0,7.65371,0.602134
-7.97818,0.953369,1.21574,2,3,0,8.02459,0.411565
-7.70645,1,1.21574,2,3,0,7.9052,0.469424
-8.15697,0.75841,1.21574,2,3,0,9.10279,0.699636
-7.61387,0.977259,1.21574,1,3,0,8.18731,0.505734
-7.71021,0.970282,1.21574,1,1,0,7.71229,0.468314
-7.68985,1,1.21574,1,1,0,7.73495,0.474545
-7.58276,0.9978,1.21574,2,3,0,7.70214,0.558269
