# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:57:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\yjce707i.json
# init = 2 (Default)
# random
#   seed = 29565
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195739_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.937377
# Diagonal elements of inverse mass matrix:
# 0.432437
-7.68472,0.970388,0.937377,1,3,0,7.75748,0.476203
-7.66329,1,0.937377,1,1,0,7.69654,0.483622
-7.61242,0.716263,0.937377,2,3,0,9.68809,0.583966
-7.66332,0.977101,0.937377,1,3,0,7.76314,0.48361
-7.66332,0.944076,0.937377,1,3,0,7.89815,0.48361
-8.43801,0.762628,0.937377,1,3,0,9.03832,0.730299
-8.15392,1,0.937377,1,1,0,8.44932,0.699258
-7.59317,0.984169,0.937377,1,3,0,8.25673,0.520211
-7.59013,0.997079,0.937377,1,3,0,7.61781,0.567677
-7.59431,0.99618,0.937377,1,3,0,7.62034,0.519208
-7.73139,0.750836,0.937377,2,3,0,9.18238,0.626908
-7.81355,0.993437,0.937377,2,3,0,7.83505,0.645901
-7.92788,0.937076,0.937377,2,3,0,8.43282,0.667004
-7.78953,1,0.937377,1,1,0,7.9202,0.640783
-7.76536,0.920808,0.937377,2,3,0,8.48219,0.453574
-8.24533,0.884817,0.937377,1,1,0,8.24642,0.373714
-9.71092,0.714064,0.937377,1,1,0,9.71342,0.252632
-7.58767,0.984634,0.937377,1,3,0,9.82991,0.565054
-7.58288,0.978238,0.937377,2,3,0,7.7204,0.53238
-8.1251,0.899616,0.937377,2,3,0,8.33325,0.389449
-7.78067,1,0.937377,1,1,0,8.04506,0.449896
-8.15148,0.840686,0.937377,1,3,0,8.83861,0.698953
-7.95172,1,0.937377,1,1,0,8.15418,0.670891
-7.95172,0.799858,0.937377,1,3,0,9.11773,0.670891
-7.68024,1,0.937377,1,1,0,7.88588,0.612115
-7.68024,0.771582,0.937377,1,3,0,8.71282,0.612115
-9.45516,0.668695,0.937377,1,3,0,9.68122,0.80389
-9.38007,1,0.937377,1,1,0,9.78961,0.799658
-8.84278,1,0.937377,1,1,0,9.42307,0.764602
-8.01401,1,0.937377,1,1,0,8.66698,0.68042
