# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:57:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\yjce707i.json
# init = 2 (Default)
# random
#   seed = 29565
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195739_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.942009
# Diagonal elements of inverse mass matrix:
# 0.422531
-7.76271,1,0.942009,1,1,0,7.86816,0.454227
-7.70561,1,0.942009,1,1,0,7.76924,0.469674
-7.7206,0.962017,0.942009,2,3,0,8.03058,0.624037
-7.8562,0.968183,0.942009,1,1,0,7.86776,0.654327
-7.85814,0.999546,0.942009,1,1,0,7.92485,0.654694
-7.87695,0.995636,0.942009,1,1,0,7.93976,0.658168
-7.65579,0.999337,0.942009,1,3,0,7.82338,0.603625
-7.69782,0.989741,0.942009,1,1,0,7.70864,0.617569
-9.15638,0.735192,0.942009,1,3,0,9.2984,0.786171
-7.57915,1,0.942009,2,3,0,8.97458,0.546971
-7.71527,0.965692,0.942009,1,3,0,7.74905,0.466842
-7.59782,0.990629,0.942009,1,3,0,7.78327,0.574378
-7.57964,0.999417,0.942009,1,3,0,7.60117,0.540541
-7.70301,0.967651,0.942009,1,3,0,7.74216,0.619097
-7.77649,0.982447,0.942009,1,1,0,7.79267,0.637871
-7.67329,0.972328,0.942009,1,3,0,8.02162,0.480056
-8.68635,0.515651,0.942009,2,3,0,11.097,0.752378
-7.75671,1,0.942009,2,3,0,8.46568,0.455722
-7.63906,1,0.942009,2,3,0,7.72802,0.493278
-7.63906,0.975001,0.942009,1,1,0,7.71473,0.493278
-7.58278,1,0.942009,2,3,0,7.62952,0.558306
-7.86639,0.957145,0.942009,2,3,0,7.9167,0.431561
-7.86639,0.759434,0.942009,1,3,0,9.30691,0.431561
-7.97221,0.912773,0.942009,2,3,0,8.66461,0.41255
-7.58082,0.994021,0.942009,2,3,0,8.00819,0.536636
-7.67133,0.986513,0.942009,2,3,0,7.68404,0.60916
-7.57927,0.9992,0.942009,1,3,0,7.67429,0.542679
-7.5947,0.996963,0.942009,2,3,0,7.60111,0.518867
-7.664,0.992957,0.942009,2,3,0,7.66461,0.606617
-7.61065,1,0.942009,1,1,0,7.65175,0.582936
-7.64356,0.991821,0.942009,1,1,0,7.64618,0.598849
-7.63469,0.963642,0.942009,2,3,0,7.91096,0.495216
-8.24187,0.879716,0.942009,1,3,0,8.26878,0.374143
-7.59854,1,0.942009,1,3,0,8.14271,0.515772
-7.73487,0.97314,0.942009,1,3,0,7.73751,0.461394
-8.14836,0.900646,0.942009,1,1,0,8.1489,0.386263
-7.58033,0.996341,0.942009,1,3,0,8.16131,0.552882
-7.64266,0.987826,0.942009,2,3,0,7.66912,0.598481
-7.64266,0.685824,0.942009,1,3,0,9.11133,0.598481
-7.64896,0.999481,0.942009,2,3,0,7.66339,0.601011
-7.80225,0.938895,0.942009,1,3,0,8.04144,0.444948
-8.11161,0.781412,0.942009,2,3,0,9.30673,0.693878
-7.81455,1,0.942009,2,3,0,8.05418,0.646109
-8.01637,0.954444,0.942009,1,1,0,8.03678,0.680765
-7.58403,1,0.942009,2,3,0,7.96401,0.530522
-7.57926,0.999841,0.942009,1,3,0,7.58496,0.548141
-7.5792,0.974392,0.942009,2,3,0,7.732,0.547509
-7.58303,0.99943,0.942009,2,3,0,7.58358,0.532124
-7.5821,0.999188,0.942009,1,3,0,7.58993,0.557056
-7.5816,0.998941,0.942009,2,3,0,7.59034,0.534823
-8.94716,0.672623,0.942009,1,3,0,9.44919,0.772175
-8.4176,1,0.942009,1,1,0,8.91652,0.728306
-8.21993,1,0.942009,1,1,0,8.47551,0.707194
-8.75227,0.897205,0.942009,1,1,0,8.79523,0.757666
-8.66161,1,0.942009,1,1,0,8.94628,0.750337
-9.30969,0.888513,0.942009,1,1,0,9.39804,0.795562
-7.74948,0.930402,0.942009,2,3,0,10.1716,0.457559
-7.84418,0.976146,0.942009,1,1,0,7.86975,0.436001
-8.47239,0.855821,0.942009,1,1,0,8.47418,0.347945
-8.98081,0.891045,0.942009,1,1,0,9.09492,0.302066
-7.76245,1,0.942009,2,3,0,8.71858,0.634618
-8.92167,0.808307,0.942009,1,3,0,8.97211,0.770365
-9.88692,0.949981,0.942009,2,3,0,9.95881,0.825835
-10.0423,0.977568,0.942009,1,1,0,10.4355,0.832877
-10.6414,0.973973,0.942009,2,3,0,10.9236,0.856677
-11.6538,0.889331,0.942009,1,1,0,11.8947,0.887864
-7.79651,1,0.942009,2,3,0,11.3756,0.642302
-8.21562,0.90844,0.942009,1,1,0,8.2176,0.706692
-7.83523,1,0.942009,1,1,0,8.13645,0.650282
-8.19206,0.844292,0.942009,1,3,0,8.97779,0.38047
