# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:58:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\ixcvsyyw.json
# init = 2 (Default)
# random
#   seed = 71020
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195806_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.19247
# Diagonal elements of inverse mass matrix:
# 0.381567
-7.58372,0.96339,1.19247,2,3,0,7.75556,0.559857
-7.83025,0.934485,1.19247,1,3,0,7.8342,0.649293
-7.76767,0.801674,1.19247,2,3,0,8.7271,0.635842
-8.09352,0.896697,1.19247,1,1,0,8.12542,0.6915
-8.46017,0.893608,1.19247,1,1,0,8.57836,0.732428
-7.81675,1,1.19247,1,1,0,8.27443,0.646561
-8.31277,0.938547,1.19247,2,3,0,8.34437,0.717553
-7.6517,0.969309,1.19247,2,3,0,8.27719,0.488035
-7.86352,0.924452,1.19247,1,1,0,7.87526,0.432124
-7.63589,1,1.19247,1,1,0,7.78587,0.494676
-7.82305,0.628509,1.19247,2,3,0,9.35987,0.44041
-7.82305,0.64022,1.19247,1,1,0,8.66034,0.44041
-7.82305,0.505305,1.19247,1,1,0,9.1226,0.44041
-8.17639,0.879985,1.19247,1,1,0,8.23255,0.38252
-7.62502,1,1.19247,1,1,0,7.97278,0.499799
-7.73412,0.978375,1.19247,2,3,0,7.76765,0.62762
-8.45365,0.788521,1.19247,1,1,0,8.45874,0.731805
-8.0822,1,1.19247,1,1,0,8.45384,0.689987
-7.57963,0.954883,1.19247,2,3,0,8.23372,0.540564
-7.61317,0.990733,1.19247,1,3,0,7.61357,0.506136
