# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:58:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\ixcvsyyw.json
# init = 2 (Default)
# random
#   seed = 71020
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195806_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.11531
# Diagonal elements of inverse mass matrix:
# 0.366978
-7.85685,0.926501,1.11531,1,3,0,7.89467,0.433445
-7.93704,0.975681,1.11531,1,1,0,8.00976,0.418526
-8.28955,0.966535,1.11531,2,3,0,8.34961,0.368335
-8.23633,1,1.11531,1,1,0,8.46429,0.374833
-7.68741,1,1.11531,1,1,0,8.06718,0.47533
-7.90675,0.934056,1.11531,1,1,0,7.9171,0.42393
-7.7167,1,1.11531,1,1,0,7.86713,0.466432
-7.61829,1,1.11531,1,1,0,7.68867,0.503282
-7.59413,1,1.11531,2,3,0,7.6126,0.519363
-7.5821,1,1.11531,1,1,0,7.59043,0.53381
-7.59744,0.957117,1.11531,2,3,0,7.78677,0.516624
-8.23643,0.778926,1.11531,2,3,0,8.8461,0.374821
-7.67245,1,1.11531,2,3,0,8.16688,0.60954
-7.66963,1,1.11531,1,1,0,7.69856,0.608578
-9.21093,0.673375,1.11531,1,3,0,9.28969,0.78959
-9.21093,0.786061,1.11531,1,1,0,10.3846,0.78959
-9.81622,0.887611,1.11531,1,1,0,10.0735,0.822493
-8.71585,1,1.11531,1,1,0,9.67266,0.75477
-7.6237,1,1.11531,1,3,0,8.45686,0.589956
-8.44709,0.847073,1.11531,2,3,0,8.70704,0.35061
-8.4473,0.999942,1.11531,1,1,0,8.70938,0.350588
