# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:58:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\9ndgxf9q.json
# init = 2 (Default)
# random
#   seed = 58991
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195836_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01682
# Diagonal elements of inverse mass matrix:
# 0.341272
-8.11435,0.94405,1.01682,2,3,0,9.11124,0.694234
-8.05369,0.946198,1.01682,2,3,0,8.83459,0.686085
-7.84147,0.909074,1.01682,2,7,0,8.80756,0.436556
-7.74988,0.92384,1.01682,2,3,0,8.52765,0.63159
-8.00122,0.946018,1.01682,1,1,0,8.0048,0.67853
-7.78966,1,1.01682,1,1,0,7.96643,0.640812
-8.78536,0.917925,1.01682,2,3,0,8.78624,0.318216
-7.66729,1,1.01682,2,3,0,8.56218,0.60777
-7.62569,1,1.01682,2,3,0,7.66124,0.59093
-7.7432,0.952707,1.01682,1,3,0,7.93097,0.459185
-8.58958,0.713616,1.01682,1,3,0,9.60344,0.744209
-8.8603,0.952491,1.01682,1,1,0,8.99689,0.765904
-7.68929,0.988935,1.01682,1,3,0,8.71781,0.614979
-7.75667,0.984761,1.01682,1,1,0,7.7688,0.63324
-8.12765,0.921966,1.01682,1,1,0,8.12779,0.695946
-8.87926,0.689645,1.01682,2,7,0,10.8208,0.310261
-7.98165,1,1.01682,1,1,0,8.67597,0.410995
-8.5875,0.870566,1.01682,1,1,0,8.598,0.336362
-8.26036,1,1.01682,1,1,0,8.60366,0.371863
-8.28967,0.997797,1.01682,2,3,0,8.44265,0.368321
-7.59963,0.972086,1.01682,1,3,0,8.47493,0.57573
-7.73414,0.986233,1.01682,2,3,0,7.7357,0.461592
-9.23938,0.743651,1.01682,1,3,0,9.34024,0.28285
-10.6279,0.776894,1.01682,1,1,0,10.71,0.206209
-8.60929,1,1.01682,2,7,0,10.3753,0.745915
-8.42448,1,1.01682,2,3,0,8.70338,0.728981
-7.68688,0.994834,1.01682,1,3,0,8.30004,0.61423
-9.02642,0.860947,1.01682,2,3,0,9.06379,0.298513
-9.80275,0.860451,1.01682,1,1,0,9.94792,0.247335
-8.89027,1,1.01682,1,1,0,9.72591,0.309353
-7.63632,0.99505,1.01682,1,3,0,8.73366,0.494483
-7.57944,0.99882,1.01682,1,3,0,7.64349,0.549372
-7.59843,0.995749,1.01682,1,3,0,7.60149,0.57484
-7.60833,0.997659,1.01682,1,1,0,7.6109,0.581545
-7.93136,0.903694,1.01682,1,3,0,8.16894,0.419521
-7.88355,1,1.01682,1,1,0,7.98172,0.428252
-7.58051,0.994086,1.01682,1,3,0,7.91796,0.553406
-7.58051,0.300257,1.01682,1,3,0,12.3888,0.553406
-7.7755,0.972512,1.01682,2,3,0,7.80336,0.451122
-7.84513,0.912172,1.01682,2,7,0,8.38585,0.652212
-7.58069,0.993893,1.01682,1,3,0,7.88592,0.536991
-7.58705,0.999394,1.01682,2,3,0,7.58705,0.564334
-7.62479,0.993445,1.01682,1,3,0,7.62535,0.590491
-7.61958,0.804895,1.01682,2,3,0,9.05409,0.587871
-7.61935,1,1.01682,1,1,0,7.62901,0.587749
-7.63215,0.999,1.01682,2,3,0,7.63879,0.593947
-7.65503,0.978828,1.01682,1,3,0,7.7996,0.486736
-8.07017,0.954995,1.01682,2,3,0,8.07073,0.688356
-7.85768,1,1.01682,2,3,0,8.04639,0.654606
-7.58045,0.993946,1.01682,1,3,0,7.89793,0.537641
-7.59616,0.944878,1.01682,2,3,0,7.92859,0.573072
-7.72553,0.986297,1.01682,2,3,0,7.72773,0.463945
-7.70175,0.957496,1.01682,2,7,0,8.03704,0.61873
-7.7738,0.909365,1.01682,2,3,0,8.44947,0.451528
-7.70249,1,1.01682,1,1,0,7.77236,0.470614
-7.65494,1,1.01682,2,3,0,7.70016,0.486769
-7.64174,0.985594,1.01682,2,3,0,7.79059,0.492121
-7.5792,0.999926,1.01682,2,3,0,7.64229,0.543365
-7.6053,0.995706,1.01682,2,3,0,7.61237,0.510985
-7.60562,0.992705,1.01682,1,3,0,7.66896,0.579839
-8.42561,0.787872,1.01682,1,3,0,8.86165,0.352909
-8.46301,0.745445,1.01682,1,3,0,10.6816,0.732698
-9.86414,0.784215,1.01682,1,1,0,9.86415,0.824768
-7.98364,0.998219,1.01682,2,7,0,9.47125,0.410669
-10.3146,0.721003,1.01682,2,7,0,10.4183,0.220601
-11.5297,0.82924,1.01682,1,1,0,11.7692,0.171154
-7.57911,1,1.01682,2,3,0,10.9499,0.545041
-7.87246,0.928156,1.01682,1,3,0,7.96367,0.65735
-7.58885,0.987606,1.01682,1,3,0,7.9616,0.524442
-8.0662,0.870378,1.01682,1,3,0,8.31119,0.687814
-8.14469,0.98392,1.01682,1,1,0,8.23176,0.698105
-8.41761,0.947114,1.01682,1,1,0,8.47838,0.728307
-8.20006,1,1.01682,1,1,0,8.45584,0.704859
-7.57912,0.99231,1.01682,1,3,0,8.24703,0.546256
-7.57918,0.999988,1.01682,1,3,0,7.57919,0.547383
-7.63168,0.86187,1.01682,2,3,0,8.4863,0.593734
-7.64487,0.982216,1.01682,2,3,0,7.79157,0.490804
-7.91725,0.934887,1.01682,2,3,0,8.1766,0.422028
-8.39808,0.894499,1.01682,1,1,0,8.40934,0.355907
-8.58916,0.958885,1.01682,1,1,0,8.73336,0.3362
-7.57937,1,1.01682,2,3,0,8.51509,0.548956
-7.59756,0.851121,1.01682,2,3,0,8.58957,0.51653
-7.87875,0.943499,1.01682,1,3,0,7.90115,0.429166
-7.89357,0.998829,1.01682,2,3,0,7.96195,0.426365
-8.16274,0.83304,1.01682,1,3,0,9.17467,0.700349
-8.63631,0.911643,1.01682,1,1,0,8.66963,0.748217
-8.51143,1,1.01682,1,1,0,8.77308,0.737222
-8.15534,1,1.01682,1,1,0,8.48977,0.699434
-8.65809,0.879063,1.01682,2,3,0,9.56034,0.750044
-8.1092,1,1.01682,2,3,0,8.5687,0.693564
-7.82042,1,1.01682,1,1,0,8.05545,0.647313
-7.84695,0.931501,1.01682,1,3,0,8.452,0.435437
-7.74672,1,1.01682,1,1,0,7.84369,0.45827
-7.59492,0.988086,1.01682,1,3,0,7.82841,0.572052
-7.58015,0.999947,1.01682,1,3,0,7.59254,0.55231
-7.76757,0.95658,1.01682,1,3,0,7.80943,0.635819
-9.19993,0.695547,1.01682,2,3,0,10.5324,0.285644
-8.47953,1,1.01682,1,1,0,9.11567,0.347202
-8.54136,0.98655,1.01682,1,1,0,8.73436,0.340904
-7.84291,1,1.01682,2,7,0,8.39234,0.651782
-9.01351,0.907486,1.01682,2,3,0,9.01368,0.299511
-11.4315,0.643155,1.01682,1,1,0,11.4319,0.174582
-8.01414,0.995297,1.01682,2,7,0,10.9653,0.405788
-7.60897,1,1.01682,2,3,0,7.935,0.581932
-7.60372,1,1.01682,1,1,0,7.61235,0.578598
-7.64074,0.88634,1.01682,2,3,0,8.39687,0.492553
-7.58266,0.999843,1.01682,1,3,0,7.63152,0.532778
-7.58934,0.998387,1.01682,1,1,0,7.58939,0.523929
-7.58934,0.287954,1.01682,1,3,0,12.6079,0.523929
-8.02664,0.906618,1.01682,1,3,0,8.0894,0.403841
-8.95935,0.810632,1.01682,1,1,0,8.96055,0.303765
-8.67665,1,1.01682,1,1,0,9.08076,0.327934
-7.83112,1,1.01682,2,7,0,8.49143,0.649467
-7.60763,0.998938,1.01682,1,3,0,7.78981,0.58111
-7.83846,0.957387,1.01682,1,3,0,7.85022,0.650916
-7.59899,0.984332,1.01682,1,3,0,7.95761,0.515426
