# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:58:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\9ndgxf9q.json
# init = 2 (Default)
# random
#   seed = 58991
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195836_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.917737
# Diagonal elements of inverse mass matrix:
# 0.490322
-8.38253,0.89609,0.917737,1,1,0,8.42936,0.357626
-7.95692,0.8938,0.917737,2,3,0,9.46226,0.415111
-7.58427,0.994721,0.917737,1,3,0,7.9535,0.56069
-8.60343,0.761354,0.917737,1,3,0,8.77474,0.74541
-9.07381,0.969202,0.917737,2,3,0,9.21247,0.780822
-9.00093,1,0.917737,1,1,0,9.36971,0.775915
-8.12475,1,0.917737,1,1,0,8.81798,0.695575
-7.58519,1,0.917737,1,3,0,8.0426,0.56198
-7.62678,0.994298,0.917737,2,3,0,7.63071,0.49893
-8.66082,0.715484,0.917737,1,3,0,9.1554,0.750271
-7.93902,1,0.917737,1,1,0,8.49455,0.668838
-7.58589,1,0.917737,1,3,0,7.87613,0.562906
-7.61313,0.992448,0.917737,1,1,0,7.61313,0.584372
-8.20618,0.835966,0.917737,1,3,0,8.45922,0.378648
-7.94554,1,0.917737,1,1,0,8.19295,0.417055
-7.70072,1,0.917737,2,3,0,7.87996,0.618426
-8.06242,0.878208,0.917737,1,3,0,8.4434,0.398427
-7.9054,0.933069,0.917737,1,3,0,8.72382,0.6632
-7.9054,0.805944,0.917737,1,1,0,8.59384,0.6632
-7.64427,0.968825,0.917737,2,3,0,8.15456,0.599139
-7.62257,1,0.917737,1,1,0,7.64637,0.589393
