# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:59:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\hn37ehe0.json
# init = 2 (Default)
# random
#   seed = 95387
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195911_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.880501
# Diagonal elements of inverse mass matrix:
# 0.382747
-8.21337,0.766911,0.880501,2,3,0,9.37468,0.706429
-8.2555,0.807249,0.880501,1,3,0,10.3595,0.37246
-8.27429,0.996427,0.880501,1,1,0,8.40289,0.37017
-7.90184,1,0.880501,1,1,0,8.20674,0.42483
-7.70165,1,0.880501,1,1,0,7.86154,0.470868
-7.90143,0.897963,0.880501,1,3,0,8.50829,0.662513
-7.88309,1,0.880501,1,1,0,7.95063,0.659276
-8.06073,0.968512,0.880501,1,1,0,8.07923,0.687062
-7.61833,0.968321,0.880501,2,3,0,8.45466,0.50326
-8.52955,0.84155,0.880501,1,3,0,8.71881,0.342087
-8.1581,1,0.880501,1,1,0,8.49534,0.384952
-8.34347,0.965191,0.880501,1,1,0,8.4118,0.362032
-7.93203,1,0.880501,1,1,0,8.26879,0.419404
-7.73212,1,0.880501,2,3,0,7.89348,0.462138
-7.9886,0.945887,0.880501,2,3,0,8.27012,0.409862
-7.74106,1,0.880501,1,1,0,7.93936,0.459748
-7.58578,0.997834,0.880501,1,3,0,7.73958,0.528067
-8.17741,0.790045,0.880501,2,3,0,9.1868,0.702142
-7.65518,0.997803,0.880501,2,7,0,8.13286,0.603399
-7.60338,0.985952,0.880501,1,3,0,7.77204,0.512277
-7.7682,0.942839,0.880501,1,3,0,7.98786,0.635965
-7.86802,0.981518,0.880501,1,1,0,7.88206,0.656534
-7.58802,0.896099,0.880501,2,3,0,8.79854,0.56545
-7.79982,0.941977,0.880501,1,3,0,7.97136,0.445493
-8.07972,0.945679,0.880501,1,1,0,8.08246,0.395889
-7.63669,0.944917,0.880501,1,3,0,8.53181,0.595959
-7.61558,1,0.880501,1,1,0,7.63524,0.585739
-7.59844,0.989488,0.880501,2,7,0,7.6912,0.515852
-7.68337,0.990101,0.880501,2,7,0,7.6854,0.613121
-8.12739,0.846451,0.880501,1,3,0,8.85314,0.389132
-8.37414,0.984629,0.880501,2,3,0,8.42537,0.358561
-8.68468,0.899223,0.880501,2,3,0,9.71998,0.327196
-7.84064,0.855177,0.880501,1,3,0,10.1592,0.651342
-7.58491,0.983379,0.880501,1,3,0,7.97534,0.52925
-8.40323,0.838985,0.880501,1,3,0,8.67621,0.355341
-8.01862,1,0.880501,2,3,0,8.34545,0.405087
-8.18951,0.967253,0.880501,1,1,0,8.23644,0.380801
-7.93872,1,0.880501,1,1,0,8.16167,0.418234
-7.60312,1,0.880501,2,3,0,7.87202,0.578189
-7.57964,0.989584,0.880501,2,3,0,7.68678,0.54053
-7.57964,0.50325,0.880501,1,3,0,11.1975,0.54053
-8.07877,0.894133,0.880501,1,3,0,8.2743,0.396027
-7.57962,1,0.880501,2,3,0,8.0069,0.550287
-7.72177,0.969208,0.880501,1,3,0,7.77485,0.624356
-7.71297,1,0.880501,1,1,0,7.74374,0.621938
-7.75978,0.944766,0.880501,1,3,0,8.23444,0.454954
-7.60937,0.826327,0.880501,2,3,0,9.22346,0.508397
-8.79677,0.697507,0.880501,1,3,0,9.8043,0.761121
-7.66255,1,0.880501,2,7,0,8.57998,0.483893
-7.77304,0.977787,0.880501,1,1,0,7.77398,0.451712
-7.5962,0.997472,0.880501,2,3,0,7.79637,0.517618
-7.7769,0.942403,0.880501,1,3,0,7.97751,0.637963
-7.75876,0.982724,0.880501,2,3,0,8.0091,0.633739
-7.59257,0.982819,0.880501,1,3,0,7.89678,0.52076
-7.57913,0.989731,0.880501,2,3,0,7.67108,0.546612
-7.6074,0.972656,0.880501,2,3,0,7.7817,0.509631
-7.67667,0.971063,0.880501,1,3,0,7.83432,0.610946
-7.77478,0.981339,0.880501,1,1,0,7.77709,0.637482
-7.95037,0.896951,0.880501,1,3,0,8.75685,0.416226
-8.48841,0.894452,0.880501,2,3,0,9.09023,0.346282
-9.09437,0.965805,0.880501,2,3,0,9.14176,0.293355
-8.32963,1,0.880501,1,1,0,8.9695,0.363625
-8.26407,1,0.880501,2,7,0,8.31854,0.712227
-8.38775,0.790771,0.880501,1,3,0,10.7616,0.357047
-8.34572,1,0.880501,2,7,0,8.38834,0.721032
-8.91414,0.914803,0.880501,1,1,0,8.93395,0.769825
-8.77159,1,0.880501,2,3,0,9.05202,0.759177
-7.82004,0.874391,0.880501,1,3,0,10.3061,0.441054
-7.59362,0.978714,0.880501,1,3,0,7.98344,0.570942
-8.1851,0.935317,0.880501,2,3,0,8.19464,0.381376
-8.25198,0.770607,0.880501,1,3,0,10.3406,0.710868
-7.83134,0.879128,0.880501,2,7,0,9.42305,0.438656
-7.63154,0.96742,0.880501,2,3,0,8.18219,0.593671
-7.59927,0.997274,0.880501,2,3,0,7.66114,0.575467
-7.5791,0.999435,0.880501,1,3,0,7.60399,0.545599
-8.22945,0.921121,0.880501,2,3,0,8.25957,0.708297
-7.58109,1,0.880501,2,3,0,8.11956,0.535971
-7.60323,0.997421,0.880501,2,7,0,7.60323,0.578264
-7.58024,0.977909,0.880501,2,3,0,7.77376,0.552614
-7.59261,0.982176,0.880501,2,3,0,7.71108,0.570041
-7.62257,0.996655,0.880501,2,7,0,7.62522,0.501037
-7.62774,0.999806,0.880501,2,7,0,7.62774,0.591908
-7.62137,0.984355,0.880501,1,3,0,7.76678,0.501652
-8.07106,0.858698,0.880501,1,3,0,8.58631,0.688478
-7.71284,0.821334,0.880501,2,3,0,9.87196,0.621901
-7.57988,0.996813,0.880501,1,3,0,7.73259,0.551381
-7.62443,0.994212,0.880501,2,3,0,7.63108,0.590315
-7.59175,0.991716,0.880501,2,7,0,7.68886,0.521523
-7.89781,0.964744,0.880501,2,3,0,7.89893,0.661882
-7.60809,0.967799,0.880501,1,3,0,8.16662,0.509193
-7.58187,0.95782,0.880501,2,3,0,7.92904,0.534262
-7.85273,0.876503,0.880501,2,3,0,8.50106,0.65367
-7.58379,1,0.880501,2,3,0,7.83393,0.559965
-7.93904,0.959747,0.880501,2,3,0,7.94921,0.418178
-9.71785,0.808234,0.880501,2,7,0,9.84803,0.252226
-7.83584,1,0.880501,2,7,0,9.39171,0.650402
-7.7128,1,0.880501,1,1,0,7.81642,0.621891
-7.57911,1,0.880501,2,3,0,7.69498,0.54606
-7.57929,0.999877,0.880501,2,3,0,7.58001,0.542546
-7.91388,0.959282,0.880501,2,3,0,7.9434,0.422636
-7.91388,0.620805,0.880501,2,7,0,11.177,0.422636
-7.90111,1,0.880501,2,7,0,7.91512,0.662456
-7.70867,1,0.880501,2,3,0,7.86488,0.620724
