# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:59:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\hn37ehe0.json
# init = 2 (Default)
# random
#   seed = 95387
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195911_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.729881
# Diagonal elements of inverse mass matrix:
# 0.50921
-7.76097,1,0.729881,1,1,0,7.79833,0.454658
-7.72332,1,0.729881,1,1,0,7.77084,0.46456
-7.72772,0.999184,0.729881,1,1,0,7.75321,0.463339
-7.91597,0.884407,0.729881,1,3,0,8.70487,0.665006
-7.77297,1,0.729881,1,1,0,7.89729,0.637068
-7.86745,0.983998,0.729881,1,1,0,7.87949,0.65643
-8.44311,0.772516,0.729881,1,3,0,10.184,0.351034
-9.1496,0.826038,0.729881,3,7,0,10.6315,0.78574
-7.66365,1,0.729881,2,3,0,9.01701,0.606492
-7.70101,0.956359,0.729881,1,3,0,8.05378,0.471062
-7.89899,0.778409,0.729881,2,3,0,9.72292,0.425357
-7.67489,0.937245,0.729881,1,3,0,8.46035,0.610357
-7.76014,0.985121,0.729881,1,1,0,7.76195,0.63407
-8.0632,0.863351,0.729881,1,3,0,9.07988,0.398312
-8.20557,0.975067,0.729881,1,1,0,8.25654,0.378726
-9.43759,0.839143,0.729881,2,3,0,10.1791,0.269478
-10.3843,0.876893,0.729881,1,1,0,10.462,0.217283
-10.7425,0.983942,0.729881,3,7,0,11.0245,0.860243
-8.93607,0.991059,0.729881,3,7,0,10.8958,0.771391
-7.78118,1,0.729881,3,7,0,8.73728,0.449776
-7.69646,1,0.729881,2,3,0,7.77034,0.472463
-7.65154,1,0.729881,1,1,0,7.69203,0.4881
-7.94087,0.885099,0.729881,1,3,0,8.53421,0.66914
-7.59453,0.974434,0.729881,2,3,0,8.26806,0.519018
-7.70751,0.961279,0.729881,1,3,0,7.87706,0.620393
-7.58261,0.99709,0.729881,1,3,0,7.72389,0.558011
-8.17057,0.868275,0.729881,1,3,0,8.57214,0.383289
-7.95712,1,0.729881,2,3,0,8.15435,0.415078
-8.20473,0.781123,0.729881,1,3,0,9.96615,0.705413
-7.57948,1,0.729881,2,3,0,8.10867,0.549601
-7.59402,0.994119,0.729881,2,3,0,7.62634,0.519457
-7.66496,0.924939,0.729881,2,3,0,8.20954,0.483013
-7.59324,0.998646,0.729881,2,3,0,7.67956,0.520151
-7.61922,0.98604,0.729881,1,3,0,7.70109,0.587684
-7.5806,0.996471,0.729881,1,3,0,7.64924,0.537217
-7.70814,0.985121,0.729881,2,3,0,7.7194,0.468923
-7.61989,0.97285,0.729881,1,3,0,7.94006,0.588032
-7.91145,0.907295,0.729881,1,3,0,8.34218,0.423075
-8.10275,0.966069,0.729881,1,1,0,8.12184,0.392581
-7.58185,0.986755,0.729881,1,3,0,8.22472,0.534318
-7.58001,0.9994,0.729881,1,3,0,7.58691,0.551863
-7.60972,0.992064,0.729881,1,3,0,7.6362,0.508185
-7.59701,0.990919,0.729881,1,3,0,7.68802,0.57375
-7.68766,0.971142,0.729881,1,3,0,7.84429,0.475248
-8.02381,0.901684,0.729881,3,7,0,8.54654,0.681846
-7.58255,0.956147,0.729881,2,3,0,8.52635,0.532975
-7.6594,0.986679,0.729881,1,3,0,7.67849,0.485066
-7.82555,0.91579,0.729881,1,3,0,8.32019,0.648352
-7.83494,0.908187,0.729881,1,3,0,8.74071,0.437905
-7.83847,0.999701,0.729881,2,7,0,7.84993,0.650917
-8.27008,0.803627,0.729881,1,3,0,9.73537,0.37068
-9.10019,0.956653,0.729881,2,3,0,9.10132,0.29292
-8.00203,0.995479,0.729881,2,7,0,9.0754,0.678651
-7.59377,0.991043,0.729881,1,3,0,8.05378,0.571075
-7.93231,0.941904,0.729881,1,3,0,8.02921,0.667737
-7.73175,1,0.729881,1,1,0,7.89792,0.627002
-7.72991,1,0.729881,1,1,0,7.7578,0.626522
-7.73583,0.885007,0.729881,2,3,0,8.83177,0.628059
-7.90994,0.990187,0.729881,2,3,0,7.91065,0.663979
-7.68301,0.998235,0.729881,2,7,0,7.90759,0.476766
-7.93476,0.971811,0.729881,2,7,0,7.97275,0.668141
-7.80843,1,0.729881,2,3,0,7.92515,0.644834
-8.02928,0.963661,0.729881,1,1,0,8.03156,0.682635
-7.5974,1,0.729881,2,7,0,7.95137,0.516655
-7.61641,0.952911,0.729881,2,3,0,7.98509,0.504309
-7.61641,0.843408,0.729881,1,3,0,8.6819,0.504309
-7.86974,0.919207,0.729881,1,3,0,8.26975,0.656851
-8.565,0.913525,0.729881,2,3,0,8.88595,0.742052
-8.38024,1,0.729881,1,1,0,8.61466,0.724577
-7.5994,1,0.729881,2,7,0,8.2405,0.515125
-7.60176,0.999559,0.729881,1,1,0,7.60485,0.5134
-7.76126,0.862314,0.729881,3,7,0,8.68572,0.454585
-7.74574,0.932615,0.729881,1,3,0,8.38696,0.630565
-7.65223,1,0.729881,1,1,0,7.72928,0.60228
-7.74463,0.989324,0.729881,2,7,0,7.77431,0.458812
-7.57938,0.954131,0.729881,2,3,0,8.15875,0.549025
-10.7217,0.441471,0.729881,1,3,0,13.1424,0.859519
-7.88903,0.979543,0.729881,2,3,0,11.0905,0.660335
-7.91577,0.99555,0.729881,1,1,0,7.96153,0.664972
-7.58157,0.990233,0.729881,1,3,0,7.99984,0.555981
-8.6112,0.785388,0.729881,1,3,0,9.27319,0.334078
-8.29757,1,0.729881,1,1,0,8.61046,0.367381
-7.57919,0.978904,0.729881,1,3,0,8.53654,0.543448
-7.74175,0.937624,0.729881,2,3,0,8.07117,0.629566
-7.6527,0.963182,0.729881,1,3,0,8.10167,0.487642
-7.58074,0.998393,0.729881,1,3,0,7.66197,0.536841
-7.58266,0.998718,0.729881,1,3,0,7.59093,0.558102
-7.86963,0.94451,0.729881,1,3,0,7.98443,0.656831
-8.80047,0.697068,0.729881,1,3,0,10.9354,0.31691
-7.57912,0.96735,0.729881,1,3,0,9.23626,0.544611
-7.58313,0.998166,0.729881,2,3,0,7.59347,0.558898
-7.83505,0.970703,0.729881,2,3,0,7.85445,0.650246
-7.86771,0.994496,0.729881,1,1,0,7.90288,0.656477
-8.05101,0.970153,0.729881,1,1,0,8.06187,0.685712
-7.59024,1,0.729881,2,3,0,7.96771,0.523
-7.5916,0.999747,0.729881,1,1,0,7.59327,0.521665
-7.61909,0.996867,0.729881,2,7,0,7.62344,0.587618
-7.59726,0.989972,0.729881,1,3,0,7.70721,0.516764
-7.83874,0.926515,0.729881,1,3,0,8.13189,0.650971
-7.96493,0.97911,0.729881,1,1,0,7.98049,0.672984
-7.58587,0.964315,0.729881,2,3,0,8.38017,0.52796
-7.58492,0.999434,0.729881,2,3,0,7.59314,0.529238
