# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\8zp3v5pv.json
# init = 2 (Default)
# random
#   seed = 93561
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195926_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.81779
# Diagonal elements of inverse mass matrix:
# 0.528506
-7.82974,0.995665,0.81779,2,3,0,7.86487,0.438993
-7.67286,0.962089,0.81779,1,3,0,8.12661,0.609677
-7.80867,0.969485,0.81779,1,1,0,7.81124,0.644886
-7.97602,0.964046,0.81779,1,1,0,7.99583,0.67471
-8.31134,0.9051,0.81779,2,3,0,9.00353,0.717399
-8.30805,0.998854,0.81779,2,7,0,8.31556,0.366143
-8.15833,1,0.81779,2,3,0,8.37589,0.38492
-7.74533,1,0.81779,1,1,0,8.06001,0.458631
-7.8792,0.907624,0.81779,2,7,0,8.39339,0.658575
-7.75717,0.953095,0.81779,1,3,0,8.37398,0.455607
-7.75717,0.65289,0.81779,1,3,0,9.5409,0.455607
-8.14889,0.910953,0.81779,1,1,0,8.14972,0.386192
-7.61799,0.999021,0.81779,1,3,0,8.0597,0.503444
-7.86763,0.954696,0.81779,1,3,0,7.87424,0.431318
-7.57935,0.669127,0.81779,2,3,0,10.6095,0.548815
-7.58153,0.999531,0.81779,2,3,0,7.58296,0.555901
-7.58064,1,0.81779,1,1,0,7.58151,0.55378
-9.18213,0.787396,0.81779,2,3,0,9.36096,0.787796
-8.54729,1,0.81779,2,3,0,9.13102,0.740475
-8.42976,0.79348,0.81779,2,7,0,10.7529,0.352462
-7.58523,0.993851,0.81779,1,3,0,8.39361,0.528802
-7.57913,0.898581,0.81779,2,3,0,8.25067,0.546484
-8.17894,0.858847,0.81779,1,3,0,8.3516,0.382184
-8.30513,0.787008,0.81779,1,3,0,9.94182,0.716732
-8.52715,0.95807,0.81779,1,1,0,8.62641,0.738658
-8.00712,1,0.81779,1,1,0,8.43249,0.679407
-8.07846,0.98513,0.81779,1,1,0,8.15548,0.689483
-10.7546,0.662853,0.81779,1,3,0,10.9927,0.860661
-7.9776,0.966788,0.81779,1,3,0,10.5247,0.674952
-7.61466,0.997889,0.81779,1,3,0,7.91884,0.585231
-7.62737,0.969877,0.81779,2,3,0,7.84117,0.498642
-7.67597,0.996089,0.81779,2,3,0,7.67963,0.479131
-7.87149,0.953895,0.81779,1,1,0,7.87254,0.430566
-7.78085,1,0.81779,1,1,0,7.87954,0.449855
-7.70652,1,0.81779,1,1,0,7.77913,0.469406
-7.91941,0.933118,0.81779,2,3,0,8.28455,0.421641
-7.58627,1,0.81779,2,3,0,7.87332,0.563389
-7.58035,0.975377,0.81779,2,3,0,7.74393,0.537938
-8.1556,0.85618,0.81779,1,3,0,8.37444,0.699466
-7.83115,1,0.81779,1,1,0,8.09301,0.649473
-8.19149,0.925559,0.81779,1,1,0,8.19641,0.703839
-7.91163,0.912622,0.81779,1,3,0,9.1562,0.423042
-7.61634,0.983683,0.81779,2,3,0,8.03979,0.504347
-7.6488,0.984706,0.81779,2,3,0,7.74635,0.489195
-8.01568,0.918414,0.81779,2,3,0,8.31667,0.405546
-7.65082,1,0.81779,1,3,0,7.93333,0.488386
-7.6398,1,0.81779,2,3,0,7.66029,0.492956
-8.24525,0.811608,0.81779,1,3,0,8.76131,0.710106
-9.14736,0.844555,0.81779,1,1,0,9.15318,0.785597
-8.81313,1,0.81779,1,1,0,9.24817,0.762369
-8.18188,1,0.81779,1,1,0,8.71043,0.702683
-7.80154,1,0.81779,1,1,0,8.10141,0.643379
-7.59777,0.998998,0.81779,1,3,0,7.76775,0.574339
-7.59219,0.994013,0.81779,2,3,0,7.64694,0.521109
-8.24811,0.823769,0.81779,1,3,0,8.59093,0.710431
-8.03929,1,0.81779,2,3,0,8.25937,0.684062
-7.68421,0.999332,0.81779,2,7,0,7.95728,0.47637
-7.58049,0.999513,0.81779,1,3,0,7.67643,0.537547
-7.60604,0.99466,0.81779,1,3,0,7.60836,0.510502
-8.58632,0.872002,0.81779,2,3,0,8.6317,0.743925
-7.72207,0.926165,0.81779,1,3,0,9.28312,0.464909
-8.12194,0.8392,0.81779,1,3,0,8.76469,0.695213
-7.6197,0.971978,0.81779,2,3,0,8.37569,0.50253
-7.57915,0.999497,0.81779,1,3,0,7.62269,0.546999
-7.86294,0.931364,0.81779,1,3,0,7.94514,0.655592
-7.70949,1,0.81779,1,1,0,7.83416,0.620956
-7.59119,1,0.81779,2,3,0,7.68373,0.522057
-11.011,0.412228,0.81779,1,3,0,12.0236,0.190274
-9.90237,1,0.81779,1,1,0,11.037,0.241775
-8.5193,1,0.81779,1,1,0,9.63201,0.343122
-7.57967,0.989042,0.81779,1,3,0,8.58344,0.550533
-7.58083,0.999722,0.81779,1,1,0,7.58084,0.554274
-8.58128,0.767862,0.81779,1,3,0,8.92023,0.336966
-8.05356,1,0.81779,2,3,0,8.48707,0.399746
-7.94686,0.888719,0.81779,1,3,0,9.02466,0.67011
-7.80328,1,0.81779,2,3,0,7.93755,0.643749
