# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 18:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\8zp3v5pv.json
# init = 2 (Default)
# random
#   seed = 93561
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308195926_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.04671
# Diagonal elements of inverse mass matrix:
# 0.390458
-7.62476,0.997488,1.04671,1,1,0,7.63405,0.499927
-9.91731,0.675505,1.04671,2,3,0,10.1821,0.827244
-9.09826,1,1.04671,1,1,0,9.93065,0.782429
-7.73895,0.943279,1.04671,1,3,0,9.53219,0.460304
-8.10339,0.816744,1.04671,2,3,0,8.89983,0.392492
-7.81059,0.946243,1.04671,1,3,0,8.55927,0.645287
-8.07498,0.894513,1.04671,1,3,0,8.59628,0.396579
-7.61268,0.952775,1.04671,2,3,0,8.39259,0.506424
-7.86005,0.923167,1.04671,1,3,0,8.00964,0.655051
-8.0482,0.890756,1.04671,2,3,0,8.81449,0.685318
-8.02482,0.823473,1.04671,2,3,0,9.5526,0.404123
-8.03291,0.997712,1.04671,1,1,0,8.16041,0.402876
-8.03291,0.504391,1.04671,2,3,0,10.9299,0.402876
-9.24179,0.893813,1.04671,2,3,0,9.2468,0.791485
-9.61931,0.931818,1.04671,1,1,0,9.9058,0.812686
-8.07082,0.992766,1.04671,1,3,0,9.26579,0.688445
-10.1625,0.617931,1.04671,2,3,0,12.0337,0.228091
-10.8285,0.876752,1.04671,1,1,0,11.3019,0.197653
-10.966,0.974946,1.04671,1,1,0,11.7063,0.192061
-10.966,0.897935,1.04671,1,1,0,12.1006,0.192061
-11.2621,0.948525,1.04671,1,1,0,11.9792,0.180696
-8.73671,1,1.04671,1,1,0,10.6935,0.322494
-7.72895,1,1.04671,1,3,0,8.45483,0.463002
-8.2506,0.860561,1.04671,1,1,0,8.25202,0.373062
-7.65768,1,1.04671,1,3,0,8.08198,0.485719
-8.29857,0.807602,1.04671,1,3,0,8.69263,0.716024
-7.66602,0.95635,1.04671,2,3,0,8.65227,0.607328
-7.86828,0.945853,1.04671,1,1,0,7.87114,0.656581
-8.49466,0.791256,1.04671,1,3,0,9.27336,0.345637
-8.49466,0.938668,1.04671,1,1,0,8.87983,0.345637
-7.76746,0.951028,1.04671,1,3,0,8.89657,0.635794
-7.6022,0.820395,1.04671,2,3,0,8.89277,0.513091
-7.64793,0.977042,1.04671,2,3,0,7.73645,0.600606
-7.64793,0.357034,1.04671,1,3,0,11.0275,0.600606
-7.60916,1,1.04671,1,1,0,7.64017,0.582047
-7.76987,0.941141,1.04671,2,3,0,7.98074,0.636353
-8.42627,0.93375,1.04671,2,3,0,8.45611,0.352838
-8.08866,1,1.04671,1,1,0,8.42132,0.394596
-7.58533,0.994285,1.04671,2,3,0,8.11768,0.562176
-7.60142,0.909152,1.04671,2,3,0,8.07387,0.577018
-9.18892,0.649595,1.04671,1,3,0,9.40755,0.788221
-8.03748,1,1.04671,1,1,0,8.91897,0.683806
-7.6128,1,1.04671,2,3,0,7.97355,0.506355
-7.6289,0.998425,1.04671,2,3,0,7.63603,0.497907
-7.99999,0.91884,1.04671,1,3,0,8.00189,0.40803
-7.59269,1,1.04671,2,3,0,7.996,0.570114
-7.59652,0.998897,1.04671,1,1,0,7.59973,0.573358
-7.62417,0.99211,1.04671,1,1,0,7.62569,0.590187
-7.59025,0.98908,1.04671,2,3,0,7.69739,0.522991
-8.32883,0.871708,1.04671,2,3,0,8.49701,0.71926
-9.18419,0.827484,1.04671,1,1,0,9.2304,0.787925
-9.46102,0.982819,1.04671,2,3,0,9.76316,0.804215
-8.20474,1,1.04671,1,1,0,9.18542,0.705413
-7.57955,0.999228,1.04671,1,3,0,8.12536,0.549923
-7.71988,0.967687,1.04671,2,3,0,7.78352,0.465527
-7.62234,1,1.04671,1,1,0,7.69363,0.501154
-8.29988,0.847913,1.04671,1,3,0,8.31952,0.367107
-10.4606,0.582434,1.04671,1,1,0,10.4612,0.213726
-9.06077,1,1.04671,1,1,0,10.2836,0.295885
-7.83156,1,1.04671,2,3,0,8.81358,0.649554
-7.76922,0.941621,1.04671,2,3,0,8.34215,0.636202
-7.61163,0.98563,1.04671,1,3,0,7.83829,0.507041
-7.96505,0.894553,1.04671,1,3,0,8.14606,0.673003
-7.74894,1,1.04671,2,3,0,7.92297,0.631359
-8.10148,0.910628,1.04671,1,1,0,8.10755,0.692552
-8.36104,0.938642,1.04671,1,1,0,8.44715,0.722617
-7.61948,1,1.04671,1,3,0,8.1958,0.58782
-7.61948,0.911518,1.04671,1,3,0,7.92351,0.58782
-7.59325,1,1.04671,2,3,0,7.61202,0.520134
-7.82996,0.959831,1.04671,2,3,0,7.87368,0.649236
-7.64887,0.932922,1.04671,2,3,0,8.33074,0.489168
-7.62803,1,1.04671,1,1,0,7.65347,0.498324
-7.76681,0.985118,1.04671,2,3,0,7.76833,0.453221
-7.66929,0.96133,1.04671,2,3,0,8.0585,0.608463
-7.86041,0.948776,1.04671,1,1,0,7.86425,0.65512
-7.78103,0.749862,1.04671,2,3,0,9.66104,0.449813
-7.72575,1,1.04671,1,1,0,7.798,0.463884
-7.60244,1,1.04671,1,3,0,7.68953,0.512923
-8.18558,0.864864,1.04671,1,3,0,8.2117,0.381314
-8.18558,0.769381,1.04671,1,1,0,8.95416,0.381314
-8.005,1,1.04671,1,1,0,8.22491,0.407231
-8.26788,0.92905,1.04671,1,1,0,8.34559,0.370947
-8.30709,0.996441,1.04671,2,3,0,8.49547,0.366256
-7.60044,1,1.04671,1,3,0,8.13917,0.514354
-7.66256,0.9819,1.04671,1,1,0,7.66318,0.483891
-7.66256,0.618258,1.04671,1,3,0,9.3261,0.483891
-8.10457,0.826595,1.04671,2,3,0,8.73194,0.392325
-7.97578,0.920968,1.04671,2,3,0,8.89255,0.674671
-7.58409,0.991584,1.04671,1,3,0,7.9667,0.530442
-7.58489,0.999922,1.04671,2,3,0,7.58619,0.529276
-7.70983,0.736652,1.04671,2,3,0,9.10442,0.621054
-7.58491,0.780421,1.04671,2,3,0,9.05147,0.529251
-7.64187,0.982617,1.04671,1,3,0,7.67055,0.598151
-9.38378,0.713145,1.04671,2,3,0,10.0621,0.79987
-8.04219,0.994184,1.04671,1,3,0,9.07092,0.684473
-7.65374,1,1.04671,2,3,0,7.95597,0.487234
-7.803,0.9432,1.04671,1,3,0,8.00079,0.643691
-7.77072,1,1.04671,1,1,0,7.84107,0.63655
-7.64747,0.969515,1.04671,2,3,0,7.98451,0.489735
-8.12273,0.897816,1.04671,1,3,0,8.12469,0.389778
-7.61984,1,1.04671,2,3,0,8.07187,0.588003
-8.25566,0.860465,1.04671,1,3,0,8.28401,0.711284
-8.12121,1,1.04671,1,1,0,8.33692,0.69512
-7.66821,1,1.04671,1,3,0,7.99932,0.60809
-7.60927,0.989836,1.04671,1,3,0,7.72776,0.508462
-7.85025,0.946326,1.04671,1,3,0,7.85175,0.434769
-7.58258,0.980632,1.04671,2,3,0,7.96433,0.532922
-10.2886,0.4577,1.04671,1,3,0,10.7457,0.221857
-10.3827,0.9812,1.04671,1,1,0,11.0326,0.217356
-8.28528,1,1.04671,2,3,0,9.85667,0.368846
-7.75953,0.952403,1.04671,1,3,0,8.66076,0.633925
-7.68181,1,1.04671,1,1,0,7.75415,0.612621
-9.06005,0.721056,1.04671,1,3,0,9.13615,0.77991
-8.17145,0.903634,1.04671,1,3,0,10.3314,0.383173
-7.90894,1,1.04671,1,1,0,8.15056,0.423531
-8.32995,0.888192,1.04671,1,1,0,8.36631,0.363588
-9.04396,0.829658,1.04671,1,1,0,9.13768,0.297166
-7.95926,1,1.04671,2,3,0,8.79245,0.672091
-7.85303,1,1.04671,1,1,0,7.98572,0.653727
-8.17883,0.919304,1.04671,1,1,0,8.2038,0.702314
-8.60578,0.96802,1.04671,2,3,0,8.68114,0.745613
-7.57915,0.993672,1.04671,2,3,0,8.59891,0.544043
-7.60312,0.993528,1.04671,2,3,0,7.61784,0.512454
-8.40116,0.782696,1.04671,1,3,0,8.69526,0.726679
-7.70788,1,1.04671,1,3,0,8.22124,0.6205
-7.62203,1,1.04671,1,1,0,7.68607,0.589126
-7.57928,0.999104,1.04671,2,3,0,7.62672,0.542649
-8.55532,0.7575,1.04671,1,3,0,8.76211,0.741192
-8.22575,0.825716,1.04671,2,3,0,10.4093,0.376161
-7.95097,1,1.04671,1,1,0,8.21077,0.416123
-7.64491,1,1.04671,1,1,0,7.86151,0.490787
-7.64491,0.721781,1.04671,1,3,0,8.62256,0.490787
