# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\l59m_4bz.json
# init = 2 (Default)
# random
#   seed = 79098
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308200012_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.91984
# Diagonal elements of inverse mass matrix:
# 0.386757
-10.3137,0.917373,0.91984,2,3,0,10.3212,0.220642
-12.215,0.768373,0.91984,1,1,0,12.2998,0.149425
-10.0216,1,0.91984,2,3,0,11.9346,0.235359
-7.6464,1,0.91984,2,3,0,9.9266,0.490174
-7.57997,0.99989,0.91984,2,3,0,7.64739,0.539176
-7.58616,0.99892,0.91984,1,3,0,7.58647,0.527588
-7.58712,0.997444,0.91984,1,3,0,7.60715,0.564415
-7.71209,0.985902,0.91984,2,3,0,7.71469,0.467764
-7.6816,1,0.91984,1,1,0,7.7211,0.477232
-7.89001,0.984837,0.91984,2,3,0,7.89017,0.427031
-7.70409,0.943838,0.91984,2,3,0,8.45522,0.619409
-7.63289,1,0.91984,1,1,0,7.68994,0.59428
-8.16133,0.946004,0.91984,2,3,0,8.16483,0.384519
-9.18677,0.811173,0.91984,1,1,0,9.18767,0.286586
-8.71501,1,0.91984,1,1,0,9.22258,0.324439
-8.06077,1,0.91984,2,3,0,8.58658,0.398672
-8.01476,1,0.91984,1,1,0,8.13518,0.405692
-8.00904,0.86919,0.91984,1,3,0,9.22628,0.67969
-8.03494,0.994953,0.91984,1,1,0,8.11651,0.683445
-7.75068,0.930159,0.91984,1,3,0,8.68581,0.45725
-7.58001,0.994566,0.91984,1,3,0,7.78699,0.551848
