# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\l59m_4bz.json
# init = 2 (Default)
# random
#   seed = 79098
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308200012_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01909
# Diagonal elements of inverse mass matrix:
# 0.479054
-7.604,0.993597,1.01909,1,1,0,7.60443,0.57878
-7.604,0.343268,1.01909,1,3,0,10.2786,0.57878
-7.70336,0.985064,1.01909,2,3,0,7.70448,0.619197
-10.0973,0.504673,1.01909,1,3,0,10.2165,0.835275
-9.73849,1,1.01909,2,3,0,10.4879,0.818712
-8.1593,1,1.01909,1,1,0,9.3389,0.699924
-7.88548,1,1.01909,1,1,0,8.13431,0.659703
-7.5886,1,1.01909,1,3,0,7.7944,0.566086
-7.71124,0.965108,1.01909,1,3,0,7.74457,0.468012
-7.73278,0.992696,1.01909,1,1,0,7.77466,0.461959
-7.92115,0.938385,1.01909,1,1,0,7.95186,0.421329
-7.63409,1,1.01909,1,1,0,7.82513,0.495489
-7.65789,0.991894,1.01909,1,1,0,7.67341,0.485637
-7.61034,0.846251,1.01909,2,3,0,8.35194,0.507809
-7.92797,0.882089,1.01909,2,3,0,8.17629,0.667019
-9.32678,0.836658,1.01909,2,3,0,9.32707,0.796568
-10.3344,0.815282,1.01909,1,1,0,10.574,0.845088
-7.97112,1,1.01909,2,3,0,9.78609,0.41273
-8.12306,0.951272,1.01909,1,1,0,8.23274,0.389732
-7.71756,0.964334,1.01909,2,3,0,8.28329,0.623208
-7.69551,1,1.01909,2,3,0,7.74518,0.616877
-7.69708,0.899292,1.01909,2,3,0,8.17011,0.617347
-7.60924,0.949503,1.01909,2,3,0,7.93531,0.582098
-8.18639,0.86004,1.01909,1,3,0,8.19636,0.703227
-7.92789,1,1.01909,1,1,0,8.17978,0.667005
-7.58367,0.962306,1.01909,2,3,0,8.14113,0.559779
-7.61622,0.989139,1.01909,1,1,0,7.61623,0.586087
-7.61622,0.88584,1.01909,1,3,0,8.01459,0.586087
-9.28889,0.618951,1.01909,1,3,0,9.39335,0.794326
-8.12275,1,1.01909,1,1,0,9.00356,0.695319
-8.12275,0.932518,1.01909,1,1,0,8.42357,0.695319
-7.61184,0.938177,1.01909,2,3,0,8.46644,0.506918
-7.80749,0.959814,1.01909,2,3,0,7.86419,0.644639
-7.78947,1,1.01909,1,1,0,7.86695,0.64077
-7.67734,1,1.01909,2,3,0,7.77163,0.611168
-8.24135,0.915882,1.01909,2,3,0,8.24142,0.709663
-9.51997,0.657688,1.01909,1,3,0,10.8453,0.264219
-9.54604,0.993103,1.01909,1,1,0,10.1351,0.262589
-7.92677,1,1.01909,1,1,0,9.04222,0.420331
-7.75667,1,1.01909,1,1,0,7.90905,0.455732
-8.77933,0.714701,1.01909,1,1,0,8.7808,0.318741
-7.57925,1,1.01909,1,3,0,8.46452,0.542876
-7.97631,0.894882,1.01909,1,3,0,8.00289,0.411872
-7.61352,1,1.01909,1,3,0,7.85297,0.505938
-7.61102,1,1.01909,2,3,0,7.62318,0.5074
-7.61102,0.545208,1.01909,1,3,0,9.29191,0.5074
-8.7703,0.756463,1.01909,2,3,0,9.17551,0.759077
-7.98405,1,1.01909,2,3,0,8.57914,0.675942
-8.50469,0.861752,1.01909,1,1,0,8.55778,0.736602
-7.57919,0.961378,1.01909,2,3,0,8.69394,0.547433
-7.5881,0.997624,1.01909,1,3,0,7.58845,0.565542
-7.58181,1,1.01909,1,1,0,7.58631,0.556479
-7.633,0.986863,1.01909,1,3,0,7.63346,0.594332
-7.65136,0.99398,1.01909,1,1,0,7.66654,0.601946
-7.88997,0.92637,1.01909,1,1,0,7.89394,0.660503
-8.88334,0.887704,1.01909,2,3,0,8.88955,0.767596
-8.01293,1,1.01909,1,1,0,8.67018,0.680262
-7.98435,1,1.01909,1,1,0,8.12701,0.675987
-7.9705,1,1.01909,1,1,0,8.10152,0.673854
-7.92773,1,1.01909,1,1,0,8.06063,0.66698
-7.63083,0.429312,1.01909,2,3,0,12.6525,0.496993
-8.00553,0.892057,1.01909,1,3,0,8.16321,0.679172
-8.07333,0.980148,1.01909,1,1,0,8.19484,0.688787
-8.96411,0.784254,1.01909,1,1,0,9.00065,0.773366
-7.96722,1,1.01909,2,3,0,8.72651,0.41338
-7.58728,0.994831,1.01909,1,3,0,7.89962,0.564605
-7.96385,0.90459,1.01909,1,3,0,7.97658,0.672813
-8.00041,0.996365,1.01909,2,3,0,8.11541,0.67841
-7.63318,1,1.01909,1,3,0,7.88263,0.594409
-7.81554,0.974549,1.01909,2,3,0,7.81861,0.646312
-7.81554,0.742757,1.01909,1,3,0,9.01584,0.646312
-8.68951,0.892077,1.01909,2,3,0,8.69278,0.752636
-8.15662,1,1.01909,1,1,0,8.6339,0.699593
-8.68049,0.866388,1.01909,1,1,0,8.77184,0.751897
-8.92352,0.980435,1.01909,2,3,0,9.18844,0.770498
-8.92741,0.99906,1.01909,1,1,0,9.3075,0.770775
-7.95002,1,1.01909,2,3,0,8.69679,0.416286
-7.70206,1,1.01909,1,1,0,7.88386,0.470744
-8.83671,0.793345,1.01909,2,3,0,9.0894,0.764148
-7.80637,1,1.01909,1,1,0,8.53554,0.644403
-8.13066,0.774842,1.01909,2,3,0,9.1534,0.69633
-7.63845,0.973824,1.01909,1,3,0,8.15032,0.493542
-7.89334,0.916927,1.01909,1,1,0,7.89639,0.426407
-7.64391,1,1.01909,2,3,0,7.81267,0.491207
-8.24216,0.768556,1.01909,2,3,0,8.82817,0.709755
-8.24577,0.998985,1.01909,1,1,0,8.44811,0.710165
-8.45526,0.981311,1.01909,2,3,0,8.61762,0.731959
-7.88201,1,1.01909,1,1,0,8.31489,0.659083
-9.12185,0.703848,1.01909,1,1,0,9.12238,0.783961
-9.12185,0.624535,1.01909,1,1,0,11.0869,0.783961
-8.55705,1,1.01909,2,3,0,9.15593,0.741347
-7.79498,1,1.01909,1,1,0,8.33518,0.641971
-7.58838,0.90741,1.01909,2,3,0,8.2743,0.565843
-7.57911,0.999954,1.01909,1,3,0,7.58609,0.544888
-7.59535,0.989853,1.01909,2,3,0,7.62267,0.518325
-8.15214,0.849258,1.01909,1,3,0,8.27464,0.699036
-7.67992,0.966424,1.01909,1,3,0,8.23989,0.477795
-7.85424,0.942522,1.01909,1,1,0,7.87078,0.433966
-8.1052,0.920057,1.01909,1,1,0,8.16652,0.392235
-9.79136,0.599939,1.01909,1,1,0,9.81177,0.247983
-7.75182,1,1.01909,1,3,0,9.14872,0.456961
-7.61032,1,1.01909,1,1,0,7.70495,0.507823
-9.98503,0.488221,1.01909,1,3,0,10.1121,0.2373
-8.95262,1,1.01909,2,3,0,9.95865,0.304301
-9.81872,0.929597,1.01909,2,3,0,10.0982,0.24643
-8.6984,1,1.01909,1,1,0,9.68699,0.325943
-8.31157,0.687392,1.01909,2,3,0,11.0283,0.717424
-7.5791,0.994733,1.01909,1,3,0,8.14312,0.545654
-7.72101,0.942602,1.01909,2,3,0,7.85069,0.624149
-7.641,0.852181,1.01909,2,3,0,8.47146,0.597792
-8.4081,0.821116,1.01909,1,3,0,8.41576,0.727369
-7.58627,0.985018,1.01909,1,3,0,8.26558,0.52744
-9.36298,0.57411,1.01909,1,3,0,9.69557,0.798675
-7.65298,1,1.01909,1,3,0,8.90947,0.602565
-7.85018,0.971019,1.01909,2,3,0,7.88653,0.434782
-8.58607,0.786647,1.01909,1,1,0,8.61028,0.336501
-8.44296,1,1.01909,2,3,0,8.80049,0.35105
-7.83049,1,1.01909,1,1,0,8.26864,0.438835
-7.7563,1,1.01909,1,1,0,7.85538,0.455824
-7.69829,1,1.01909,1,1,0,7.76935,0.471895
-7.57943,1,1.01909,1,3,0,7.66389,0.541617
-7.71318,0.889658,1.01909,2,3,0,8.06562,0.467446
-7.83655,0.986346,1.01909,2,3,0,7.86718,0.437572
-7.8874,0.983067,1.01909,1,1,0,7.96718,0.427523
-8.22384,0.895102,1.01909,1,1,0,8.28651,0.3764
-7.79193,1,1.01909,2,3,0,8.13983,0.641308
-8.0819,0.971714,1.01909,2,3,0,8.11323,0.689947
-7.67165,1,1.01909,2,3,0,8.02448,0.480625
-9.15972,0.622501,1.01909,1,3,0,9.68294,0.786383
-8.70148,1,1.01909,1,1,0,9.27418,0.75361
-7.64192,0.965509,1.01909,1,3,0,8.65424,0.492047
-7.61538,0.933464,1.01909,2,3,0,7.90001,0.504884
-8.25171,0.826555,1.01909,1,3,0,8.43528,0.710839
-9.109,0.799231,1.01909,1,1,0,9.18001,0.783128
-8.91305,1,1.01909,1,1,0,9.3927,0.769747
-7.58651,0.997003,1.01909,1,3,0,8.59279,0.563686
-7.58651,0.79758,1.01909,1,3,0,8.18537,0.563686
-9.39222,0.581768,1.01909,1,3,0,9.58229,0.800352
-8.16429,1,1.01909,1,1,0,9.09628,0.700539
-7.76225,1,1.01909,1,1,0,8.05731,0.634571
-8.19226,0.876907,1.01909,1,1,0,8.20659,0.70393
-9.09096,0.788378,1.01909,1,1,0,9.147,0.781951
-7.77654,1,1.01909,1,3,0,8.71009,0.637882
-8.64132,0.773156,1.01909,1,1,0,8.64227,0.748639
-7.7164,0.914142,1.01909,2,3,0,9.35952,0.622889
-7.71402,1,1.01909,1,1,0,7.75957,0.622228
-7.70448,1,1.01909,1,1,0,7.75057,0.619522
-8.18746,0.86658,1.01909,1,3,0,8.46206,0.381069
-8.18746,0.679298,1.01909,2,3,0,10.1396,0.381069
-7.99484,1,1.01909,1,1,0,8.23623,0.408855
-7.58374,0.931446,1.01909,2,3,0,8.36418,0.530965
-8.0904,0.764937,1.01909,2,3,0,8.69641,0.394345
-7.87068,1,1.01909,2,3,0,8.08717,0.430724
-7.94555,0.975292,1.01909,1,1,0,8.03322,0.417053
-7.94555,0.435238,1.01909,1,3,0,10.7227,0.417053
-7.94555,0.585996,1.01909,1,3,0,9.98529,0.417053
-7.57952,1,1.01909,1,3,0,7.8543,0.549821
-7.63628,0.971632,1.01909,2,3,0,7.70566,0.595778
-7.72063,0.972871,1.01909,1,1,0,7.72993,0.624047
-7.58675,0.983553,1.01909,2,3,0,7.7831,0.526846
-7.61957,0.993677,1.01909,2,3,0,7.62823,0.587863
-7.58484,0.997029,1.01909,2,3,0,7.62521,0.529347
-8.38974,0.795845,1.01909,1,3,0,8.42623,0.356826
-7.67957,1,1.01909,2,3,0,8.15193,0.477913
-7.5841,1,1.01909,1,3,0,7.64761,0.530414
-7.71462,0.960971,1.01909,2,3,0,7.78799,0.622397
-7.8157,0.968401,1.01909,1,1,0,7.84571,0.646345
-7.71146,0.889514,1.01909,2,3,0,8.40777,0.621514
-8.12903,0.65774,1.01909,2,3,0,9.82973,0.388906
-7.67806,0.972958,1.01909,1,3,0,8.20584,0.611406
-8.06018,0.871454,1.01909,2,3,0,8.39124,0.398759
-7.59136,0.993288,1.01909,1,3,0,7.98247,0.568885
-7.59136,0.765642,1.01909,1,3,0,8.29555,0.568885
-7.63175,0.986618,1.01909,1,1,0,7.63266,0.593768
-7.97183,0.896483,1.01909,1,1,0,7.97185,0.674061
-7.84494,1,1.01909,1,1,0,7.99781,0.652177
-7.62602,1,1.01909,1,1,0,7.775,0.59109
-7.62602,0.742068,1.01909,1,3,0,8.41623,0.59109
-10.0884,0.532821,1.01909,2,3,0,11.0916,0.231875
-8.5663,1,1.01909,1,1,0,9.769,0.338433
-9.38032,0.78873,1.01909,1,1,0,9.57215,0.273234
-8.76086,1,1.01909,1,1,0,9.47351,0.320357
-8.04552,1,1.01909,1,1,0,8.60488,0.400956
-8.04552,0.608375,1.01909,1,1,0,9.18371,0.400956
-8.04552,0.726183,1.01909,1,1,0,8.79457,0.400956
-7.7585,1,1.01909,2,3,0,7.97828,0.633678
-8.02181,0.921779,1.01909,1,1,0,8.04739,0.681557
-7.5808,0.907979,1.01909,2,3,0,8.59,0.536701
-7.64548,0.982926,1.01909,1,3,0,7.64668,0.490554
-8.75472,0.70985,1.01909,1,3,0,9.11358,0.757859
-7.69557,1,1.01909,2,3,0,8.62364,0.47274
-7.6086,1,1.01909,2,3,0,7.68464,0.58171
-7.6086,0.858453,1.01909,1,3,0,8.08012,0.58171
-7.86415,0.628432,1.01909,2,3,0,9.80505,0.432
-8.23903,0.883687,1.01909,1,1,0,8.29151,0.374497
-7.85526,1,1.01909,1,1,0,8.16158,0.433762
-7.98379,0.957998,1.01909,1,1,0,8.0593,0.410644
-7.98379,0.721203,1.01909,1,1,0,8.72506,0.410644
-7.61153,0.866057,1.01909,2,3,0,8.66586,0.583452
-7.88105,0.884508,1.01909,2,3,0,8.17705,0.428728
-8.16002,0.911925,1.01909,1,1,0,8.22654,0.384694
-10.1968,0.546252,1.01909,1,1,0,10.2098,0.226373
-12.6221,0.868575,1.01909,2,3,0,12.8859,0.138091
-14.199,0.795017,1.01909,1,1,0,14.9684,0.10267
-11.0488,1,1.01909,1,1,0,13.9055,0.188794
-8.18694,1,1.01909,2,3,0,10.5847,0.703293
-7.68445,1,1.01909,2,3,0,8.03101,0.613462
-7.58731,0.950479,1.01909,2,3,0,7.9295,0.56464
-11.9623,0.239139,1.01909,1,3,0,12.7364,0.157023
-8.07201,1,1.01909,2,3,0,11.3013,0.688608
-7.68582,1,1.01909,1,1,0,7.95463,0.613895
-10.3732,0.451979,1.01909,1,3,0,10.5509,0.846618
-8.67615,1,1.01909,1,1,0,10.0411,0.75154
-7.65274,0.926403,1.01909,2,3,0,9.22361,0.602475
-7.58268,0.991043,1.01909,2,3,0,7.68604,0.532736
-7.65063,0.972255,1.01909,2,3,0,7.70639,0.601664
-7.65804,0.883214,1.01909,2,3,0,8.23368,0.604461
-8.86088,0.727096,1.01909,1,3,0,8.88601,0.765946
-7.94639,1,1.01909,2,3,0,8.64293,0.416908
-7.67745,1,1.01909,1,1,0,7.8657,0.478627
-7.96163,0.908253,1.01909,1,1,0,7.97133,0.414316
-8.35607,0.879583,1.01909,1,1,0,8.43442,0.360596
-7.80547,0.814676,1.01909,2,3,0,9.5456,0.644212
-7.80547,0.577074,1.01909,1,3,0,9.65615,0.644212
-8.3551,0.835273,1.01909,2,3,0,8.87104,0.360706
-7.88114,1,1.01909,2,3,0,8.24855,0.428709
-8.40903,0.841426,1.01909,1,1,0,8.45363,0.354708
-7.64916,0.979286,1.01909,1,3,0,8.38587,0.60109
-7.58033,0.977449,1.01909,2,3,0,7.76089,0.552889
-7.6972,0.944191,1.01909,2,3,0,7.83484,0.617383
-8.14422,0.875854,1.01909,1,3,0,8.40059,0.386825
-8.42666,0.971272,1.01909,2,3,0,8.57261,0.352796
-8.80556,0.890884,1.01909,1,1,0,9.02129,0.316472
-7.86537,1,1.01909,1,1,0,8.519,0.431759
-7.74872,1,1.01909,1,1,0,7.86852,0.457754
-7.59888,0.925141,1.01909,2,3,0,8.06426,0.515509
-7.5864,1,1.01909,2,3,0,7.59591,0.563552
-10.4353,0.397831,1.01909,1,3,0,10.8479,0.849029
-9.46527,1,1.01909,1,1,0,10.5137,0.80445
-11.0421,0.742018,1.01909,1,1,0,11.2032,0.870171
-9.06406,1,1.01909,1,1,0,10.7056,0.780176
-8.91169,1,1.01909,2,3,0,9.368,0.769649
-7.58566,0.996435,1.01909,1,3,0,8.59371,0.562611
-7.87621,0.76506,1.01909,2,3,0,8.72281,0.429653
-7.87621,0.607745,1.01909,1,1,0,8.95082,0.429653
-7.89812,0.992693,1.01909,1,1,0,7.9955,0.425519
-9.22922,0.802875,1.01909,2,3,0,9.3819,0.790716
-7.79417,0.945313,1.01909,1,3,0,9.42265,0.446771
-8.05535,0.916387,1.01909,1,1,0,8.0978,0.39948
-7.76087,1,1.01909,1,1,0,7.9869,0.454683
-8.72089,0.633523,1.01909,2,3,0,9.89823,0.755175
-7.80645,0.944307,1.01909,1,3,0,8.96508,0.444015
-7.61465,0.979881,1.01909,2,3,0,7.88078,0.585226
-7.6001,1,1.01909,1,1,0,7.61491,0.576079
-7.58511,1,1.01909,1,1,0,7.59574,0.561871
-7.59898,0.995353,1.01909,1,1,0,7.59971,0.575251
-8.75761,0.708265,1.01909,1,3,0,8.95127,0.320642
-8.21635,1,1.01909,1,1,0,8.72296,0.37735
-7.75811,1,1.01909,1,1,0,8.08271,0.455371
-7.85335,0.767452,1.01909,2,3,0,8.84379,0.434144
-7.81673,1,1.01909,1,1,0,7.91626,0.441767
-7.67284,1,1.01909,1,1,0,7.7845,0.480212
-8.94328,0.70253,1.01909,1,3,0,8.95078,0.305048
-9.56168,0.841882,1.01909,1,1,0,9.87964,0.261618
-8.87217,1,1.01909,2,3,0,9.65643,0.310848
-7.91511,1,1.01909,1,1,0,8.59081,0.422413
-8.85751,0.739253,1.01909,1,1,0,8.88357,0.31207
-7.80415,1,1.01909,2,3,0,8.77096,0.643933
-7.65933,1,1.01909,1,1,0,7.76822,0.604933
-8.63689,0.746642,1.01909,1,3,0,8.93188,0.331639
-8.08099,1,1.01909,2,3,0,8.49225,0.689824
-8.8611,0.93359,1.01909,2,3,0,8.90987,0.31177
-9.87074,0.757041,1.01909,1,1,0,10.1067,0.24352
-8.49094,1,1.01909,2,3,0,9.58782,0.735327
-7.71343,0.928822,1.01909,2,3,0,8.91028,0.467376
-7.71343,0.459801,1.01909,1,3,0,9.56091,0.467376
-7.66959,1,1.01909,1,1,0,7.72343,0.481352
-10.0372,0.497157,1.01909,1,3,0,10.1038,0.234539
-7.67796,0.982682,1.01909,2,3,0,9.99685,0.611372
-7.83006,0.952542,1.01909,1,1,0,7.84486,0.649255
-8.42326,0.837642,1.01909,1,3,0,8.90837,0.353162
-8.59997,0.982293,1.01909,2,3,0,8.84688,0.335156
-7.59643,0.951815,1.01909,2,3,0,8.83689,0.573285
-7.63435,0.954699,1.01909,2,3,0,7.78575,0.594933
-7.70371,0.992531,1.01909,2,3,0,7.71374,0.6193
-8.12631,0.876716,1.01909,1,1,0,8.13133,0.695775
-7.94432,1,1.01909,1,1,0,8.15735,0.669699
-8.13246,0.945735,1.01909,1,1,0,8.21659,0.69656
-8.47392,0.908993,1.01909,1,1,0,8.58504,0.733731
-8.17531,1,1.01909,1,1,0,8.5197,0.701888
