# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:00:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\e9xtwi_2.json
# init = 2 (Default)
# random
#   seed = 66831
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308200043_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05843
# Diagonal elements of inverse mass matrix:
# 0.390601
-7.57931,0.682174,1.05843,2,3,0,9.65721,0.548531
-7.83813,0.934152,1.05843,2,3,0,7.97816,0.437243
-7.72585,0.90622,1.05843,2,3,0,8.41886,0.463856
-7.92558,0.942384,1.05843,1,1,0,7.9434,0.420542
-8.04277,0.96643,1.05843,1,1,0,8.12457,0.401373
-8.20201,0.955406,1.05843,1,1,0,8.30963,0.379183
-7.81752,1,1.05843,1,1,0,8.11273,0.441596
-7.58105,0.997519,1.05843,1,3,0,7.79461,0.554822
-7.58375,0.9992,1.05843,1,1,0,7.58398,0.559898
-7.60591,0.993472,1.05843,1,1,0,7.60591,0.58003
-7.82238,0.952209,1.05843,1,3,0,7.82421,0.647711
-7.61094,0.886496,1.05843,2,3,0,8.55227,0.50745
-7.58599,1,1.05843,2,3,0,7.60539,0.563034
-7.68619,0.964838,1.05843,2,3,0,7.78957,0.614011
-8.42975,0.849379,1.05843,1,3,0,8.43799,0.729496
-8.92439,0.770669,1.05843,1,3,0,10.6625,0.30657
-9.34273,0.901206,1.05843,1,1,0,9.62799,0.275745
-8.83766,1,1.05843,1,1,0,9.46445,0.313738
-8.29328,1,1.05843,1,1,0,8.80433,0.36789
-7.57912,1,1.05843,1,3,0,8.17993,0.546393
-7.57912,0.59011,1.05843,1,3,0,9.13987,0.546393
-7.6712,0.97603,1.05843,1,3,0,7.68362,0.609115
-7.8468,0.951772,1.05843,1,1,0,7.85258,0.652535
-7.61279,0.840238,1.05843,2,3,0,8.86998,0.506358
-7.82645,0.812569,1.05843,2,3,0,8.63766,0.648533
-7.64351,0.955862,1.05843,2,3,0,8.14511,0.491372
-8.38545,0.884642,1.05843,2,3,0,8.48436,0.725103
-8.06666,0.753817,1.05843,2,3,0,10.7232,0.397801
-8.57055,0.868084,1.05843,1,1,0,8.63732,0.338015
-9.2256,0.844122,1.05843,1,1,0,9.38735,0.28382
-7.72555,1,1.05843,1,3,0,8.81686,0.463938
-7.86433,0.959523,1.05843,1,1,0,7.88796,0.431963
-8.84513,0.756252,1.05843,1,1,0,8.8477,0.313108
-7.95598,1,1.05843,1,1,0,8.61029,0.41527
-7.71631,1,1.05843,2,3,0,7.89741,0.466544
-7.62917,0.984915,1.05843,1,3,0,7.80768,0.592581
-7.59097,1,1.05843,1,1,0,7.6182,0.56851
-7.62983,0.822242,1.05843,2,3,0,8.56159,0.592886
-9.03242,0.773702,1.05843,2,3,0,9.38199,0.298051
-8.87218,1,1.05843,1,1,0,9.31861,0.310848
-8.10576,1,1.05843,1,1,0,8.70942,0.392156
-8.10576,0.768736,1.05843,1,3,0,9.68708,0.392156
-7.73962,1,1.05843,1,1,0,8.00706,0.460128
-7.62044,1,1.05843,2,3,0,7.71065,0.588315
-7.68623,0.993722,1.05843,2,3,0,7.69004,0.614024
-7.82724,0.912688,1.05843,2,3,0,8.25403,0.43952
-7.63434,1,1.05843,2,3,0,7.7845,0.594925
-7.74903,0.893823,1.05843,2,3,0,8.25495,0.457675
-7.79714,0.98576,1.05843,1,1,0,7.83943,0.446097
-8.17382,0.895555,1.05843,1,1,0,8.19323,0.382859
-8.45965,0.923207,1.05843,1,1,0,8.5821,0.349282
-7.63827,0.976743,1.05843,1,3,0,8.54434,0.596635
-7.73984,0.829626,1.05843,2,3,0,8.65804,0.460068
-7.66707,1,1.05843,1,1,0,7.73352,0.482251
-8.29822,0.908458,1.05843,2,3,0,8.36021,0.715985
-8.39655,0.876409,1.05843,2,3,0,9.82689,0.726218
-8.47947,0.980532,1.05843,1,1,0,8.67493,0.734254
-7.91924,1,1.05843,2,3,0,8.32881,0.421671
-7.86382,1,1.05843,1,1,0,7.97747,0.432065
-7.85634,1,1.05843,1,1,0,7.94298,0.433546
-7.96644,0.968161,1.05843,1,1,0,8.0298,0.41351
-7.9512,0.726545,1.05843,2,3,0,9.7177,0.670808
-7.63511,1,1.05843,1,3,0,7.86234,0.595267
-8.53343,0.853253,1.05843,2,3,0,8.7382,0.341697
-10.9328,0.557797,1.05843,1,1,0,10.9392,0.193393
-8.61112,1,1.05843,2,3,0,10.3881,0.334085
-7.61544,1,1.05843,1,3,0,8.35938,0.504848
-7.76114,0.981674,1.05843,2,3,0,7.76148,0.454615
-7.76114,0.739434,1.05843,2,3,0,9.26923,0.454615
-8.68617,0.813639,1.05843,1,3,0,8.68639,0.32706
-8.99678,0.922593,1.05843,1,1,0,9.24583,0.300813
-8.85,1,1.05843,1,1,0,9.28368,0.312699
-7.95845,1,1.05843,2,3,0,8.63595,0.671962
-8.28364,0.919823,1.05843,1,1,0,8.33253,0.714395
-8.01708,1,1.05843,1,1,0,8.28581,0.680869
-7.69874,0.962224,1.05843,1,3,0,8.24828,0.471756
-7.69874,0.535548,1.05843,1,3,0,9.50727,0.471756
-8.2042,0.935712,1.05843,2,3,0,8.23286,0.705349
-7.83246,1,1.05843,1,1,0,8.12502,0.649732
-7.65189,1,1.05843,2,3,0,7.7843,0.487963
-7.65189,0.519959,1.05843,1,3,0,9.52786,0.487963
-7.59623,0.993615,1.05843,1,3,0,7.68338,0.573123
-7.61368,0.855437,1.05843,2,3,0,8.38224,0.584683
-7.58926,0.896285,1.05843,2,3,0,8.17544,0.566787
-7.64211,0.988492,1.05843,1,3,0,7.64211,0.59825
-7.68068,0.988965,1.05843,1,1,0,7.6926,0.612256
-7.57941,0.994435,1.05843,2,3,0,7.71158,0.549201
-7.74126,0.959084,1.05843,2,3,0,7.82638,0.459696
-7.79341,0.994855,1.05843,2,3,0,7.83278,0.446944
-8.55785,0.801302,1.05843,1,1,0,8.55993,0.339265
-7.61652,1,1.05843,1,3,0,8.31659,0.504248
-7.73737,0.964332,1.05843,1,1,0,7.73837,0.460724
-7.73737,0.70042,1.05843,1,3,0,8.805,0.460724
-8.07174,0.791109,1.05843,2,3,0,9.01888,0.688571
-7.72842,0.84006,1.05843,2,3,0,9.32251,0.463148
-7.98355,0.889511,1.05843,2,3,0,8.43473,0.675866
-8.46683,0.88514,1.05843,1,1,0,8.50228,0.73306
-7.84975,0.933775,1.05843,1,3,0,9.00632,0.434869
-8.39344,0.854533,1.05843,1,1,0,8.41158,0.356418
-9.32368,0.927834,1.05843,2,3,0,9.41182,0.277032
-8.05204,1,1.05843,2,3,0,9.03503,0.685856
-8.24021,0.953304,1.05843,1,1,0,8.33146,0.709533
-8.34343,0.882161,1.05843,2,3,0,9.62789,0.362037
-10.0005,0.652927,1.05843,1,1,0,10.0223,0.236476
