# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:00:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\adams\AppData\Local\Temp\tmpxr5n48yk\e9xtwi_2.json
# init = 2 (Default)
# random
#   seed = 66831
# output
#   file = C:\Users\adams\OneDrive\Pulpit\data analytics\Data_Analytics\bern_1-20220308200043_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.839377
# Diagonal elements of inverse mass matrix:
# 0.427257
-7.72758,0.905058,0.839377,2,7,0,8.96759,0.625909
-7.66907,0.95681,0.839377,2,7,0,8.0562,0.481534
-7.5806,0.943492,0.839377,2,3,0,8.1128,0.553671
-8.88711,0.725925,0.839377,1,3,0,9.54005,0.309612
-9.14715,0.985266,0.839377,2,3,0,9.32556,0.289455
-7.59314,1,0.839377,2,3,0,8.87965,0.570516
-7.65505,0.989529,0.839377,2,3,0,7.68867,0.60335
-7.60297,0.996572,0.839377,2,3,0,7.69113,0.578091
-7.58217,0.993925,0.839377,2,3,0,7.65541,0.53368
-7.78781,0.973003,0.839377,2,3,0,7.82193,0.448232
-7.81065,0.995338,0.839377,1,1,0,7.84736,0.44309
-7.73588,0.934878,0.839377,1,3,0,8.36573,0.628071
-7.65418,0.965954,0.839377,1,3,0,8.03533,0.487064
-7.72258,0.950486,0.839377,1,3,0,8.02936,0.624573
-7.93072,0.893028,0.839377,1,3,0,8.57947,0.419634
-9.6724,0.813323,0.839377,2,7,0,9.74417,0.815406
-8.82047,1,0.839377,1,1,0,9.58129,0.762925
-7.58349,0.898836,0.839377,2,3,0,10.0776,0.531361
-8.93801,0.841037,0.839377,2,3,0,9.06682,0.305471
-8.93801,0.868631,0.839377,1,1,0,9.71043,0.305471
-8.91221,1,0.839377,1,1,0,9.18289,0.307558
-8.71062,1,0.839377,1,1,0,9.03982,0.324835
-7.59161,0.982133,0.839377,1,3,0,8.81354,0.521651
-7.73988,0.983509,0.839377,2,3,0,7.73989,0.629093
-7.66897,0.854229,0.839377,2,3,0,9.0154,0.608352
-7.66458,1,0.839377,1,1,0,7.68396,0.60682
-7.66458,0.912668,0.839377,1,3,0,8.37784,0.60682
-8.12774,0.848399,0.839377,1,3,0,8.77913,0.389084
-8.11273,1,0.839377,2,3,0,8.22868,0.391174
-7.81916,1,0.839377,1,1,0,8.05749,0.441243
-7.59001,0.998933,0.839377,2,3,0,7.82909,0.523226
-7.59001,0.894453,0.839377,1,3,0,8.16159,0.523226
-7.82145,0.973345,0.839377,2,3,0,7.82247,0.647522
-7.72342,1,0.839377,1,1,0,7.81095,0.6248
-7.72202,0.985207,0.839377,2,3,0,7.91617,0.624422
-8.61593,0.736659,0.839377,1,3,0,9.81453,0.333626
-10.1755,0.881908,0.839377,3,7,0,10.195,0.227437
-7.57911,1,0.839377,2,3,0,9.77581,0.544937
